epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5
C1C2CC3CC(CC1(C3)C2)[N+](C)(C)C,C12[N+](CC)(CC)CC(CC2)C(C)(C1)C,C1CC(C)[N+](C(C1)C)(CC)CC,C1CC(CC(C)C[N+]1(CC)CC)C,C1([N+](CC)(CC)C(CCC1)C)C,C1[N+](CC)(C)CC(CC1C)C
CC1CC(CCC1)N(C)CCCC[N+]1(C)CCCC1,C1CCC(C1)[N+]1(CCCC1)C,C1CC[N+](C)(CCCC[N+]2(CCCC2)C)C1,C(C)[N+]1(CCCC1)C,C(C[N+]1(CCCC1)C)CCC[N+]1(C)CCCC1,C(CCCCC[N+]1(C)CCCC1)[N+]1(C)CCCC1
C12CC3(CC(C1)CC(C3)C2)C[N+](C)(C)C,C1[N+](C)(C)CC(C)CC(C1)C,C1CC[N+](C)(CC)C2CC1C2(C)C,C1CC2C(CCC1)[N+](C)(C)C2,C1C2CC3CC(CC1C3)([N+](C)(C)C)C2,C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C
C1C2CC3CC(CC(C1)C3)[N+](C)(C)C2,C1(C)(C)C2CC([N+](C)(C)C)C1C2,C[N+](C1C2CCCC1C1C2CCC1)(C)C,CC1CCCC(C)[N+]1(C)C,C1C(C)(C)C2CC1[N+](C)(C)CC2(C)C,C1C2C(C)(C)C1[N+](CCC2)(CC)CC
CC1(C)C2CC(C1)C(C)(C)C2(C)C,C1(CC([N+](C)(C)C)CC1)C,C1CCC(C)[N+](C1)(CC)CC,CC[N+]1(CC)C(C)CCCC1C,C1C(C)(C)C[N+](C)(CC1)C,C1[N+](C(CCC1)C)(C)C
C1(C)CCC(C)C[N+](CC1)(CC)CC,C1(C)(C)CC(C)(C)C[N+](C)(C)C1,C1(C)CC(C[N+](C1)(CC)CC)C,C1CCC([N+](C1C)(CC)CC)C,C1(C[N+](CC(C1)C)(C)C)C,C1(C)CCC[N+](CC)(CC)C1
C1CCC(CC1)[n+]1c(n(cc1)C2CCCCC2)C,C1CC[N+](CC1)(C1CC(C)(C)CC1)C,C1C2CC3CC1(CC(C2)C3)[N+](C)(C)C,C12C3C4C(C[N+](C)(C)C4)C(C=C3)C1C2,C12CC3CC(CC(C2)(C3)[N+](C)(C)C)C1,C12CC3(CC(C2)CC(C3)C1)[N+](C)(C)C
C1(CC2(C)CC(C[N+](CC)(CC)CC2)C1)C,C12C=CC(C3C2C[N+](C)(CC)CC32)C1C[N+](CC)(C1)CC,C1C2C(C)(C)C(C1)[N+](C2)(C)CC,C12C3C4C(C[N+](C)(C)C4)C(C=C3)C1C[N+](C2)(C)C,C12CC3CC(CC(C2)C3)([N+](C)(C)C)C1,C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
C1C(NCCNC(CCCNC(CCN1C)C)C)C,C1CN(CCN(C)CCCN(C)CCN(C1)C)C,C1N(CCN(CCN(C)CCN(C)CCN(CCN(C1)C)C)C)C,C1CCCCN1,N1CCC(CC1)N,C(N)CNCCNCCN
CC1C2CC(CC(C1)C[N+](C)(C2)C)C,C1C[N+](C)(CC2C3C=CC2C4C[N+](C4)(C)C)CC12,C1CC2C(C1)CCC[N+]2(C)C,C1(C)CC(C[N+](C1)(C)C)C,C1C(C)(C)CCC[N+]1(C)CC,C1CC2[N+](C(C1)CC2)(C)CC
C1CC2CCC[N+](C)(CC2)CC1,C1CC[N+](C)(C)C2CCCC2C1,C1C2CCC(C1[N+](C)(C)C)C2(C)C,C1C2C(CCC2)CC[N+]1(CC)CC,C12CC3CC(CC(C1)C3)(C2)[N+](C)(C)C,C12CC3CC(C2)CC(C3)([N+](C)(C)C)C1
CC[N+](CC)(CC)CC,C(CCCC[N+](C)(C)C)C[N+](C)(C)C,C1CCCCC(N)C1,C1CCCC1N,C(CCCCCCCCCCCCCCCCCCC)CCCCCCCCCC,C(CCCCCCCCCCCCCCC[N+](C)(C)C)[N+](C)(C)C
C1CCCN1Cc1ccccc1,C1CCC[N+](C1)(C)CCCC[N+]1(CCCC1)C,C1N(CCN(CCN(CCN(CCN(C1)C)C)C)C)C,C1CCCC[N+]1(C)CCCC[N+]1(C)CCCC1,C1CCC(N)C1,C1C[N+](CC1)(CCCCC[N+]1(CCCC1)C)C
C1CCCC(NCCNC(CCNCCN1C)C)(C)C,C1[N+](CCCC[N+]2(CCCC2)C)(CCC1)C,C(CCCCCCCCC[N+](C)(C)C)C[N+](C)(C)C,C(CCCCCC[N+](C)(C)C)C[N+](C)(C)C,C(C[N+](C)(C)C)CCCCC[N+](C)(C)C,C([N+]1(CCCC1)C)CCCCC[N+]1(C)CCCC1
C1C2CC3CC(CC(C1)C3)C2,C1C2C(C3C=CC1C1C2C3C[N+](C)(C)C1)C[N+](C)(C)C,C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C,C12CC3CC(CC(C3)C1)(C2)[N+](C)(C)C,[N+]1(C)(C)CC2CC(C1)C1CCCC21,C12CCCC([N+]2(CC)C)CCC1
C1CCC[N+](CC1)(C)CCC[N+]1(C)CCCC1,C1CCCCN1,C1CC[N+](C1)(CCCCC[N+]1(CCCC1)C)C,C1CCC[N+]1(CCCCC[N+]1(CCCC1)C)C,C(CCC[N+]1(C)CCCC1)[N+]1(C)CCCC1,C(CCCCCCCCCCCCC)CC[N+](C)(C)C
C(CCCC[N+](C)(C)C)CC[N+](C)(C)C,C1CC[N+](CCCCC[N+]2(CCCC2)C)(C1)C,C1CCN(C1)C,C1CCC[N+]1(CCCCC[N+]1(C)CCCC1)C,C1CC[N+](C1)(CCCCC[N+]1(C)CCCC1)C,C(C[N+]1(CCCC1)C)CCC[N+]1(CCCC1)C
C1CCC(NCCNC(CCNC(CCN1C)(C)C)C)C,C1CCN(CCN(CCN(C)CCCN(C1)C)C)C,C1CN(CCN(C)CCCN(CCN(CC1)C)C)C,N1(CCN(CCN(C)CCN(CCN(CCN(C)CC1)C)C)C)C,C1NCCCCC1,C1CC(CC1N)N
C1CCNCCN1,C1CCN(C)CCN(CCN(CCCN(C)C1)C)C,C1CN(C)CCN(C)CCN(CCN(C)CCN(CCN1C)C)C,C1CCC(N)C1,C1CCC(CC1)N,CC(N(C(C)C)CC)C
C1CCC(C)C[N+](C1)(C)CC,C1CCC(C)C[N+](C1)(C)C,C1C(C)C[N+](CC1C)(C)C,C1CC(C)(C)C[N+](C)(C)C1,C12CC3CC(CC(C1)(C3)[N+](C)(C)C)C2,C1[N+](CCCC1)(C)CC
C1CCN(C)CCN(C)CCN(CCN(CCN1C)C)C,C1CCC(CC1)N,CC[N+]1(CCCC1)CCCCC[N+]1(CCCC1)C,C1C[N+](C)(CC1)CCCC[N+]1(C)CCCC1,C(N(CC)CC)C,C(CCCC[N+]1(CCCC1)C)[N+]1(CCCC1)C
C1CC(C)(C)CC(C)[N+](CC1)(CC)CC,C1C2C3C=CC(C3C[N+](CC)(CC)CC32)C1,C1C[N+](CC)(CC)CC(C1)C,C1CC(C)[N+](CC)(CC)CC1,CC1CCCC(C)[N+]1(C)C,C1(C)C[N+](CC)(CC)CC(C1)C
C1(C)CC(C)C[N+](C)(C1)C,C1(C)(C2CC(C)(C)C(C2)[N+](C)(C)C)C[N+](C)(C)C1,C1C[N+](CC)(C2C(C(C2)C(C)C1)C)CC,C1(C)(C)C2CC1C(CC[N+]2(CC)C)C,C1CC(C)(C)C[N+](C1)(C)C,C1[N+](C)(CC(C)CC1C)C
C1CCCC(NCCNC(CCN1C)C)C,C1CC[N+](C)(CCCC[N+]2(CCCC2)C)C1,CC[N+]1(C)CCCC1,C1C[N+](CC1)(CCCCC[N+]1(CCCC1)C)C,C1CC[N+](C1)(CCCCC[N+]1(C)CCCC1)C,C(CCC[N+]1(C)CCCC1)[N+]1(C)CCCC1
C1N(CCN(CCN(C)CCN(C)CC1)C)C,C1CC[N+](CCCCC[N+]2(C)CCCC2)(C)C1,C(CO)[N+](CCO)(CCO)C,C(CNCCC)C,C(CCCCCCCCCCCCCC)CCC[N+](C)(C)C,C(CCCCCCCCC[N+](C)(C)C)CCCC
C(CCCCCCCCCCCCCCCCCCCC[N+](C)(C)C)[N+](C)(C)C,C1[N+](CCCCC[N+]2(C)CCCC2)(CCC1)C,C1C(C)NCCNC1,C1CC[N+](C1)(C)CCCCC[N+]1(CCCC1)C,C(N(CCO)CCO)CO,C1CCCCC1N
C1CCCC(NCCN)CCCNCNC1,C(CC[N+](C)(C)C)CC[N+](C)(C)C,C1C[N+](CCCCC[N+]2(CCCC2)C)(CC1)C,C(CC)CCCCCCCCCCC[N+](C)(C)C,C1CCCCCCC1N,C(C)(N(C(C)C)CC)C
C1CCCC(NCCNCCNC(CCCN1C)C)C,C1CCC(CC1)N,C(CO)N(CCO)CCO,C1C[N+](CCCCC[N+]2(C)CCCC2)(C)CC1,C(C)CN(CCC)CCC,C(CCCCCCCCCCCCCCCCC)CCC[N+](C)(C)C
c1(c(cc(C)[n+]1C)C)C,Cn1c(C)[n+](c(C)c1)C,C(CC[n+]1ccn(c1)C)C,[n+]1(ccn(C)c1C)C,Cn1c[n+](cc1)CC,C(CCCCC[n+]1c(n(C)cc1)C)C[n+]1c(n(C)cc1)C
C1CCNC(C)CCNC(CCN1C)C,C(C)(C)N(CC)C,C1CN(C)CCN(CCN(CCN(C)CCN(C)CCN1)C)C,C1CCCCC1N,C1CC(CC1(C)N)N,C1CCCC(N)C1
C1CC(NCCNC(CCNC(CCN1C)C)(C)C)C,C1CN(CCN(C)CCCN(C)CCN(C1)C)C,C1CN(C)CCN(CCN(CCN(C)CCN(CCN1C)C)C)C,C1CN(CCN(C)CCN(CCN(CCN(C)CCN1C)C)C)C,C(CNCCC)C,C1CCC(N)CC1
C1CC(CC([N+]2(CCCC2)CC1)C)C,C1CCC([N+](C)(C)C)CC1,C1CCC(C)[N+](CC)(CC)C1,CC1(C)CCC[N+](C)(C1)CC,C1CC(C)[N+](C)(C)C(C)C1,C1CC(C)C[N+](CC)(C1)CC
C1(C)CC(C)C[N+](C1)(C)C,C1C(C)[N+](C)(CC(C)C1)C,C1C(C)CC([N+]2(C1)CCCC2)C,C1CCC(C)(C)C[N+]1(CC)CC,CC1(C)CCC[N+](C)(C1)C,C1CCC(C[N+]1(CC)CC)C
C12C3C=CC(C2CC1C3)C[N+](C)(C)C,C1C(C)(C)CC(C)C[N+]21CCCC2,C1[N+](CC(C)CC1)(CC)CC,C1C([N+](CC)(CC)C(C)CC1)C,C1C(C[N+](C)(C(C)C1)C)C,C1CCC(C[N+]1(C)C)C
CC1(C)C2(C)CCC(C1C2(C)C)[N+](C)(C)C,C1C(C)C[N+](CC)(CC)CC1,C1CC[N+](CC)(CC)C1CC,C1CCC(C)[N+](C1C)(CC)CC,C1CC(C)[N+](CC)(C(C)C1)CC,C1CC[N+](CCCC)(C1)C
C1CC2C3C[N+](C)(C)C)CC(C3C=C2C1,C1C(C)(C)CC(C)C[N+]1(CC)CC,C1(C)CC(C[N+](CC)(C1)CC)C,C1C(C)CC(C)C[N+]1(C)CC,C1CCC([N+](C1C)(C)C)C,C1CC(C[N+](CC)(CC)C1)C
C1CCN(C)CCN(C)CCN(CCN(CCN1C)C)C,C1C(N(C)CCCN(CC(C)(C)C1)C)C,C1CCCC(C1)N,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,N1CCCCCC1,[N+]1(CCCC1)(CCCCC[N+]1(C)CCCC1)C
C[N+]1(C)CC2C(CC(C2)(C)C1)C,C1C2C3C=CC(C2C[N+](C)(C)C)C3C1,C1C2C([N+](CC1)(C)C)C1C2C=CC1,C1C(CC(C)C[N+]1(C)C)C,C1C(C)(C)CCC[N+]1(C)C,C1CCCC(C1)[N+](CC)(C)C
C1CCN(CCCN(CCN(C)CCN1C)C)C,C(NCCNCCNCCN)CN,C(CCNCCCN)N,C(CCCCNCCCCC)CN,C(CN)NCCNCCN,C(C)CNCCC
CC[N+](CC)(CC)CC,C1CCC(CC1)N,C1CCCC(N)C1,N(CCN)CCNCCNCCN,C(CNCCCNCCN)N,C(CNCCNCCNCCNCCN)N
c1(C)n(c(C)[n+](C)c1C)C,C([n+]1ccn(C)c1)C,C1NCCCC1,c1n(c[n+](c1)C)C,Cn1c(C)c[n+](C)c1C,Cc1[n+](C)ccn1C
C1CC(NCCNC(CCNC(CCN1C)C)(C)C)C,C1N(C)CCN(CCN(CCN(C)CCN(C1)C)C)C,C1N(C)CCCN(CCN(CCCN(C)C1)C)C,C1CC(CCC1)N,C(C)CNCCC,C(CNCCCNCCCNCC(C)(C)C)(C)C
C1CCCC(C)[N+](CC)(CC1CC)CC,C1[N+](C2CC1C1CC2CC1)(C)C,C1C2CC3CC1CC(C2)([N+](C)(C)C)C3,C1CCC(C)[N+](C1C)(CC)CC,C1CCC(C)[N+](CC)(C1C)C,C1(C)[N+](C(CCC1)C)(C)C
C1CCCC(C[N+]1(CC)CC)C,[N+]1(C)(C)CC(CC(C)C1)C,C1CC(C)[N+](C)(C)CC1,C1CCC(C)[N+](C1C)(CC)CC,CC1(C)C2CC1C(C)(C)C[N+](C)(C)C2,C1C(C)(CCC[N+]1(C)C)C
C[N+]1(CC(CCCC1)C)CC,C12CC3(CC(CC(C1)C3)C2)[N+](C)(C)C,C1C2CC3(CC1CC(C2)C3)[N+](C)(C)C,C1CC(C)[N+](C)(CC)CC1C,C1C2CC3CC(CC1C3)([N+](C)(C)C)C2,C1CC2C(CCCC2)[N+](C)(C1)C
C1[N+](CC2C3CC(CC1C3)C2)(C)C,C12CC3CC(CC(C2)C3)(C1)[N+](C)(C)C,C12CC3(CC(CC(C2)C3)[N+](C)(C)C)C1,C1CC(C[N+](C)(C)C1)C,C1(C)(C2CC1[N+](CC)(CC)CCC2C)C,C1C(C)CCCC1[N+](C)(C)C
C1C(C)C2CC1CC(C2)[N+](C)(C)C,C1[N+](C)(C)CC(C)(C)CCC1,C1C2CC3CC1CC(C2)([N+](C)(C)C)C3,C1CC(C)[N+](CC)(CC)CC1,C1C(C)(C)CCC[N+]1(C)C,C1CC[N+](CC)(CC)C2C(C)(C1C2)C
C1CCCC(CC1)[n+]1c(n(cc1C)C)C,C1[N+](C)(CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31)C,C1C2CC3(CC1CC(C2)C3)[N+](C)(C)C,C12CC3CC(CC([N+](C)(C)C)(C3)C2)C1,C12CC3CC(CC(C2)([N+](C)(C)C)C3)C1,C1CCCC([N+]2(CCCC2)CCCC)C1
C1C(C)CC([N+](C)(C)CC1)C,CC1C2CC3CC(C2)(CC1C3)[N+](C)(C)C,C1([N+](CC)(C(CCC1)C)CC)C,C1CC(C)(C)C[N+](C)(CC)C1C,C1C([N+](C)(C)C)CC2CC1C2(C)C,C12C3C4C(C(C2C[N+](C)(C1)C)C=C3)C[N+](C)(C4)C
C12CC3CC(CC(C2)C3)[N+](C)(C)C1,C1[N+](C)(CC)CCC(C1)(C)C,C1C2CC3CC1CC(C2)([N+](C)(C)C)C3,C1CCCC([N+]1(CC)CC)C,C1(C)(C)C2CC1C(C)CC[N+]2(C)C,C1(C)CC(C[N+](C1)(C)C)C
C12CC3CC(C1)CC([N+](C)(C)C)CC(C3)C2,C1C2CC3(CC1CC(C2)C3)[N+](C)(C)C,C1C(C)C[N+](C)(C)CC1,C1C(C)(C)C2CC1C(C)(C2)[N+](C)(C)C,C1CCC(C)(C[N+](C)(C)C1)C,C1[N+](C)(CC(CC1C)C)C
C1C2C(CC(CC1)C2)C[N+](C)(C)C,C1C(C)(C)C2CC1[N+](CC)(CC)CCC2C,C1([N+](CC)(CC)CCCC1C)C,C1(C)CC(C)C[N+](C)(C)C1,CC1(C)C2CC1[N+](CC)(C)C(CC2)C,C1CC([N+](CC)(C)CC1)C
C1CCC2(CCC1)C[N+](C)(C)CC2,C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C,C12CC3CC(CC(C2)C3)(C1)[N+](C)(C)C,C1CC2CCCC([N+]2(CC)C)C1,C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2,C1[N+](C)(CCCC1)CCCC[N+]1(CCCC1)C
C12CCCC(CC[N+](C)(C)C)C2C1,[N+]1(C)(C)CC(C)(C)CCC1,C1C2CCC(C[N+](C)(C2)C)C1,C1CCC2CCCCC2[N+](C)(C)C1,C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2,C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
C1CCC2[N+](C)(C)CCCCC2C1,C1CC(C)(C)C[N+](C)(C)C1,C12CC3CC(CC(C2)([N+](C)(C)C)C3)C1,C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2,C1C2(CC3CC1CC(C2)C3)[N+](C)(C)C,C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C
C1C2C(CC(CC1)C2)[N+](C)(C)C,C12CC3CC(C2)CC(C3)([N+](C)(C)C)C1,C1CCC(CC1)[N+]1(CCCC1)CCCC,C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2,C12CC3CC(CC(C1)C3)([N+](C)(C)C)C2,C1CCCC2C1CCC[N+]2(C)C
C1C2CC3CC(CC([N+](C)(C)C)CC1C3)C2,C1C(C)(C)C[N+](C)(CC1)C,C12CC3CC(CC(C2)C3)([N+](C)(C)C)C1,C1C(C)(C)CCC[N+]1(C)CC,C1CC(C)(C)C[N+](C1)(C)C,C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2
C1(C)CC(C)C[N+](C)(C1)C,C1[N+](CC)(C)CC(C)(C)CC1,C1C2CC3([N+](C)(C)C)CC1CC(C2)C3,C1C2CC3CC1(CC(C3)C2)[N+](C)(C)C,C1CC(C)(C)C[N+](C1)(C)C,C1[N+](CC)(CC)C(C)CCC1
C1N(C)CCN(C)CCN(CCN(CCN(CCN(C)C1)C)C)C,C1CCC(N)CC1,C1CN(CCN(CCN(CCN(CCN(C)CCN1C)C)C)C)C,C1CN(C)CCN(C)CCN(C)CCN(C)CCN1C,C(C)CNCCC,C1(CC(C)NCCNC(CC(NCCN1)C)(C)C)(C)C
C(C)CNCCC,C1C[N+](CCCCC[N+]2(CCCC2)C)(CCC1)C,C1N(CCN(CCN(CCN(CCN(C1)C)C)C)C)C,C1CCC(CC1)N,C1CC[N+](CCCCC[N+]2(CCCC2)C)(C1)C,C(C)(N(C(C)C)CC)C
C1CCN(CCN(CCCN(C)CCN1C)C)C,C(CNCCC)C,C1N(CCN(CCN(CCN(CCN(C)CCN(C)C1)C)C)C)C,C1CC(N)CCNC1,C(CNCCC)C,C1CC(C)(C)NCCNC(CC(NCCN1)(C)C)C
C1CNCCNC(C)CCNC(CCNCCN1C)C,C1CCCC(N)CC1,C1CNC(C)(C)CC(NCCNC(C)CC(C)(C)N1)C,C1C2CCN(CC1)CC2,C1NCCCCC1,C1CNC(CC(NCCNC(CC(C)NC1)(C)C)(C)C)(C)C
C1CNCCNC(C)CCN(C)CCN(CCN1C)C,C(C)(N(CC)CC)C,C(C)CNCCC,C1CCCC(N1)N,C1CCCCC1N,C(C)CNCCC
C1C2CCC(C1)CC[N+](C)(C)C2,CC1(C)CC(C[N+](C)(CC)C1)(C)C,C1C(C)[N+]2(CC(C)C1)CCCC2,C1CC(C)(C)C[N+](C)(C1)C,C1C(C)(C)CCC[N+]1(C)C,C1CCC(C)[N+](C1)(C)C
C1CC(C)C[N+](C)(C)CC1,C1CC(C)[N+](CC)(CC)CC1,C12CC3CC(C2)CC(C1)([N+](C)(C)C)C3,C1CCC(C)(C)C[N+]1(CC)CC,C1CCC(C)[N+](CC)(C1C)CC,C1C[N+](C)(C)CC(C)C1
C1CCC[N+](C1)(CC)CC,C(C)[N+]1(CC)CC(CC(C1)C)C,C1C(C)[N+](CC(C)(C)C1)(CC)CC,C1CCC(C)[N+](C1C)(CC)CC,CC1CCCC([N+]1(CC)C)C,C1CCC(C)[N+](C1)(CC)CC
C1C(C)C2CC[N+](CC)(CC)C2C1,C1(C)(CC2(C)CC([N+](C)(C)C)C1C2)C,C1C[N+](CC(C)(C1)C)(CC)CC,C1CCCC(C1)[N+]1(CCCC1)CCCC,C1(C)(C)CCC[N+](CC)(CC)C1,CC1CCCC(C)[N+]1(CC)CC
[N+]1(C)(CCC(CC1)C)C,C1(C)(C[N+](C)(CC)CCC1)C,C1(C)(C)CC(C)CC(C)C1[N+]1(CCCC1)CC,C1CCCC([N+]21CCCC2)CC,C1CC[N+](CC)(CC1)CC,C1CC[N+]2(CC(CC(C2)C)C)C1
C1C2C([N+](C)(C)C)CC(CC1)CC2,C1C(C)(C)C[N+](C(C)C1)(C)C,C1CCC(C)[N+]2(C1C)CCCC2,C1CC[N+](CC)(CC)CC1C,C1CCC(C)[N+](C)(C1C)C,C1CCC(C[N+]1(CC)C)(C)C
C1CC(C)[N+](C)(CC)CCC1,CC1C(C)CC(C[N+](C)(C)C1)(C)C,C1C2CC3([N+](C)(C)C)CC1CC(C2)C3,CC1CC(C)C[N+](C1)(CC)CC,CC1CC(C[N+](C1)(C)C)C,C12CC3CC(C1)CC(C3)(C2)[N+](C)(C)C
C1CCNC(C)CCNC(C)CCNC(CCN(C1)C)C,C(CCCCC[N+](C)(C)C)CCCC[N+](C)(C)C,C1N(CCN(C)CCCN(C)CCN(C)CC1)C,C(CNCCC)C,C([N+](CC)(C)CC)C,C(CCCC[N+]1(C)CCCC1)[N+]1(CCCC1)C
C1CCCCC(C1)N1CCCC1,C(CC[N+](C)(C)C)CCCC[N+](C)(C)C,C(CCCCCCCCCCC[N+](C)(C)C)C[N+](C)(C)C,C1CCC[N+]1(C)CCCCC[N+]1(CCCC1)C,C(N(CC)CC)C,C(C)[N+](CC)(CC)CC
C1CC[N+](C)(CCCC[N+]2(C)CCCC2)CC1,C1C[N+](CCCC[N+]2(CCCC2)C)(CCC1)C,C1CCC(CC1)N,C([N+]1(CCCC1)C)CCCC[N+]1(CCCC1)C,C1CCCCC1N,C(CCCCCCCCCCCC)CC[N+](C)(C)C
C[N+](C)(C)CCO,C1CCN(C)CCN(C)CCN(C)CCN(C)C1,C1C[N+](CCCC[N+]2(C)CCCC2)(C)CC1,C1[N+]2(CCCC[N+]34CCC(CC4)CC3)CCC(C1)CC2,C[N+]1(CCCC1)CCCCC[N+]1(C)CCCC1,C(C)(CC(C)(N)C)C
C1CCC(NCCNC(C)CCNC(C)CCN1C)C,C1(CC(C)NCCNC(C)(C)CC(C)(C1)N)C,C1CN(C)CCN(C)CCN(C)CCN(C)CCN1C,C1CCC(N)C1,C(CCCCCCC[n+]1cn(C)cc1)C,C1C(C)(CC(NCCNC(CC(NC1)(C)C)C)C)C
C1CCCCC(C1)[n+]1ccn(c1)C1CCCCCC1,C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C,C1C2CC3CC1CC(C2)([N+](C)(C)C)C3,C1CC2C(CCC2)[N+](C1)(C)C,C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C,C1CCC2C(CCCC2)[N+](C)(C)C1
C1C2CC3CC(CC(C3)C1)C2,C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C,C1C2CCC(C[N+]1(C)C)C2,C12CC3CC(CC(C3)C1)([N+](C)(C)C)C2,C1CC2CCCCC2[N+](C)(C)C1,C1C2CC3CC1(CC(C3)C2)[N+](C)(C)C
C1CCCC2CCCCCCC[N+]2(C)CC1C,C12CC3CC(CC(C1)C3)([N+](C)(C)C)C2,C1C2[N+](CCCC[N+]34CCC(CC4)CC3)(CC2)CC1,C1CCCC2C1C[N+](CC2)(C)C,C1CCCC2C1C[N+](C)(C)CC2,C12C(CCCC1)CCC[N+]2(C)C
C1CC2CC([N+](C)(C)C)CC1C2,C1CC2CCC(C2)[N+](C)(C)CC1,C1C2CC3CC(CC1C3)([N+](C)(C)C)C2,C1CC2CCCCC2[N+]1(C)C,C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C,C12CC3CC(C1)CC(C2)(C3)[N+](C)(C)C
C1(C)CC2CCC(C1)C[N+]2(C)C,C1CC[N+](CC)(CC)CC1,C1CC2CCC[N+](CC)(CC)C2CC1,C12CC3CC(C2)CC([N+](C)(C)C)(C3)C1,C1C2CC3CC1CC(C2)(C3)[n+]1cn(cc1)C12CC3CC(CC(C2)C3)C1,C12CC3CC(C2)CC([N+](C)(C)C)(C3)C1
