origin: C(C)(C)CNCC(C)(C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1CN(C)CCN(C)CCN1C
origin: C1C(C)CC(C[N+](C)(C)C1)C, cl: C12CC3CC(CC(C2)C3)(C1)n1cc[n+](C23CC4CC(C3)CC(C4)C2)c1, target: C(C)[N+]1(C)C(C)(C)CCCC1(C)C
origin: C(C)(N(CC)C(C)C)C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C(C)(N(C(C)C)CC)C
origin: C[N+]1(CC(C)CC(C)C1)C, cl: N1(CCNCC1Cc1ccccc1)Cc1ccccc1, target: C1CC[C@H](C)[N+](CC)(CC)[C@@H]1C
origin: C1(C)C[N+](C)(CC(C1)C)C, cl: CCCN(CCC)CCC, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C(CCCCCCCCCCCCC)CC[N+](C)(C)C, cl: C1CCCC2N(CC3CC2C[N+]2(C3CCCC2)C)C1, target: C(N(CC)C(C)C)(C)C
origin: C(CC)[N+](CCC)(CCC)CCC, cl: C(C)C(N(CCC)C(C)C)C, target: CC(C)N(CC)C(C)C
origin: C(CC[N+]1(C)CCCC1)CC[N+]1(C)CCCC1, cl: C(CC[n+]1cn(C)cc1)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C([N+](CC)(CC)CC)C, cl: C(C)C(NC)C(c1ccccc1)O, target: CC(C)N(CC)C(C)C
origin: C(CCCCCCCCCCCCCC)C[N+](C)(C)C, cl: C(N(CC)CC)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: c1[n+](C)cn(c1)C, cl: c1ccc(cc1)C(O)C(N(C)C)C, target: CC[N+](CC)(CC)CC
origin: C1CN(C)CCN(C)CCN(C)CCN(CCN(C)CCN1C)C, cl: C(CO)(Cn1c[n+](cc1)C)O, target: CC(N(C(C)C)CC)C
origin: C1NCCN(C)C1, cl: c1cc(CN2CCCC2)ccc1F, target: CC(N(CC)C(C)C)C
origin: C1C(C)[N+](CC)(C(CC1)C)C, cl: CCCN(CCC)CCC, target: C1[C@@H](C)C[C@H](C)C[NH2+]1
origin: C1CC([N+](C)(C(C)C1)C)C, cl: C1CN(CC1)Cc1cccc(c1)F, target: [C@H]1(C)CCC[C@@H](C)[NH2+]1
origin: CC1CC(C)C[N+](C)(C1)C, cl: c1c(F)ccc(CN2CCCC2)c1, target: C1C(C)[N+](C)(C)C(C)CC1
origin: C1CC(CC[N+]1(C)C)(C)C, cl: c1cc(C(O)C(N(C)C)C)ccc1, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: C1(C)CC(C)C[N+](C1)(C)C, cl: C1(CO)N(CCN1)Cc1cccc(F)c1, target: C1C(C)[N+](CC)(C)C(C)CC1
origin: C(CC[N+]1(C)CCCC1)C[N+]1(CCCC1)C, cl: C1CC(N(C)C2CCCCC2)CCC1, target: Cn1cc[n+](CC)c1
origin: C1C(C[N+](CC1C)(C)C)C, cl: c1(C(O)C(C)N(C)Cc2ccccc2)ccccc1, target: CC1C[N+](C)(C)CC(C)C1
origin: C1C(N)CCCC1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: N(CCN)CCNCCN
origin: C(C)(N)CCCCCNCC(C)C, cl: CCCN(CCC)CCC, target: C(NCCCNCCN)CN
origin: C[n+]1c(n(cc1)C)C, cl: C(N1CCCC1)c1cccc(F)c1, target: CC1(C)NCCN[C@@H](C)CC(C)(C)NCCN[C@@H](C)C1
origin: C1CCCC(N)C1, cl: c1cc(ccn1)N(C)C, target: N1CCNC(C)(C)C[C@H](C)NCCNC(C)(C)C[C@@H]1C
origin: C1CC([N+](C)(C)C(C)(C1)C)C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C[C@@H]1C[C@H](C)C[N+](C)(C)C1
origin: C1(C)CCCC([N+]1(C)C)C, cl: CC(C(c1ccccc1)O)NC, target: [C@@H]1(C)C[N+](C)(C)C[C@@H](C)C1
origin: C1CC2C(CC1)CC[N+](C)(C)CC2, cl: CC(C(NC)C)c1ccccc1, target: C1[N+](C)(C)CC(C)CC1C
origin: C12CC3CC(C1)(CC(C2)C3)[N+](C)(C)C, cl: N(C(C(c1ccccc1)O)C)C, target: C1CCC(C)[N+](CC)(CC)C1C
origin: C12CC3CC(CC(C1)C3)[N+](C)(C)C, cl: c1c(C(O)C(O)C(C)NC)cccc1, target: C[N+]1(C)C2CCCC1CCC2
origin: C1CCC(C)[N+](C1C)(CC)CC, cl: C([n+]1cn(C)cc1)CCC, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C([N+]1(C)CC(CC(C1)C)C)C, cl: C1CN(C(CO)C1)Cc1cccc(F)c1, target: C1C(C)C[N+](C)(C)CC1C
origin: C1(C)CC(C)C[N+](C1)(C)C, cl: C(N(CC)CC)C, target: CC[P+](CC)(CC)CC
origin: C1[N+](C)(C)CC(CC1C)C, cl: C(c1ccccc1)N1CCCC1, target: [N+]1(C)(C)C(C)CCCC1C
origin: C1C(CC(C)C[N+]1(C)C)C, cl: C1CN(Cc2ccccc2F)CC1, target: CC[N+]1(C)C(C)(C)CCCC1(C)C
origin: C1[N+](C)(CC)CCCC1(C)C, cl: C(C(O)c1ccccc1)(C)NC, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: C1CC2C(CCC1)[N+](C)(C)CCC2, cl: C(c1cccc(F)c1)N1CCCC1, target: C1(C)CCCC(C)[N+]1(C)C
origin: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, cl: C1CCCCN1Cc1ccccc1, target: C1C[N+](C)(C)C2CC(C1)C2(C)C
origin: C1CCCC2C1[N+](C)(CC)CCC2, cl: C12CC3CC(CC(C1)(C3)[N+](C)(C)C)C2, target: CC12CC([N+](C)(C)C1)CC(C)(C)C2
origin: C1CC([N+](C(C)C1)(C)CC)C, cl: C1(N(Cc2ccccc2)CCC1)CO, target: C12CC([N+](C)(C)CCC1)C2(C)C
origin: CC1(C)C[N+](CC(C)C1)(C)C, cl: N(CC)(CC)CC, target: CC1CC[N+](C)(C)C2CC1C2(C)C
origin: N1(C)CCNCC1, cl: C1(CO)N(CCC1)Cc1ccccc1, target: CC(N(CC)C(C)C)C
origin: C(CC)NCCC, cl: C1C(CO)N(Cc2ccccc2)CC1, target: N(C(C)C)(C(C)C)CC
origin: C1(C)(C)NCCNC(C)CC(NCCNC(C)(C1)C)C, cl: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, target: C(C)N(C(C)C)C(C)C
origin: C1CCC(N)C(C1)N, cl: c1cc(F)c(CN2CCCC2)cc1, target: CCn1cc[n+](C)c1
origin: C1NCCN(CC(C)(NCCNC(C)CC(C)(NC1)C)C)C, cl: c1ccccc1C(C(NC)C)O, target: CC(N(CC)C(C)C)C
origin: C1CC(C)(C[N+](CC)(CC1C)CC)C, cl: C(N(CC)CC)C, target: [P+](CC)(CC)(CC)CC
origin: C1C(C)[N+](CCC1)(CC)C, cl: N(CC)(CC)CC, target: CC1CC(C)C[N+](C)(C)C1
origin: C1CC(C)[N+](C(C)C1)(C)CC, cl: N1(CCCC1CO)Cc1cc(F)ccc1, target: C1CCC[N+](C)(C)C1CC
origin: C1(CCCC(C)[N+]1(CC)CC)C, cl: [N+]12(CC3CC(CN4CCCCC34)C1CCCC2)C, target: CC1[N+](C)(CC)C(C)CCC1
origin: C1CCC([N+](CC)(C)C1C)C, cl: C1N(CCCC1)Cc1ccccc1, target: C([N+]1(CC)C(C)CCCC1C)C
origin: C1CC([N+](C)(CC)CC1C)C, cl: C(C)(C)N(CC)C(C)C, target: CC1[N+]2(CCCC2)C(C)CCC1
origin: C1(C)CCCC(C)[N+]1(CC)CC, cl: C(CC)C[n+]1ccn(c1C)C, target: C[N+]1(C)CC(C)(C)C=CC(C)(C)C1
origin: C(C)(C)N(C(C)(C)C)C, cl: c1cc(ccc1)CN1CCCC1CO, target: C([N+](CC)(CC)CC)C
origin: C(C)CNCCC, cl: C(CC)N(CCC)CCC, target: N(C(C)C)(C(C)C)CC
origin: C(CCC[N+]1(CCCC1)C)C[N+]1(CCCC1)C, cl: c1[n+](CCCC)cn(C)c1, target: CC(N(C(C)C)CC)C
origin: C1CN(C)CCN1, cl: N(C)(C)CC, target: C1CN(C)CCN(C)CCN1C
origin: C1C(N)CCCC1, cl: CCN(CC)CC, target: C1N(C)CCN(C)CCN(C)C1
origin: C1CCCC2C1[N+](CC)(C)CCC2, cl: C1CN(Cc2ccccc2F)CC1, target: C[N+]1(C)[C@H](C)CCC[C@@H]1C
origin: C1C2CCCCC2C[N+](C)(C1)C, cl: C(CC)CNCCCC, target: C1C[C@@H](C)[N+](C)(C)[C@@H](C)C1
origin: C1C2CC3CC(C2)[N+](C1)(CC(C3)C3)C, cl: [N+](CC)(CC)(CC)CC, target: C[C@@H]1[N+](C)(C)[C@H](C)CCC1
origin: C1CC2CCCC[N+](C2C1)(C)C, cl: C1CCCC2C3CC(C[N+]13C)C1N(C3)CCCC1, target: [N+]1(C)(C)C[C@H](C)C[C@H](C)C1
origin: C12CC3CC(C1)(CC(C3)C2)[N+](C)(C)C, cl: c1(cccc(F)c1)CN1CCCC1, target: C[N+]1(C)C[C@H](C)C[C@H](C)C1
origin: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, cl: C1N(CCC1)Cc1ccc(cc1)F, target: [C@@H]1(C)C[C@H](C)C[N+](C)(C)C1
origin: C1C2CC3CC1(CC(C3)C2)n1c[n+](cc1)C12CC3CC(C2)CC(C1)C3, cl: c1c(cccc1)CN1CCCC1CO, target: C(C)[P+](CC)(CC)CC
origin: C1C(C)(C)[N+](C)(CC)C(C)(C)CC1, cl: c1(C)n(C)c([n+](C)c1C)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1C(C[N+](CC1C)(C)C)C, cl: C(C1CCCN1Cc1ccccc1)O, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C(CCC[N+]1(C)CCCC1)[N+]1(CCCC1)C, cl: C12CC3CC(C1)(CC(C2)C3)[N+](C)(C)C, target: C(C)[N+](CC)(CC)CC
origin: C1CC(C)[N+](C(C1)C)(CC)C, cl: C(C)(C(O)c1ccccc1)NC, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1CCC([N+](CC)(C1C)C)C, cl: c1c(cccc1)C(O)C(N(C)C)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1(CCCC([N+]1(CC)CC)C)C, cl: C(C)(C)N(CC)C(C)C, target: CC[P+](CC)(CC)CC
origin: C1(C)[N+](C)(C(C)CCC1)CC, cl: C(N(CC)CC)C, target: CC[P+](CC)(CC)CC
origin: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, cl: C1C(CCCC1)N(C)C1CCCCC1, target: C([P+](CC)(CC)CC)C
origin: C12CC3(CC(CC(C3)C2)C1)[N+](C)(C)C, cl: c1n(C)c([n+](CC)c1C)C, target: C([P+](CC)(CC)CC)C
origin: CCN(CC)CC, cl: C1(N(CCC1)Cc1ccccc1)CO, target: CCN(C(C)C)C(C)C
origin: C1CCC(C)[N+](C)(C)C1C, cl: C(N(CC)CC)C, target: C[C@@H]1C[C@H](C)C[NH2+]C1
origin: C1(C)(C)CCC[N+](C)(C1)C, cl: C(O)(c1ccccc1)C(C)N(C)Cc1ccccc1, target: C[C@H]1CCC[C@@H](C)[NH2+]1
origin: N(CC)(CC)CC, cl: c1cc(ccc1)C(O)C(NC)C, target: C(C)(N(C(C)C)CC)C
origin: C(C)CNCCC, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C(C)(C)N(CC)C(C)C
origin: C(CCN(C)C)CCCN(C)C, cl: C1(CO)N(CCC1)Cc1ccccc1, target: CCN(C(C)C)C(C)C
origin: [N+]1(C)(CC2C(CCC2)CC1)C, cl: c1c(C([N+](C)(C)C)CO)cccc1, target: C1C(C)C[N+](C)(C)CC1C
origin: C1CCCC(N)C1, cl: C(C)(N(CC)C(C)C)C, target: C(C)[N+](CC)(CC)CC
origin: C(CCC)CCCCCCCCCC, cl: c1ccc(C(O)C(NC)C)cc1, target: [N+](CC)(CC)(CC)CC
origin: C(C)(C)(N(C(C)C)CC)C, cl: c1ccc(c(c1)CN1CCCC1)F, target: C(C)(N(C(C)C)CC)C
origin: C1CCN(CCN(CCCN(C)CCN1C)C)C, cl: C1CN(Cc2cccc(c2)F)CC1, target: C(C)N(C(C)C)C(C)C
origin: C1(C)CC(C[N+](C)(C)C1)C, cl: C1CCCC(C1)N(C1CCCCC1)C, target: C[N+]1(CC)C(C)(C)CCCC1(C)C
origin: CC(N(CC)C(C)C)C, cl: c1c(C[n+]2ccn(C)c2C)cccc1, target: N(C(C)C)(CC)C(C)C
origin: C(C)[N+]1(CC)C(C)CCCC1C, cl: C1N(C(CO)CC1)Cc1ccccc1, target: CC[N+]1(CC)[C@@H](C)CCC[C@H]1C
origin: C1(CCCC(C)[N+]1(CC)C)C, cl: N1(CCCC1CO)Cc1ccccc1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C[N+](C)(C)CCCCCCCCCCCCCCCC, cl: C1CN(Cc2ccccc2F)CC1, target: CC(C)N(C(C)C)CC
origin: [N+](CC)(CC)(CC)CC, cl: c1ccc(C(O)C(NC)C)cc1, target: CC(C)N(CC)C(C)C
origin: C(N)CCCCCCCCCCCCCCCCCCCC, cl: c1(CN2CCCC2)cc(F)cccc1, target: C[N+]1(C)CC(C)CC(C)C1
origin: N(CCO)(CCO)C, cl: C1CCCCC1N(C1CCCCC1)C, target: CC(N(C(C)C)CC)C
origin: C(CCCCCCCC)CCCCCCC[N+](C)(C)C, cl: N(C)(C(c1ccccc1)O)C, target: CC1CC(C)C[N+](C)(C)C1
origin: c1n(C)c[n+](CC)c1, cl: C(C)N(CC)CC, target: CC[N+](CC)(CC)CC
origin: N(CC)(CC)CC, cl: N12CCC(CC1)CC2, target: CC(C)N(CC)C(C)C
origin: CC1CC(NCCNC(CC(C)(C)NCCNC1C)C)(C)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: CC(C)N(C(C)C)CC
origin: C1CCC([N+](C(C1)C)(C)CC)C, cl: C(C)N(CC)CC, target: [C@@H]1(C)C[NH2+]C[C@@H](C)C1
origin: C1CCC([N+](C)(C)CC)CC1, cl: c1cccc(CN2CCCC2CO)c1, target: [NH2+]1[C@H](C)CCC[C@@H]1C
origin: C1C(C)[N+](CC)(C(CC1)C)CC, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C1C(C)[N+](C)(C)C(C)CC1
origin: CC[N+]1(CC)CC(C)CC(C)C1, cl: c1cc(CN2C(CO)CCC2)ccc1, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: C1CCC([N+](CC)(CC)C1C)C, cl: C1CC(CCC1)N(C1CCCCC1)C, target: C([N+]1(C)C(C)CCCC1C)C
origin: C1CCC[N+]1(C)CCCC[N+]1(C)CCCC1, cl: [N+](C)(Cc1ccc(F)cc1)(C)Cc1ccccc1F, target: c1[n+](CC)ccn1C
origin: C1CC[N+](CC1)(C)CCCC[N+]1(C)CCCCC1, cl: C(CN1CCOCCOCCOCCOCCOCC1)N1CCOCCOCCOCCOCC1, target: CC1C[N+](C)(C)CC(C)C1
origin: N(CCN)CCNCCNCCN, cl: c1cccc(c1)C(O)C(C)N(C)Cc1ccccc1, target: C(NCCNCCN)CN
origin: C1CC(N)CCC1, cl: C12CC3CC(CC(C1)C3)(C2)[N+](C)(C)C, target: N(CCCNCCN)CCN
origin: c1n(C)c(C)[n+](c1)C, cl: C(N(CC)CC)C, target: [C@@H]1(C)NCCNC(C)(C)C[C@H](C)NCCNC(C)(C)C1
origin: CC1(C)NCCNC(C)CC(C)(NCCNC(C1)C)C, cl: c1ccc(cc1F)CN1CCCC1, target: C1C(C)(C)NCCN[C@@H](C)CC(C)(C)NCCN[C@H]1C
origin: C1CCC(C)([N+](C1)(C)C)C, cl: C1(CCCN1Cc1ccccc1)CO, target: C1[C@H](C)C[N+](C)(C)C[C@@H]1C
origin: C1CC[N+](CC1)(C)CCCC, cl: C12C3CC(CN3CCCC2)C2CCCC[N+]12C, target: C[N+]1(C)C[C@@H](C)C[C@H](C)C1
origin: C1CCCC2C1[N+](CCC2)(C)C, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1CCC([N+](C1C)(C)C)C, cl: c1ccccc1C(C(C)NC)O, target: C([N+]1(CC)C(C)CCCC1C)C
origin: C1CC(C)(C[N+](C1)(C)C)C, cl: c1cc(c(CN2CCCC2)cc1)F, target: C[N+]1(C)C2CCCC1CCC2
origin: CC1[N+](CC)(C(CCC1)C)CC, cl: C1C(CO)N(Cc2ccccc2)CC1, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: C1(C)C[N+](C)(C)CC(C1)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C1C(C)CC(C)C[N+]1(C)C
origin: C12(CC3CC(C1)CC(C2)C3)[N+](C)(C)C, cl: C1C2C3CCCCN3CC1C1CCCC[N+]1(C2)C, target: C([P+](CC)(CC)CC)C
origin: C1(C)CC(C)C[N+](C)(C1)C, cl: C(N(CC)CC)C, target: CC1[N+](C)(C)C(C)CCC1
origin: C1C(C)(C[N+](C)(C)CC1C)C, cl: c1c(F)c(C[N+](C)(Cc2ccc(F)cc2)C)ccc1, target: C1C(C)(C)[N+](CC)(C)C(C)(C)CC1
origin: C12(CC3CC(CC(C2)C3)C1)[N+](C)(C)C, cl: C(C(C)N(C)C)(O)c1ccccc1, target: CC1CCCC(C)[N+]1(CC)CC
origin: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, cl: C1CCCCC1N(C1CCCCC1)C, target: C1(C)CCCC(C)[N+]1(C)C
origin: C1CCCC2C1[N+](CCC2)(C)C, cl: C1CCC(N)CC1, target: C1(C)(C)C2CCC[N+](C)(C)C1C2
origin: C[N+]1(CC2CC3CC(CC1C3)C2)C, cl: C(C(C)N(C)C)(c1ccccc1)O, target: C[N+]1(C)CC2(C)CC(C)(C)CC1C2
origin: C1CC(CC[N+]1(C)C)(C)C, cl: C1(N(CCC1)Cc1ccccc1)CO, target: C1(C)(C)C2CC1[N+](C)(C)CCC2
origin: C12CC3CC(CC(C2)(C3)[N+](C)(C)C)C1, cl: c1c(CN2C(CO)CCC2)cc(F)cc1, target: CC1CC[N+](C)(C)C2C(C)(C)C1C2
origin: C([n+]1cn(C)cc1)CCC, cl: C1CCCCC1N(C1CCCCC1)C, target: CC(C)N(C(C)C)CC
origin: C1CCC(CC1)N, cl: c1(F)cc(CN2CCCC2)cccc1, target: CC(N(C(C)C)CC)C
origin: CCC(C)N(C(C)C)CC, cl: c1cc(CN2CCCC2)ccc1, target: C(N(CC)C(C)C)(C)C
origin: C(C)(C)N(CC)C(C)C, cl: N(CC)(CC)CC, target: C[n+]1cn(CC)cc1
origin: C1(C)NCCNC(C)(C)CC(C)(NCCNC(C)C1)C, cl: c1ccc(cc1)CN1C(CO)CCC1, target: N(CC)(C(C)C)C(C)C
origin: C1[N+](C(C)CCC1)(CC)C, cl: C1CCN(C1)Cc1ccccc1, target: [P+](CC)(CC)(CC)CC
origin: C1CCC([N+](CC)(C1C)CC)C, cl: C(N(CC)CC)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1(C)CCCC(C)[N+]1(C)C, cl: C(C1CCCCC1)N(C1CCCCC1)C, target: C1CC[N+](C)(C)C(CC)C1
origin: C1(CCCC(C)[N+]1(C)CC)C, cl: Cc1n(C)c(C)c[n+]1C, target: C([N+]1(C)C(C)CCCC1C)C
origin: C1C([N+](C)(C(C)CC1)CC)C, cl: C[N+](C)(C)CC, target: CC1[N+](CC)(CC)C(C)CCC1
origin: C1CCCC(C1)[N+](CC)(CC)CC, cl: c1cc(CN2CCCC2)ccc1, target: [N+]12(CCCC1)C(C)CCCC2C
origin: CC[N+]1(CC2C(C3C4C(C[N+](C4)(CC)CC)C2C=C3)C1)CC, cl: C(C)CN(CCC)CCC, target: C[N+]1(C)CC(C)(C)C=CC(C)(C)C1
origin: C1C(CC(N)CC1)N, cl: c1cc(CN2CCCC2CO)ccc1, target: C([N+](CC)(CC)CC)C
origin: CC1CC(C)(C[N+](C1)(C)C)C, cl: c1(ccccc1)C[N+](C)(Cc1cccc(F)c1)C, target: CC(C)N(CC)C(C)C
origin: C1(C)C[N+](C)(CC(C1)C)C, cl: C1N(CCCC)CCCC1, target: CC(C)N(CC)C(C)C
origin: C(CC)N(CCC)CCC, cl: C(c1cccc(F)c1)N1CCCC1, target: CN1CCN(C)CCN(C)CC1
origin: C1C(C)CC(C)(NCCNC(C)CC(C)(NCCN1)C)C, cl: c1cc(CN2C(CO)CCC2)ccc1, target: C1N(C)CCN(C)CCN(C)C1
origin: C1C2CC3(CC(CC1C3)C2)[N+](C)(C)C, cl: N(CCC)(CCC)CCC, target: C[N+]1(C)[C@H](C)CCC[C@@H]1C
origin: C([N+](CC)(CC)CCCCC[N+](CC)(CC)CC)C, cl: C(C)CN(CCC)CCC, target: C1[C@@H](C)[N+](C)(C)[C@@H](C)CC1
origin: C12CC3CC(CC(C1)(C3)[N+](C)(C)C)C2, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C[C@@H]1[N+](C)(C)[C@H](C)CCC1
origin: C[N+]1(CC2CC3CC(C2)CC1C3)C, cl: C(C)N(CC)CC, target: C1[C@H](C)C[N+](C)(C)C[C@@H]1C
origin: C1CCC[N+](CC)(C1)CC, cl: C1CCCC2N1CC1CC2C[N+]2(C)C1CCCC2, target: [C@@H]1(C)C[C@H](C)C[N+](C)(C)C1
origin: C1CC2C(CC1)CCC[N+](C2)(C)C, cl: C(C)CN(CCC)CCC, target: [N+]1(C)(C)C[C@H](C)C[C@H](C)C1
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: c1n(C)c(C)[n+](CCCC)c1, target: [P+](CC)(CC)(CC)CC
origin: C1(C[N+](CC)(C)CC(C)C1)C, cl: C1CCN(Cc2ccccc2F)C1, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC1CC(C[N+](C1)(CC)CC)C, cl: C1(N(C)C2CCCCC2)CCCCC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C(C)(N(C(C)C)CC)C, cl: N(CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C12CC3CC(C1)CC(C2)C3[N+](C)(C)C, cl: c1ccccc1C(O)C(N(C)C)C, target: C1[N+](C)(C)CC(C)CC1C
origin: C1CC[N+](C)(C(C)C1)C, cl: C1(N(C2CCCCC2)C)CCCCC1, target: CC1CC(C)C[N+](C)(C)C1
origin: CC1CC(C[N+](C1)(C)C)C, cl: N(CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: CC1CCCC(C)[N+]1(CC)CC, cl: C(N(CC)CC)C, target: CC[P+](CC)(CC)CC
origin: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, cl: C([N+](CC)(CC)CC)C, target: C([P+](CC)(CC)CC)C
origin: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, cl: c1[n+](Cc2ccccc2)c(n(C)c1)C, target: C([P+](CC)(CC)CC)C
origin: N(CC)(C(C)C)C(C)C, cl: n1(C)cc[n+](c1C)CCCC, target: C(C)N(C(C)C)C(C)C
