origin: N1(C)CCN(C)CCN(C)CC1(C)CCN(C)CC, cl: C1CN(C)CCN(, target: N1(C)CCN(C)CCN(C)CC1
origin: [N+]1(CC)CCC(C)C2(C)C(C)CCC2, cl: C[C@H]1CCC[[+]1(CCCC1)C, target: [N+]1(CC)(CC)[C@H](C)CCC[C@@H]1C
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1[N+](C)(C)CCCC1(C)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C(C)N(C(C)C)C(C)C, cl: CC(C)N(C(C)C)CC, target: C(C)N(C(C)C)C(C)C
origin: C(C)N(C(C)C)C(C)C, cl: C(N(C(C)C)CC)C, target: C(C)N(C(C)C)C(C)C
origin: C1C(C)C[N+](C)(C)CC1C, cl: C1(C)CC(CCN[)+]1(C)C)C, target: C1C(C)C[N+](C)(C)CC1C
origin: CC(N(CC)CCCCCC((C))))C, cl: CCN(C(C)C)C(C)C, target: CC(N(CC)C(C)C)C
origin: C1(C)CC(C)C[N+](C)(C)C, cl: C[N+]1(C)CC(CC(C1)C)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C([N+](CC)(CC)CC)C, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: CC(N(CC)C(C)C)C, cl: CC(N(C(C)C)CC)C, target: CC(N(CC)C(C)C)C
origin: CC(C)N(CC)CCCC(()NCCCCC)CC, cl: C(C)(C)N(CCCCCN(C)C)C, target: CC(C)N(CC)C(C)C
origin: C1[NH2+]CCCCCC, cl: C[C@@H]1C(C)CCCCC[n+]1cc(()(n)C)C)C1CnCccn11, target: C1[NH2+]C[C@@H](C)C[C@@H]1C
origin: C[C@@H]1[(+]1Cccccc1)(C)Cc1ccccc1, cl: [NH2+]1[C+(C)CC(C)1CCC, target: C[C@@H]1[NH2+][C@H](C)CCC1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1(C)CCCC([N+]1(CCCCC))C, target: C[N+]1(C)C(C)CCCC1C
origin: C(C)[N+]1(CC)C(C)CCCC1C, cl: CC1[N+](CCCC1)(C)C, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: C1CC(C)[N+](C)(C)C(C)C1, cl: C1CCC(C)[N+](C))CCCCCC, target: C1CC(C)[N+](C)(CC)C(C)C1
origin: CC[n+]1cnnCC1, cl: C([n+]1cnnCc)cCCccc11c, target: CC[n+]1cn(C)cc1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C[N+]1(C)CC(CCCC)(C)C11CCCCC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: NCCNCCNCCN, cl: C(NCCNCCN)CN, target: NCCNCCNCCN
origin: NCCNCCCNCCN, cl: C(N)CNCCCCCN, target: NCCNCCCNCCN
origin: [C@H]1(C)C(CCCCCC[C+](C)CCCNCC)C, cl: CC1(C)C[C+](C)(CCC))CC1, target: [C@H]1(C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)NCCN1
origin: C1[C@H](C(nNccccc2)cccc1), cl: C[C@H]1CCC[NH]+], target: C1[C@H](C)NCCNC(C)(C)C[C@H](C)NCCNC1(C)C
origin: [C@@H]1(Cnnccc1)C, cl: C1[C@H](C(C)()))cccc1, target: [C@@H]1(C)C[C@H](C)C[N+](C)(C)C1
origin: C1[C@H](C([N+]2(C)CCCCC2)CC(C)CC11CCCC1, cl: C[N+]1(C)CC(CC(C1CCCC1)C, target: C1[C@H](C)C[N+](C)(C)C[C@H]1C
origin: C1[N+](C)(C)CC2C3CCCCC1CC2, cl: C[N+]1(C)CCCC2CCCCC21, target: C1[N+](C)(C)CC(C)CC1C
origin: CC[N+]1(CCCCC[N+]2(C)CCCCC))CCCCC1, cl: C1C(C)[N+](C(C)1CCC)(CCCCC)C, target: CC[N+]1(CC)C(C)CCCC1C
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: C1CC2[N+](C)(CCCC(C2C)(11CCCC1)C, target: [N+]1(C)(C)C2CCCC1CCC2
origin: C1C(C)[N+](CC)(CC)C(C)CC1, cl: C(C)[N+]1(CC)CCCC(C)(C1)C, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: [N+]1(C)(CCCC1CCCC1)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C1C(C)[N+](CC(())C)(C)CCC1, cl: CC1CCCC(C)[N+]1(C))C, target: C1C(C)[N+](C)(C)C(C)CC1
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: C1CCC(C)(N)C1CC(C)(, target: [N+]1(C)(CC)C(C)(C)CCCC1(C)C
origin: CC[N+]1(C)C(C)CCCC1C, cl: CC[N+]1(CCCC(C1(()))))C, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1CCC(C)[N+](C)(C)C1C, cl: C1CCC(C)[N+](C1C)(C)C, target: C1CCC(C)[N+](C)(C)C1C
origin: C1C2C(C)(C)C(CN(C))CC[[+]22CC, cl: C1C2CC(C21CNCC))[N+](C)(C)C, target: C1C2C(C)(C)C1CCC[N+]2(C)C
origin: CC1(C)CC2[N+](C)(C)CC(C)(C2)C1, cl: CC1(C)CC2[C+](C)(C)CC1CC, target: CC1(C)CC2CC(C)(C[N+]2(C)C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: [N+]1(C)(C)CC(C)CC(C1CCCC1)C, target: C[N+]1(C)C2CC(C2(C)C)CCC1
origin: C1(C)CC[N+](C)(C)C2CCCC221C1CCCC2, cl: C12C(C)(C)C(CN)C(CC))C[C+](C))C1(C)C, target: C1(C)CC[N+](C)(C)C2C(C)(C)C1C2
origin: CC(N(CC)C(C)C)C, cl: N(C(C)C)(CC)C(C)C, target: CC(N(CC)C(C)C)C
origin: CC(N(CC)CCCCC(N)C)C, cl: C(C)(N(CC)C(C)C)C, target: CC(N(CC)C(C)C)C
origin: CC(N(C(C)C)CC)C, cl: N(C(C)C)(CC)C(C)C, target: CC(N(C(C)C)CC)C
origin: n1(CC)cc[n+](C)c1, cl: [n+]1(C)cn(cC1)C, target: n1(CC)cc[n+](C)c1
origin: CCN(C(C)C)C(C)C, cl: C(C)(C)N(CCCCCN(C)C)C, target: CCN(C(C)C)C(C)C
origin: CC[P+](CC)(CC)CC, cl: C([P+](CC(()C)CC)(C)C)C, target: CC[P+](CC)(CC)CC
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: CC1C[N+](C)(CC(C1)C)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1CC(CC)[N+2(CCC(C)C)CCCC1, cl: C1CCCC(CC)[N+]1(CCCCCC[N+]1(C)CCCCCC1)C, target: C1CC(CC)[N+](C)(C)CC1
origin: [N+]1(C)(C)C(C)CCCC1, cl: CC1[N+](CC)CC(CCC1)C, target: [N+]1(C)(CC)C(C)CCCC1C
origin: C1(C)CCCC(C)[N+]1(CC)CC, cl: C1(C)[N+](C))C(C)CCC1, target: C1(C)CCCC(C)[N+]1(CC)CC
origin: C1CCC[N+]1(CC)C(C)CCC1C(C)CCC11C, cl: C1CCC(C)[N+](C)CC1C, target: C1CCC[N+]12C(C)CCCC2C
origin: [N+]1(C)(C)CCCCC1C, cl: CC1(C)C[N+](C)CC(C)(C=C1)C, target: [N+]1(C)(C)CC(C)(C)C=CC(C)(C)C1
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC(()))CC(()C)C, target: CC[N+](CC)(CC)CC
origin: CC(N(CC)C(C)C)C, cl: C(N(C(C)C)CC)C, target: CC(N(CC)C(C)C)C
origin: N(C(C)C)(C(C)C)CC, cl: CC(N(C(C)C)CC)C, target: N(C(C)C)(C(C)C)CC
origin: CN1CCN(C)CCN(C)CC1, cl: C1N(C)CCN(CCC((C)NCC((C1NCCC11C)C)())), target: CN1CCN(C)CCN(C)CC1
origin: C1CN(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN1C, cl: C1N(C)CCN(CCCN(CCC(CC1)C)C)C, target: C1CN(C)CCN(C)CCN1C
origin: C[N+]1(C)CC2C(C1CC22CC3CCCC2)C1, cl: C[C@H]1CCCCCCCC, target: C[N+]1(C)[C@H](C)CCC[C@@H]1C
origin: C[C@@H]1[(+]1Cc3ccccc2)CCC(()(C)C))11, cl: C1CC[C@H]+]2C(C1)C, target: C[C@@H]1[N+](C)(C)[C@H](C)CCC1
origin: [C@@H]1(CnCccc1))c1ccccc1, cl: [N+]1(C)(C)CCCC2CCCCC21, target: [C@@H]1(C)[N+](C)(C)[C@H](C)CCC1
origin: C[C@@H]1C(n)cccc1, cl: C[C@@H]1C(C)(C)C, target: C[C@@H]1C[C@H](C)C[N+](C)(C)C1
origin: C1[N+](C)(C)CC2C3C4C=CC(C4C[N+](C)(C)C33CC211, cl: C[C@H]1C[C+](C)(C)C, target: C1[N+](C)(C)C[C@H](C)C[C@@H]1C
origin: C[C@H]1C[n+]1ccncC1, cl: C1[C@H](C(C)(C)C))C(C)(C)C1, target: C[C@H]1C[C@@H](C)C[N+](C)(C)C1
origin: C(C)[P+](CCC([)+](C)CCCCC))CCCC, cl: CC[P+](CC(()C)CC)(C)C, target: C(C)[P+](CC)(CC)CC
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1C(C)C[N+](C)(CC1C)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C1C(C)CC(C)C[N+]1(C)C, cl: [N+]1(C)(CCCC1CCCC1)C, target: C1C(C)CC(C)C[N+]1(C)C
origin: CC[N+](CC)(CC)CC, cl: C([N+](CCC(CC[N+](C)(C)C)(C)C)C)C, target: CC[N+](CC)(CC)CC
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1[N+](C)(CCCC)(C)CCCC, target: CC1C[N+](C)(C)CC(C)C1
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1C(C)CC(C)N[N+](C)(C)C1, target: CC1C[N+](C)(C)CC(C)C1
origin: [P+](CC)(CC)(CCCCCC[C+](CC)(CC)C)C, cl: [P+](CC)(CC)(CC)CC, target: [P+](CC)(CC)(CC)CC
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C([P+](CC)(CC)CC)C, cl: [P+](CC)(CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: C([P+](CCC())C)CCCCCN(C)C, cl: C(C)[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: CC(C)N(CC)C(, cl: CC(N(C(C)C)CC)C, target: CC(C)N(CC)C(C)C
origin: C1[NH2+]CC2CCCCC2C1, cl: [C@H]1(C)CCCC[C+](()(C)C)C1, target: C1[NH2+]C[C@@H](C)C[C@H]1C
origin: C1C[C@H](]2ccccc2)(C(C)C)C1, cl: [NH2+]1[C+2(CCCC1CCC))C, target: C1C[C@H](C)[NH2+][C@H](C)C1
origin: CCN(C(C)C)C(C)C, cl: C(C)(N(C(C)C)CC)C, target: CCN(C(C)C)C(C)C
origin: CC(N(C(C)C)CCCCCN(C(C)C)C)C, cl: CC(N(C(C)C)CC)C, target: CC(N(C(C)C)CC)C
origin: C(C)N(C(C)C)C(C)C, cl: C(C)(C)N(CCCCCN(C)C)C, target: C(C)N(C(C)C)C(C)C
origin: C1C(C)CC(C)C[N+]1(C)C, cl: C[N+]1(C)CCCC2CCCCC21, target: C1C(C)CC(C)C[N+]1(C)C
origin: [N+](CC)(CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: [N+](CC)(CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC(C)N(CC)CCCCC(())CC, cl: C(C)N(C(C)C)C(, target: CC(C)N(CC)C(C)C
origin: CC(C)N(CC)CCCCCN(CC)CC, cl: C(N(CC)C(C)C)(C)C, target: CC(C)N(CC)C(C)C
origin: C1CC(C)(C)[N+](C))CC1CC(C)(C)CC1, cl: CC1(C)[N+](CCC(1)C)(CCCC)), target: C1CC(C)(C)[N+](C)(CC)C(C)(C)C1
origin: C(C)(C)N(C(C)C)CC, cl: CC(C)N(C(C)C)CC, target: C(C)(C)N(C(C)C)CC
origin: [C@@H]1(CCC)NCCC, cl: [C@@H]1(C)C(C)CCC[[+]1(C)CCCCC, target: [C@@H]1(C)CCC[C@H](C)[N+]1(CC)CC
origin: C1C(C)CC(C)C[N+]1(C)C, cl: CC1CC(C)C[N+](C)(C1CC)C, target: C1C(C)CC(C)C[N+]1(C)C
origin: C(N(C(C)C)CCCCCN(C)C)C, cl: CCN(C(C)C)C(C)C, target: C(N(C(C)C)CC)(C)C
origin: C(N(CC)C(C)C)CC, cl: CCN(C(C)C)C(C)C, target: C(N(CC)C(C)C)(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: CC1CC(C)CCNN, target: C[N+]1(C)CC(C)CC(C)C1
origin: N(C(C)C)(C)C, cl: C(C)(N(C()))))C, target: N(C(C)C)(CC)C(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: CC1CC(C)C[N+](C)(C)C1, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC(N(C(C)C)CC)C, cl: C(C)N(C(C)C)C(, target: CC(N(C(C)C)CC)C
origin: C(N(CC)C(C)C)(C)C, cl: C(N(CC)C(C)C)(C)C, target: C(N(CC)C(C)C)(C)C
origin: C[C@H]1C[n+]1cc(()ncc11)ccccc1, cl: C[C@@H]1C(C)(C)CCCC[[+]1(C)CCCCC, target: C[C@H]1C[C@H](C)C[NH2+]C1
origin: C1C[C@H](]2Cc(c)ccc1)C, cl: [NH2+]1[C+(C)CCCC1C, target: C1C[C@H](C)[NH2+][C@H](C)C1
origin: CC1CCCC(C)[N+]1(CC)CC, cl: [N+]1(C)(C)CC(C)CC(C1)C, target: CC1CCCC(C)[N+]1(C)C
origin: C1(C)[N+](CC(())CCC(C)CCCC))C1, cl: C1C(C)[N+](CCC1)(CCCCCC[N+]1(C)CCCCC1)C, target: C1(C)[N+](CC)(CC)C(C)CCC1
origin: C([N+]1(CC)CC2C(C1CC2)CCC2C, cl: C1(C)[N+](CC)CC(CCC1)C, target: C([N+]1(C)C(C)CCCC1C)C
origin: [n+]1(CC)cn(C)cc1, cl: c1cn(C)c[n+]1CC, target: [n+]1(CC)ccn(C)c1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1C(C)CC(C[N+]1(C)C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: N(CCN)CCN, cl: C(N)CNCCNNCCN, target: N(CCN)CCNCCN
origin: NCCNCCCNCCN, cl: C(CNCCCNCNNCCN)NCCN, target: NCCNCCCNCCN
origin: C1N[C@@H]c]ccc1, cl: C1(C)(C)CC(NCCNC(C)(CC(C)NCCN1)C)C, target: C1N[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)NC1
origin: C[C@H]1CCCC[[+]1nnccc1, cl: N1CCNC(C)(C)(C)CC(CCNNCCC(C))CC1, target: C[C@H]1CC(C)(C)NCCN[C@@H](C)CC(C)(C)NCCN1
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: [C@@H]1(C)CC(C)(C)C, target: [N+]1(C)(C)C[C@@H](C)C[C@@H](C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1[C@@H](](())))CC, target: C[N+]1(C)C[C@@H](C)C[C@H](C)C1
origin: C1[N+](C))CC2C3CCC(C=C3)C2C1, cl: CC1C[N+](C)(CCCC)(C)CC1, target: C1[N+](C)(C)CC(C)CC1C
origin: C(C)[N+]1(CCCCCNNCCC)CC, cl: CC1CCCC(CN[N+]1(C)C)C, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: C1CCC2CCCCCC[N+]2(C)C, cl: C[N+]1(C)CC(CC(C))1)C, target: C1CCC2CCCC1[N+]2(C)C
origin: C1C(C)[N+](CC)(CC)C(C)CC1, cl: C([N+]1(CCCC()11CCCCC))CCCC1)C, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C1C(C)C[N+](C)(C)CC1C, cl: CC1CC(C)C[N+](C)(C1CC)C, target: C1C(C)C[N+](C)(C)CC1C
origin: CC[P+](CC)(CC)CC, cl: C(C)[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: CC1CCCC(C)[N+]1(CCCCCCNCCCCCC, cl: CC1[N+](CCC(11CCCCC1)(C)CC(C)C)C, target: CC1CCCC(C)[N+]1(C)C
origin: CC1(C)[N+](CC(())CC(()(C)C)CC)CC1, cl: C1CC(C)(C)[N+](C)CC(C1(C)C)CC, target: CC1(C)[N+](CC)(C)C(C)(C)CCC1
origin: C([N+]1(C)C2CCCCCCC2CCC))C1, cl: C1(C)[N+](C)CC(C)CC1, target: C([N+]1(CC)C(C)CCCC1C)C
origin: C[N+]1(C)CC2CCC1CCC2, cl: C1C(C)[N+](C)(C)CCC1, target: C[N+]1(C)C(C)CCCC1C
origin: CC1(C)C2[C+](C)(C)CC(()(C)C1CCCC2)C, cl: [N+]1(C)(C)CC2C3CCC(C1CC))22CCC[, target: CC1(C)C2[N+](C)(C)CCCC1C2
origin: C[N+]1(C)CCCC2CCCCC22, cl: C1(C)(C)C[2+](C)CC(C1)(C)C, target: C[N+]1(C)C2CC(C)(CC(C)(C)C2)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C12C(C)(C)C(C())CC(CN))CC1C2, target: C[N+]1(C)C2CC(CCC1)C2(C)C
origin: C1(C)(C)C[C+](C))CCCC1(, cl: CC1(C)C2[(+](C)(C)C)CC(CC()2)C1, target: C1(C)(C)C2C(C)CC[N+](C)(C)C1C2
origin: CC(C)N(C(C)C)CC, cl: CC(N(C(C)C)CC)C, target: CC(C)N(C(C)C)CC
origin: C(N(C(C)C)CCCCCN(C)C)C, cl: CCN(C(C)C)C(C)C, target: C(N(C(C)C)CC)(C)C
origin: N(CC)(C(C)C)C, cl: CCN(C(C)C)C(C)C, target: N(CC)(C(C)C)C(C)C
origin: c1[n+](C)cnnCC, cl: [n+]1(C)cn(CC)cc1, target: c1[n+](C)ccn1CC
origin: CC(C)N(C(C)C)CC, cl: CC(N(CC)C(C)C)C, target: CC(C)N(C(C)C)CC
origin: CC[P+](CC)(CC)CC, cl: C([P+](CC)(CC)CC)C, target: CC[P+](CC)(CC)CC
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1C(C)CC(C[N+]1(C)C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: [N+]1(C)(CCCCCCC)1CCCCC, target: C[N+]1(C)C(CC)CCCC1
origin: C1CCC(C)[N+](C))C1, cl: C1C(C)[N+](CC(1)C)(CC)C, target: C1CCC(C)[N+](C)(CC)C1C
origin: CC[N+]1(CC)C(())C(C)CC(1)C, cl: C1CC(C)[N+](CC1(())))(C)C, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1(C)[N+](CC)(CC)C(C)CCC1, cl: C1C(C)[N+](CCC1)(C)), target: C1(C)[N+]2(C(C)CCC1)CCCC2
origin: C1=CC(C)(C)C[N+](C)(C)CC1(C)C, cl: C1(C)(C)CCC[N+](C))CCC, target: C1=CC(C)(C)C[N+](C)(C)CC1(C)C
origin: CC[N+](CC)(CC)CC, cl: [N+](CC)(CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC(C)N(CCCCCN(C)C)C, cl: C(N(C(C)C)CC)C, target: CC(C)N(CC)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C(C)(N(CC)C(C)C)C, target: C(C)(N(C(C)C)CC)C
origin: CN1CCN(C)CCN(C)CC1(C)CCN(C)CCC, cl: N1(C)CCN(C)CCN(C)CC1, target: CN1CCN(C)CCN(C)CC1
origin: C1CN(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN1C, cl: C1CN(C)CCN(CCC((CCN(C1)()CCCC1CCCC11CC)C)C, target: C1CN(C)CCN(C)CCN1C
origin: C[C@@H]1[(+]1Cc3ccccc2)C(C(()(C)C)cCc(1)C, cl: C1CC[C@H]+]2CCCCC1, target: C[C@@H]1[N+](C)(C)[C@H](C)CCC1
origin: C1CC[C@@H(+]2Cc(c)ccc2)C1, cl: C[N+]1(C)CCCC2CCCCC21, target: C1CC[C@@H](C)[N+](C)(C)[C@H]1C
origin: C1C[C@@H]+]2c(c)ccc1)C, cl: C[C@H]1[N+](C)(C)C, target: C1C[C@@H](C)[N+](C)(C)[C@@H](C)C1
origin: C[C@@H]1C(n)cccc1, cl: C1[C@@H](]2CC(C)2CC1)C, target: C[C@@H]1C[C@H](C)C[N+](C)(C)C1
origin: C1[C@@H](]1CnCcccc1, cl: C[C@@H]1C(C)(C)C, target: C1[C@@H](C)C[N+](C)(C)C[C@H]1C
origin: C[N+]1(C)CC2C(CCCC))CCC1, cl: [C@@H]1(CCCC[C+](C)(C)C)c, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: C([P+](CCC([)+](C)CCCCC)C)CCCCCCCCCCCCCCCCCCCCCCC, cl: C([P+](CC(()C)C1)(C)C)C, target: C([P+](CC)(CC)CC)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C[N+]1(C)CC(CCCC)(C)CC1(C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1C(C)C[N+](C)(C)CC1C, cl: C1C(C)CC(C[C+]1(C)C)C, target: C1C(C)C[N+](C)(C)CC1C
origin: CC[N+](CC)(CC)CC, cl: C([N+](CC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1(C)C[N+](C)(C)(C)CC(11CCCCC1)C, target: CC1CC(C)C[N+](C)(C)C1
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: CC1C[N+](C)(CCCC1(C)C)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: CC[P+](CC)(CC)CC, cl: [P+](CC)(CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C(C)[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: C(N(C(C)C)(()))C, cl: CC(C)N(CCCCCN(C)C)C, target: C(N(C(C)C)CC)(C)C
origin: C1[NH2+]CC2CCCCCCC11, cl: C[C@@H]1C(C)(C)C, target: C1[NH2+]C[C@@H](C)C[C@H]1C
origin: C1[C@H](C([N+]2(C)CCCCC2)CCCCCC(, cl: C[C@H]1[N+](C)(C)C, target: C1[C@H](C)[NH2+][C@H](C)CC1
origin: CC(N(CC)C(C)C)C, cl: N(C(C)C)(CC)C(C)C, target: CC(N(CC)C(C)C)C
origin: N(CC)(C(C)C)CCCCNNCCC, cl: N(CC)(C(C)C)C(C)C, target: N(CC)(C(C)C)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: CC(C)N(CCCCCN(C)C)C, target: C(C)(N(C(C)C)CC)C
