origin: C1N(C)CCN(C)CC2, cl: C1CN(C)CCN(C)CCN(CCN(CCN(CCN1C)C)C)C)C, target: C1N(C)CCN(C)CCN(C)C1
origin: C1C[C@@H](C)(C)CC2CC(CC1)C[N+](C)(C)CCC1, cl: C1[C@@H](-O)C, target: C1C[C@@H](C)[NH2+][C@@H](C)C1
origin: CC(C)N(CCC)CCCCCC1, cl: C(C)N(C(C)C)CC, target: CC(C)N(CC)C(C)C
origin: C(C)(C)N(C)CC1, cl: CC(N(C(C)C)CC)C, target: C(C)(C)N(CC)C(C)C
origin: CC(N(C(C)C)CC(C)CC2)cccc1, cl: CC(N(CC)C(C)C)C, target: CC(N(C(C)C)CC)C
origin: CC1CC(C)C1CCCC1C2CCCCCC1, cl: C1C(C)C[N+](C)(CC1C)C, target: CC1CC(C)C[N+](C)(C)C1
origin: [N+](CC)(CC)CCCC1, cl: [N+](CC)(CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C([N+](CC)(C)C)CCCCN(C)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(C)(C)N(C)CC1, cl: C(C)N(C(C)C)CC, target: C(C)(C)N(CC)C(C)C
origin: CC(C)N(CC2)CCCC1, cl: CC(C)N(CC)C(C)C, target: CC(C)N(CC)C(C)C
origin: CC[N+]1(C)CCCC2C[N+](C)(C)CCC1, cl: CC1(C)CCC[N+](C1)(CC)CC, target: CC[N+]1(C)C(C)(C)CCCC1(C)C
origin: N(C(C)C)(C)CC1, cl: CCN(C(C)C)C(C)C, target: N(C(C)C)(CC)C(C)C
origin: C[C@H]1CCC(C)CC(C)(C)C1, cl: C[C@H]1[N+](C)(CC)C(CC1)C, target: C[C@H]1CCC[C@@H](C)[N+]1(CC)CC
origin: CC1CC(C)C[N+](C)(C)CCCC1, cl: C[N+]1(C)CC(CC(C)C1)C, target: CC1CC(C)C[N+](C)(C)C1
origin: CC(N(C(C)C)CC)(C)CC1, cl: CC(N(CC)C(C)C)C, target: CC(N(C(C)C)CC)C
origin: N(C(C)C)(C)CC2, cl: CC(C)N(C(C)C)CC, target: N(C(C)C)(C(C)C)CC
origin: C[N+]1(C)CCCCC(C)CCC1, cl: C1(C)CC(C)(C)NCCNC(C)(C)CC(NCCN1)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C(C)(N(CC)CCCCCCCCCCCCCCC[N+]1(C)CCCCC2)CCC, cl: C(C)(N(C(C)C)CC)C, target: C(C)(N(CC)C(C)C)C
origin: [N+]1(C)(C)CCCCCC1, cl: [N+]1(C)(CCCCC[N+]2(CCCC2)C)CCCC1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C(C)[N+](CC)c(C)c(C)n(C)c(C)n(C)cc1, cl: C([N+](CC)(CC)CC)C, target: C(C)[N+](CC)(CC)CC
origin: CCN(C(C)C)C[N+](CC)c(C)(C)C, cl: N(C(C)C)(C)C, target: CCN(C(C)C)C(C)C
origin: CC(N(C(C)C)CCCCCCCCCCCC)ccc2, cl: C(N(C(C)C)CC)C, target: CC(N(C(C)C)CC)C
origin: C1[NH2+]C(CCCCCCCC3)CCCCCCC[N+](C)(C)CCCCC1, cl: C[C@@H]1CCC[N+]1(Cc1ccccc1)C, target: C1[NH2+]C[C@@H](C)C[C@@H]1C
origin: C1[C@H](C)(C)C(C)CC(C)C1CC2, cl: [NH2+]1[CCC(CC1)CCCC1CC[N+](C)(CC1)C, target: C1[C@H](C)[NH2+][C@H](C)CC1
origin: [N+]1(C)(C)CCCC2C1C1CC(CC2)CC1, cl: CC1CCCC(C)[N+]1(CC)CC, target: [N+]1(C)(C)C(C)CCCC1C
origin: [N+]1(CC)(CC)CCCCC[N+](C)(C)CC1, cl: CC1CCCC(C)[N+]1(CC)CC, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: CC[N+]1(C)CCCC(C)CC[N+](C)CCCCC1, cl: CC[N+]1(CC)CC2C(C3C4C[N+](CC4C(C=C3)C2C1)(CC)CC)C, target: CC[N+]1(C)C(C)CCCC1C
origin: CC[n+]1ccn(C)cc1, cl: C(C)[n+]1c(n(C)cc1)C, target: CC[n+]1ccn(C)c1
origin: [N+]1(C)(C)CCC1, cl: C[N+]1(C)CC(CC(C)C1)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: NCCNCCNCCCCCC1, cl: C(CN)NCCN, target: NCCNCCNCCN
origin: C(NCCCNCCCCCCCCC)cc[n+](C)CCCC1, cl: C(N)CNCCCN, target: C(NCCCNCCN)CN
origin: CC1(C)C[C+](C)(C)CCCCC2, cl: CC1(C)C[C+](CCC1)(CC)CC, target: CC1(C)C[C@H](C)NCCNC(C)(C)C[C@H](C)NCCN1
origin: C1(C)(C)CC(C)CCC[N+](CC)(CC)CCC1, cl: N1CCN[C@@CCOCCOCCOCCOC1, target: C1(C)(C)C[C@H](C)NCCNC(C)(C)C[C@H](C)NCCN1
origin: C1[C@@H](C)(CCC2)CCCC2, cl: C1[N+](C)(CC(CC1C)C)C, target: C1[C@@H](C)C[N+](C)(C)C[C@H]1C
origin: C[N+]1(C)CCCCC2, cl: C[N+]1(C)CC(CC(C)C1)C, target: C[N+]1(C)C[C@@H](C)C[C@H](C)C1
origin: CC1CC(C)CC[N+]1(C)CCCC1, cl: C1C(C)C[N+](C)(C)CC1C, target: CC1CC(C)C[N+](C)(C)C1
origin: [N+]1(CC)CC(C)(C)CCC(C)(C)C, cl: [N+]1(CC)(CC2C(C3C=CC2C2C[N+](CC)(CC)CC23)C1)CC, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C1C2CCCC(C)CC2C1, cl: C1C2[N+](C)(C)CCCC1C2(C)C, target: C1C2CCCC(CC1)[N+]2(C)C
origin: C([N+]1(C)(C)C2)CCCC1, cl: C1CC(C)[N+](CC)(CC)CC1C, target: C([N+]1(CC)C(C)CCCC1C)C
origin: [N+]1(C)(CCCCCCCCCCCCCCCCCCCC)cc2)c1, cl: C[N+]1(C)CC(CC(C)C1)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: [P+](CC)(CC)CCCCC[N+]1(C)CCC(C)CC2, cl: [P+](CC)(CC)(CC)CC, target: [P+](CC)(CC)(CC)CC
origin: [N+]1(C)(C)CC(C)(C)CC1, cl: C1(C)[N+](CC)(CC)C(C)CCC1, target: [N+]1(C)(C)C(C)CCCC1C
origin: CC1(C)[N+](C)(C)CC3CCCCC1, cl: C[N+]1(CC(C)CC(C)C1)C, target: CC1(C)[N+](C)(CC)C(C)(C)CCC1
origin: C1C(C)[N+](CC)(CC)CCCC1, cl: C1CC(C)[N+](C)(CC)C(CC1)C, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C[N+]1(C)CCCCCC1, cl: C1CC(C)[N+](CC)(C(C1)C)CC, target: C[N+]1(C)C(C)CCCC1C
origin: C1CCC2CC(CC2CC[N+]1(C)CCCCCC2)CCCC1, cl: C1(C)(C)C2CC1[N+](C)(C)CCC2C, target: C1CCC2CC([N+]1(C)C)C2(C)C
origin: C1C2CC(C)(C)C1CC1CCCC2, cl: C[N+]1(C)CC2(C)CCC(C1)CC2, target: C1C2CC(C)(C)CC1(C)C[N+]2(C)C
origin: C1CC2C(C)C(CC1CCCCCC2)CC1, cl: C1[N+](C)(CC(C)(C)CC1C)C, target: C1CC2C(C)(C)C(C2)[N+](C)(C)C1
origin: C1C[N+](CCCCCCCCC(CCCCC)CCCCCCCCCCCCCCCC)c2, cl: C[N+]1(C)CC(CC(C)C1)C, target: C1C[N+](C)(C)C2CC(C2(C)C)C1C
origin: C(C)N(C(C)CC)(C)CCCC1, cl: C(C)(N(C(C)C)CC)C, target: C(C)N(C(C)C)C(C)C
origin: C(C)(C)N(C)CCCC2, cl: CC(C)N(C(C)C)CC, target: C(C)(C)N(CC)C(C)C
origin: C(C)(C)N(C)CC1, cl: C(C)N(C(C)C)CC, target: C(C)(C)N(CC)C(C)C
origin: [n+]1(C)c(C)n(C)c(C)c1, cl: n1(CC)c[n+](CCCC)cc1, target: [n+]1(C)cn(CC)cc1
origin: N(C(C)C)(C)CCCC[N+]1(C)CCCC2, cl: CC(N(C(C)C)CC)C, target: N(C(C)C)(C(C)C)CC
origin: C(C)[P+](C)(C)CCCCC1, cl: C(C)[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: C1(C)C[N+](CC)(CC)C[N+](C)(C)C, cl: CC1CC(C)C[N+](C)(CC1C)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C(C1[N+](C)(C)C)CCCC2, cl: C1C[N+](C)(C(C)CCC1)CC, target: C(C1[N+](C)(C)CCCC1)C
origin: CC1CCCC(C)CC1[N+]1(C)CCC1, cl: C([N+]1(CC)CC(C)CC(C)C1)C, target: CC1CCCC(C)[N+]1(C)CC
origin: C1C(C)[N+](CC)(CCCC2)CCC1, cl: C1CC(C)[N+](CC)(CC1C)CC, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: CC1CCCC(C)[N+]1(CCCCCC)(C)CCC1, cl: C1(C)[N+](CC)(C(CCC1)C)CC, target: CC1CCCC(C)[N+]12CCCC2
origin: CC1(C)C[N+](CC)(CCCCCCCC2)CC1, cl: C[N+]1(C)CC(C)CC(C)C1, target: CC1(C)C[N+](C)(C)CC(C)(C)C=C1
origin: CC[N+](CC)(CCCCCCCC[N+](CC)CCCC)CCCCCCCCCCC1, cl: C([N+](CCC)(CCC)CCC)CC, target: CC[N+](CC)(CC)CC
origin: CC(N(CC)C)CC1, cl: CC(N(CC)C(C)C)C, target: CC(N(CC)C(C)C)C
origin: CC(C)N(C(C)C)CC(C)C1, cl: C(C)(C)N(CC)C(C)C, target: CC(C)N(C(C)C)CC
origin: C1N(C)CCN(C)CCN(C)CC1, cl: CN1CCN(C)CCN(C)CCN(CCN(CCN(CC1)C)C)C, target: C1N(C)CCN(C)CCN(C)C1
origin: C1N(C)CCN(C)CC1, cl: CN1CCN(C)CCCN(CCN(CCC1)C)C, target: C1N(C)CCN(C)CCN(C)C1
origin: C1[C@H](C)(C)CC(C)(C)CC1CCCCCCC1, cl: C[N+]1(C)CCCC2C1CCCC2, target: C1[C@H](C)[N+](C)(C)[C@H](C)CC1
origin: C1CC[C@@H]2(CCCCCCCCCCCCC[N+]1(C)C)CCCCC2, cl: C1CC[C@@HN2CCOCCOCCOCCOCC1, target: C1CC[C@@H](C)[N+](C)(C)[C@H]1C
origin: [C@@H]1(C)C(CCCCCCC(CC[N+]3(C)C)CCCC2)C2, cl: C[N+]1(C)C2CCCC(C1)C1CCCC12, target: [C@@H]1(C)CCC[C@H](C)[N+]1(C)C
origin: C1[C@@H](CC)(CC)CCCC(C)(C)CC1, cl: C[N+]1(C)CC(CC(C)C1)C, target: C1[C@@H](C)C[C@@H](C)C[N+]1(C)C
origin: [C@@H]1(C)CCC(C1)CC2C1CCCC2, cl: C1[C@@H](N)CC2CCC1C2, target: [C@@H]1(C)C[N+](C)(C)C[C@H](C)C1
origin: C[N+]1(C)CC(C)(CCCCC2)C1, cl: C1[N+](C)(CC(C)(C)CC1)C, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: CC[P+](CCCCCCCCC[n+](C)c1)CC2, cl: C(C)[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: CC1CC(C)CC1C2CCC(C)C1, cl: C[N+]1(C)CC2C3C4C[N+](CC5C(C=C3)C2C1)(CC)CC, target: CC1CC(C)C[N+](C)(C)C1
origin: C[N+]1(C)CCCCC1CCCC1, cl: C1(C)C[N+](CC)(CC)CC(C)C1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C([N+](CC)(CC)CCCC3)CC2, cl: [N+](CC)(C)(C)CC, target: C([N+](CC)(CC)CC)C
origin: [N+]1(C)(CCCCCCCC3)CCCC2, cl: [N+]1(C)(CCCC2CC1C2(C)C)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: [N+]1(C)(CCCC1)CCCC1, cl: C1C(C)CC(C)C[N+]1(CC)CC, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: CC[P+](CC)(CCCCCCCC[N+](C)(C)C)C, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: [P+](CC)(CCCCCCCCCCC[N+]2(CCC)CCCCCC1)C, cl: C(C)[P+](CC)(CC)CC, target: [P+](CC)(CC)(CC)CC
origin: C(C)[P+](C)(C)CC1CCCCC3, cl: CC[P+](CC)(C)CC, target: C(C)[P+](CC)(CC)CC
origin: CC[P+](CCCCCCCCCC2)cc1, cl: C(C)[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: N(CC)(C(C)C)c1C, cl: C(N(C(C)C)CC)C, target: N(CC)(C(C)C)C(C)C
origin: [C@H]1(C)(C)CCCC2C1C1CCCC(C)(C)C1, cl: C1[C@@H](-O)[NH2+], target: [C@H]1(C)C[NH2+]C[C@@H](C)C1
origin: C1CC[C@H](C)(C)C2C(C1CCCC1)C2, cl: C[C@H]1[N+](C)(CC)CCCC1, target: C1CC[C@H](C)[NH2+][C@@H]1C
origin: CC(C)N(CCCC[N+](C)(C)C)CCCC1, cl: CC(C)N(CC)C(C)C, target: CC(C)N(CC)C(C)C
origin: CC(N(C(C)C)CCCCCCCCCCCCCCCCC[n+](C)cc1)C, cl: C(C)(N(C(C)C)CCCCCN(C)C)C, target: CC(N(C(C)C)CC)C
origin: C(C)(N(CCC)CC)c1, cl: CC(C)N(C(C)C)CC, target: C(C)(N(CC)C(C)C)C
origin: C1(C)CC(C)C2CC(C)CCCC1, cl: C1(C)C[N+](C)(CC(C)C1)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: CC[N+](CC(C)CCCC3)CCCC1, cl: [N+](CC)(C)(C)CC, target: CC[N+](CC)(CC)CC
origin: [N+](CC)(CC)CCCCCC1, cl: CC[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: CCN(C(C)C)(C)CCCCC1, cl: N(CC)(C(C)C)C(C)C, target: CCN(C(C)C)C(C)C
origin: CCN(C(C)C)CCCCCC1, cl: C(N(C(C)C)CC)C, target: CCN(C(C)C)C(C)C
origin: [N+]1(C)(C)C2CC(C)(C)C2C[N+]1(C)CC2CC3, cl: C[N+]1(CC)C(C)CCCC1C, target: [N+]1(C)(CC)C(C)(C)CCCC1(C)C
origin: N(CC)(C(C)CCC[N+](C)(C)C)CCCC1, cl: CC(N(CC)C(C)C)C, target: N(CC)(C(C)C)C(C)C
origin: CC[N+]1(C)CCCC2C3CCCC2CCN(CCCC1)C1, cl: C(C)[N+]1(CC)CC(C)CC(C1)C, target: CC[N+]1(CC)[C@H](C)CCC[C@@H]1C
origin: C1(C)CC(C)C[N+]1(C)CCC(C)CCCC1, cl: C[N+]1(C)CC(CC(C)C1)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C(N(C(C)C)(C)C)CCCC1, cl: CC(N(C(C)C)CC)C, target: C(N(C(C)C)CC)(C)C
origin: C(C)(N(C(C)C))CC, cl: CC(N(C(C)C)CC)C, target: C(C)(N(C(C)C)CC)C
origin: CC1C[N+](C)(C)CCC1, cl: C1C(C)C[N+](C)(CC1C)C, target: CC1C[N+](C)(C)CC(C)C1
origin: C(C)N(C(C)CCCCC[N+](C)(C)C)C, cl: C(N(CC)C(C)C)(C)C, target: C(C)N(C(C)C)C(C)C
origin: C1C(C)C[N+](CCCCCCCCCCCCCCCCC)cc1, cl: C1(C)CC(C)C[N+](C)(C1)C, target: C1C(C)C[N+](C)(C)CC1C
origin: C([N+](CC)(C)C)CCCC2, cl: [N+](CC)(C)(CC)C, target: C([N+](CC)(CC)CC)C
origin: CC(C)N(C(C)C)C2, cl: CC(N(CC)C(C)C)C, target: CC(C)N(C(C)C)CC
origin: C(N(C(C)C)C)(C)CCCC2, cl: N(C(C)C)(C)C, target: C(N(C(C)C)CC)(C)C
origin: [C@@H]1(C)CC(C)CC(C[N+](C)(C)CCCC2)CC1, cl: C1[C@@H](-O)C2CCC1C[N+](C2)(C)C, target: [C@@H]1(C)C[NH2+]C[C@@H](C)C1
origin: [NH2+]1[C+](C)(C)CCCCCCC1, cl: C[C@H]1[N+](C)(CCCC1)C, target: [NH2+]1[C@H](C)CCC[C@@H]1C
origin: C1(C)CCCC2C1CC[N+]1(C)CCCC2, cl: C1(C)CCCC([N+]21CCCC2)C, target: C1(C)CCCC(C)[N+]1(C)C
origin: C1CCC(C)[N+](C)(C)C, cl: [N+]1(CC)(CC)CC(CC(C)C1)C, target: C1CCC(C)[N+](CC)(CC)C1C
origin: C1CC(C)[N+]1(C)CCCCC2CCCC2, cl: C1C(C)[N+](C)(C)C(CC1)C, target: C1CC(C)[N+](C)(CC)C(C)C1
origin: n1(C)cc[n+](C)cc1, cl: [n+]1(CC)ccn(c1)C, target: n1(C)cc[n+](CC)c1
origin: C1(C)CC(C)(C)C1, cl: CC1C[N+](C)(C)CC(C)C1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C(CNCCNCCCCCCCCCCCCCCCCC[N+]22CCCCC2, cl: NCCNCCNCCNCCN, target: C(CNCCNCCN)N
origin: C(NCCN)CCCC, cl: C(CNCCN)CN, target: C(NCCN)CCNCCN
origin: C1(C)(C)CCCC2CC[N+](C)(C)C, cl: C1(C)(C)NCCNC(C)CC(C)(NCCNC(C)CC1(C)C)C, target: C1(C)(C)C[C@H](C)NCCNC(C)(C)C[C@H](C)NCCN1
origin: CC1(C)NCCCCC1, cl: CC1(C)C[CCC(NCCNC(C)CC(C)(C)NCCN1)C, target: CC1(C)NCCN[C@@H](C)CC(C)(C)NCCN[C@@H](C)C1
origin: C1[C@H](C)(C)CC(CC2)C2, cl: C1[N+](C)(C)CC2C1C1C=CC2C2C1C[N+](CC)(CC)C2, target: C1[C@H](C)C[C@H](C)C[N+]1(C)C
origin: C1[C@H](C)(CCCCC2)C2CCCCC1, cl: C1[C@@H](-O)C2CCC1[N+](C)(CCC2)C, target: C1[C@H](C)C[N+](C)(C)C[C@H]1C
origin: [N+]1(C)(C)CCCC(C)CC1, cl: C1C(C)CC(C[N+]1(CC)C)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C([N+]1(C)CCCCC2)CCCC1, cl: CC[N+]1(CC)CCCC2C(C1C2)(C)C, target: C([N+]1(CC)C(C)CCCC1C)C
origin: C1CCC2[N+]1(C)CCC2C1C(C)CC(C)C1, cl: C1CCC2[N+](CC)(CC)CCCC2C1, target: C1CCC2[N+](C)(C)C1CCC2
origin: CC1CCCC(C)(C)CCN1CCCC2, cl: C1(C)[N+](CC)(C(CCC1)CC)C, target: CC1CCCC(C)[N+]1(CC)CC
origin: CC1CC(C)CCCCC1C[N+](C)(C)CC(CC2)C1, cl: CC1CC(C)C[N+](C)(C1)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C(C)[P+](CC(C)C)(C)C(C)C1, cl: C([P+](CCC)(CC)CC)C, target: C(C)[P+](CC)(CC)CC
origin: C1(C)CCCC1C2C1CC2CCC(C1CC(CC1)CC2)CC1, cl: [N+]1(C)(CC(CC(C1)C)C)C, target: C1(C)CCCC(C)[N+]1(C)C
origin: C([N+]1(C)(C)CCCCCC1)CCCC1, cl: C1(C)(C)[N+](CC)(C(CCC1)C)C, target: C([N+]1(C)C(C)(C)CCCC1(C)C)C
origin: [N+]1(CC)(C)CC(C)C1, cl: C([N+]1(CCCCC1)C)CCCCC[N+]1(C)CCCCC1, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C1(C)CCCCC(C)CC1, cl: C1(C)[N+](CC)(CCCC1)C, target: C1(C)CCCC(C)[N+]1(C)C
origin: [N+]1(C)(C)CCC2CCCCC1CCCCCC1, cl: C[N+]1(C)CC2C[N+](C)(CC1C2)C, target: [N+]1(C)(C)CCCC2CC1C2(C)C
origin: C1[N+](C)(C)CCC(C)CCCC1, cl: C12(C)C[N+](C)(CC(C)(C1C)CC2)C, target: C1[N+](C)(C)C2CC1(C)CC(C)(C)C2
origin: C1(C)(C)CCCC1)CC1, cl: C[N+]1(C)CC(CC(C)C1)C, target: C1(C)(C)C2CCC[N+](C)(C)C1C2
origin: CC1C2C(C)C2CC(CC2)CC1, cl: C[N+]1(C)CCCC2C1CCCC2, target: CC1C2C(C)(C)C(C2)[N+](C)(C)CC1
origin: CCN(C(C)CC1)CCCC1, cl: CCN(C(C)C)C(C)C, target: CCN(C(C)C)C(C)C
origin: CC(C)N(C(C)C)c(C)cc1, cl: CCN(C(C)C)C(C)C, target: CC(C)N(C(C)C)CC
origin: CC(C)N(CCCCCC[N+](C)(C)C)CC, cl: C(C)(N(C(C)C)CC)C, target: CC(C)N(CC)C(C)C
origin: C(n1c[n+](C)cccc2)c1, cl: [n+]1(C)c(n(C)cc1)C, target: C(n1c[n+](C)cc1)C
origin: CC(N(C(C)C)CC2)(C)CC, cl: CC(C)N(C(C)C)CC, target: CC(N(C(C)C)CC)C
origin: C([P+](CCCCCC)(C)CCCC3)CCCCCCCCCCCCCCCCCCC1, cl: C(C)[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: [N+]1(C)(C)CCCCC1CCC[N+](C)(C)C)C, cl: C1C(C)CC(C[N+]1(CC)CC)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1CC(CC)[N+](C)(C)CCCCC1, cl: CCC1[N+](CCCC1)(C)C, target: C1CC(CC)[N+](C)(C)CC1
origin: C([N+]1(C)CCCC2)CC1, cl: C1CC(C)[N+](C(C)CC1)(CC)C, target: C([N+]1(C)C(C)CCCC1C)C
origin: C1(C)[N+]1(C)CCCC2, cl: C([N+]1(CC(CC(C)C1)C)CC)CC, target: C1(C)[N+](CC)(CC)C(C)CCC1
origin: C1C[N+]2(C)CCC(C)C1, cl: C1CCC[N+](C1)(C)CCCCC[N+]1(C)CCCC1, target: C1C[N+]2(C(C)CCCC2C)CC1
origin: C1(C)(C)CCC2C2CC1CCCCCC1, cl: C[N+]1(C)CCCC(C1)(C)C, target: C1(C)(C)C=CC(C)(C)C[N+](C)(C)C1
origin: CC[N+](CC)(CC)CCCCCCC2, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC(C)N(CCCCCCCC2)cccc1, cl: CC(N(CC)C(C)C)C, target: CC(C)N(CC)C(C)C
origin: CC(C)N(C(C)CC2)CCC1, cl: CC(N(C(C)C)CC)C, target: CC(C)N(C(C)C)CC
origin: CN1CCN(C)CC1, cl: C1N(C)CCN(CCN(CCN(CCN(CCN(C1)C)C)C)C)C, target: CN1CCN(C)CCN(C)CC1
origin: N1(C)CCN(CCCC3)C1, cl: N1(C)CCN(C)CCCN(CCN(CCC1)C)C, target: N1(C)CCN(C)CCN(C)CC1
origin: [C@H]1(C)CCCCC2CCCCCCC[N+](CC)CCCCC1, cl: [N+]1(C)(C)C2CCC1CC(C2)O, target: [C@H]1(C)CCC[C@@H](C)[N+]1(C)C
origin: C[C@@H]1[N+](C)(C)C3CC(C)CC1C2CCCCC1, cl: C[C@@H]1CC2CCC1C[N+](C2)(C)C, target: C[C@@H]1[N+](C)(C)[C@H](C)CCC1
origin: [N+]1(C)(C)CCC1CCCCCC1, cl: [C@@H]1(C)C2CC1CCC2C[N+](C)(C)CC1, target: [N+]1(C)(C)[C@@H](C)CCC[C@H]1C
origin: C1[C@H](C)(C)CC(C)CC1CCC1, cl: C[N+]1(C)CCCC2CCCCC2C1, target: C1[C@H](C)C[N+](C)(C)C[C@@H]1C
origin: C[N+]1(C)CCCCCCCCC1, cl: [C@H]1(C)CCCC(C)[N+]1(CC)C, target: C[N+]1(C)C[C@H](C)C[C@H](C)C1
origin: [C@H]1(C)CCC(C)CCC(C)CC1, cl: C[N+]1(C)CC2CCC(C1)CC2, target: [C@H]1(C)C[C@@H](C)C[N+](C)(C)C1
origin: CC[P+](CCCCCCCC[n+](C)c1C)cccc1, cl: CC[P+](CCCC)(CCCC)CCCC, target: CC[P+](CC)(CC)CC
origin: C1(C)CC(C)CCC2C[N+]1(C)CCC(C)CCN(C)CCC1, cl: C[N+]1(C)CC(CC(C)C1)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: CC1CC(C)C[N+]1(C)CCCCC1, cl: CC1C[N+](C)(C)CC(C)C1, target: CC1CC(C)C[N+](C)(C)C1
origin: CC[N+](CC)(CCCCC2)CCCC1, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
