origin: C1CNCCC1N, cl: C1CNCCC1N, target: C1CNCCC1N1CCCCC1
origin: C1[N+](C)(C)CC2C(C3C(C)CC2CC(C3)C2, cl: C1CC[N+](C)(C)C2CCCCC12, target: C1[N+](C)(C)CCCC2CCCCC12
origin: C1[N+](C)(C)CCCC1, cl: C[N+]1(C)CCCC(C1(()C)C)CC, target: C1[N+](C)(C)C2C(CCCC2)CC1
origin: C[N+]1(C)CCCC21CCCC221C1CCC2, cl: C[N+]1(C)CCCC2CCCCC22, target: C[N+]1(C)CCCC2C1CCCC2
origin: C1CC2C(CCC))CC[[+]12CC(C)CCC2, cl: C1CCC2[N+](C)CC1CCC2, target: C1CC2C(CC1)CCC[N+]2(C)C
origin: [N+]1(C)(C)C2CCCCCCC1CCCC, cl: C1CC2C([N+](C)(C)CCC2CC))C1, target: [N+]1(C)(C)CCCC2C1CCC2
origin: C1C2CC[N+](CC(()CC))CC2CCCC, cl: C1CC2C(C[1+](C)(C1CC)C)C22CCCC1, target: C1C2CC[N+](C)(C)CC2CC1
origin: C1CCNCC1, cl: C1CCCCN1, target: C1CCNCC1
origin: C1OCCNC1, cl: C1CNCCO1, target: C1OCCNC1
origin: C1NCCNCCC, cl: C1NCCCNCCC, target: C1NCCNCCCNCCNCC1
origin: c1c[n+](C)c(C)n1C, cl: [n+]1(C)ccn(C)c1C, target: c1c[n+](C)cn1C
origin: c1[n+](CCccccC))1, cl: c1n(C)c[n+](c1)CC, target: c1[n+](CC)cn(C)c1
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C(N(CC)CCCCCCN(C)C)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C1OCCNC1, cl: C1COCCN1, target: C1OCCNC1
origin: N1CCOCC1, cl: C1CNCCO1, target: N1CCOCC1
origin: C1COCCN1, cl: C1CNCCO1, target: C1COCCN1
origin: Cn1cc[n+](CC)c1, cl: c1[n+](CC)cc(11cCcCccc1)C, target: Cn1cc[n+](CC)c1
origin: N1CCCCC1, cl: C1NCCCC1, target: N1CCCCC1
origin: C1NCCCC1, cl: N1CCCCC1, target: C1NCCCC1
origin: C1CCCCN1, cl: C1NCCCC1, target: C1CCCCN1
origin: C1CNCCC1, cl: C1NCCCC1, target: C1CNCCC1
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C1(N)CCCCC1, cl: NC1CCCCC1, target: C1(N)CCCCC1
origin: C1CCC(N)CC1, cl: C1(N)CCCCC1, target: C1CCC(N)CC1
origin: C[N+](C)(C)21CC3CC(C1(C1CCCC3)C2, cl: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C(C)[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C1OCCNC1, cl: C1CNCCO1, target: C1OCCNC1
origin: C12([N+](C)(C)C)CC3CC(C1(C1)CC(C2)C3, cl: [N+](C)(C)(C)CCO, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC(()))CC(, target: C([N+](CC)(CC)CC)C
origin: N(CC)(CC)CC, cl: N(CC)(CC)CC, target: N(CC)(CC)CC
origin: N(CC)(CC)CC, cl: C(N(CC)CCCCCC((C)C)CCCC((()))C1CCCCC1, target: N(CC)(CC)CC
origin: [N+](C)(C)(C)CCOCCO(C)C, cl: C[N+](C1CCCCC1)(C)C, target: [N+](C)(C1CCCCC1)(C)C
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C([N+](CC)(CCCCCCCCCCCCCCCCCCCC)))C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3, cl: C1C2CC3CC([N+](C)(C)CC(C2)C3)C1, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(N(CCO)CCOOOOCOOCCO)C, cl: CN(CCO)CCO, target: C(N(CCO)C)CO
origin: C(N(CC)CCCCCC(()C)))C, cl: C(O)CN(CCO)C, target: C(N(CC)CCO)CO
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC((C)C)CC)C, target: C([N+](CC)(CC)CC)C
origin: [N+]1(C)(C)CCCCCCCC, cl: C1CC2CCCC(2NCC)[N+]1(C)C, target: [N+]1(C)(C)CC2C(CCC1)CCCC2
origin: C1[N+](C)(C)C2(C)CCCCC1, cl: C1CC2CCC[N+](C)(C)C2C1, target: C1[N+](C)(C)C2C(CC1)CCCC2
origin: C12CCC[N+](C))CCCCCC2, cl: C12[N+](C)CC3CC(CC)CC(C3)C2, target: C12CCC[N+](C)(C)C1CCCC2
origin: C1CC2CCCCC2[N+](C)(C)C1, cl: C1C[N+](C))C2((C)CCC2)C1, target: C1CC2CCCCC2[N+](C)(C)C1
origin: C12C([N+](C)(C)CCC1)CCC2, cl: C12CCC[N+](C)(C)C1CCCC2, target: C12C([N+](C)(C)CCC1)CCC2
origin: C[N+]1(C)CC2CCCCCCC2C1, cl: C1CC2C(C[C+](C2)(C)C)CC, target: C[N+]1(C)CCC2C(CCC2)C1
origin: CC[N+](CC)(CC)CC, cl: [N+](CC)(CC((C)C)(C)C)C, target: CC[N+](CC)(CC)CC
origin: C1CCCC(N)C1, cl: C1(N)CCCCC1, target: C1CCCC(N)C1
origin: C1CCCC(N)C1, cl: C1CCCC(N)C1, target: C1CCCC(N)C1
origin: C1CNCCC1, cl: C1CCNCC1, target: C1CNCCC1
origin: c1ccncc1, cl: c1ccncc1, target: c1ccncc1
origin: [n+]1(C)cc(C)n(C)c1C, cl: C[n+]1cn(cc1)C, target: [n+]1(C)ccn(C)c1
origin: C[n+]1cn(C)c(C)c1, cl: Cn1cc[n+](c))CC, target: C[n+]1cn(C)cc1
origin: c1(C)n(C)c([)+](C)cc1, cl: C[n+]1ccnnCc, target: c1(C)n(C)cc[n+]1C
origin: c1[n+](C)c((C)n(C)c(C)c1, cl: [n+]1(C)cc(n(c)C)C, target: c1[n+](C)c(C)n(C)c1
origin: C[n+]1ccnCC, cl: n1(C)cc[n+](c1))CC, target: C[n+]1ccn(C)c1C
origin: C[n+]1cn(C)c(C)c1, cl: n1(C)c(C)[n+](Cccc1)C, target: C[n+]1cn(C)c(C)c1
origin: c1c(C)n(C)c(C)[n+]1C, cl: c1(C)n(C)c([)+](C1cCcccc1)C)C, target: c1c(C)n(C)c[n+]1C
origin: c1(C)[n+](C)ccn1C, cl: Cc1[n+](Cncc(C)c1)C, target: c1(C)[n+](C)cc(C)n1C
origin: c1(C)n(C)c(C)[[+]1ccCCCC, cl: Cc1n(C)c([n+](c))CCCC, target: c1(C)n(C)c(C)[n+](C)c1
origin: C1C(C)CC(C)C[N+]1(CCCCCCNNCCC)C, cl: CC1C[N+](CC(C1CC)C)(CC)CC, target: C1C(C)CC(C)C[N+]1(C)C
origin: C1[N+](CC(())CC(C)C)CC1C, cl: C1C(C)CC(C[C+]1(C)C)C, target: C1[N+](CC)(CC)CC(C)CC1C
origin: C[N+](C)(C1CCCCC11CCCCC1, cl: C12CC3CC(C1)CC(CN)(C2)[3+](C)(C)C, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C1CCCC([N+](C)(C)C)C1, cl: C[N+](C1CCCCC1)(C)CC, target: C1CCCC([N+](C)(CC)C)C1
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: O1CCNCC1, cl: C1CNCCO1, target: O1CCNCC1
origin: N1CCOCC1, cl: C1COCCN1, target: N1CCOCC1
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1CCCCC1N, cl: C1(N)CCCCC1, target: C1CCCCC1N
origin: C1C(N)CCCC1, cl: C1(N)CCCCC1, target: C1C(N)CCCC1
origin: C12C[N+](CC)(CC)CC1C1C3C(C[N+](CC)(CC)C3)C2C=C1, cl: C([N+]1(CC)CCCC(C1(()))))C, target: C12C[N+](CC)(CC)CC1C1C=CC2C2C[N+](CC)(CC)CC21
origin: c1cn(C)cnnC, cl: n1ccn(C)c1, target: c1cn(C)cn1
origin: n1ccccc1, cl: c1cccnc1, target: n1ccccc1
origin: c1cnccc1C(, cl: c1(C)ccncC1, target: c1cnccc1C
origin: C(C)[n+]1ccn(C)c1, cl: c1n(C)cc[n+]1CC, target: C(C)[n+]1cn(C)cc1
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1CCC(N)CC1, cl: C1(N)CCCCC1, target: C1CCC(N)CC1
origin: C([N+](C)2CC3CC(C1)CC(C2)C3)(, cl: OCC[N+](C)(C)C, target: C([N+](C)(C)C)CO
origin: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2, cl: C12CC3CC(CC)CC1(CN)CC[[+]]3(C)C2, target: C12([N+](C)(C)C)CC3CC(C1)CC(C3)C2
origin: C[N+](C)(C1CC2CCCCCCC))CCCC, cl: C1C2CC3CC(CC1(33)[N+](C)(C)C)CC, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: [n+]1(C)ccCCCC1CcCc(c)c(C)n1C, cl: C(C)c1n(C)c(C)c[n+]1C, target: [n+]1(C)c(CC)n(C)c(C)c1
origin: c1(CC)[n+](C)cc(C)n1C, cl: C[n+]1c(C(n(c)1)C)C, target: c1(CC)[n+](C)cc(C)n1C
origin: C(C[N+](C)(C)C)OCCO, cl: [N+](C)(C)(C)C12CC3CC(CC(C3)C2)C1, target: C(C[N+](C)(C)C)O
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+]((CCCCCNNCCC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: C1CCC([N+](CC(())C)CC)CCC, cl: C1([N+](C)CC(C)1CCCC)C, target: C1CCC([N+](CC)(C)C)CC1
origin: C1OCCNC1, cl: C1OCCNC1, target: C1OCCNC1
origin: C(C)[N+](C)CCCCC[C+](CC((C)C)(C)C)C, cl: C([N+](CC)(CCCCC[N+](CC)(CC)CC)CC)C, target: C(C)[N+](CC)(CC)CC
origin: N(CC)CC, cl: C(NCC)C, target: N(CC)CC
origin: C(CN)NCCNCCNCCN, cl: C(N)CNCCN, target: C(CN)NCCN
origin: N(CCN)CCNCCNCCN, cl: NCCNCCN, target: N(CCN)CCN
origin: OCCNCCN, cl: C(NCCN)COCC, target: OCCNCCN
origin: NCCNCCO, cl: N(CCO)CCN, target: NCCNCCO
origin: C(N)CNCCNCCN, cl: C(NCCNCCN)CNNCCN, target: C(N)CNCCNCCN
origin: NCCCNCCNCCN, cl: C(CNCCCN)NCCCN, target: NCCCNCCNCCCN
origin: NCCCNCCNCCN, cl: C(N)CCNCCNCCNNCNNCN, target: NCCCNCCNCCCN
origin: NCCNCCNCCN, cl: C(CNCCNCCN)NCCN, target: NCCNCCNCCNCCN
origin: N(CCNCCNCCN)CCN, cl: C(CN)NCCNCCN, target: N(CCNCCNCCN)CCN
origin: C(NCCN)CN, cl: C(NCCN)CNCCN, target: C(NCCN)CNCCNCCNCCN
origin: C12CC3CC(CN)CC(C1)C3NNCCC2, cl: C[N+](C)(C)C12CC3CC(C1)CC(C2)C3, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C1C2CC3CC(CN)CCCC[3+]1(C)C2, cl: C1C2CC3([C+](C2(C)CCCC[)+]1CC)C3)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C, cl: C12([N+](C)(C)C)CC3CC(CC(C2)C3)C1, target: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C
origin: C12CC3CC(CN(C1)CC[C+]2(C)C)C3, cl: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C, target: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2
origin: C1C2CC3CC((N)CCC))CCCC[N+]2(C)CC, cl: C1C2CC3CC(CC)(CNCC))N[C+]13, target: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3
origin: C[N+](CCOC(C)C)CC, cl: C[N+](C)(C)212CC3CC(C1)CC(C2)C3, target: C[N+](CCO)(C)C
origin: C(N(CC)CC)C, cl: C(N(CC)CCC)C, target: C(N(CC)CC)C
origin: C1CNCCO1, cl: O1CCNCC1, target: C1CNCCO1
origin: N(CCC)CCCC, cl: N(CCC)CCC, target: N(CCC)CCC
origin: C1CCC(N)CC1, cl: C1CCCCC1N(C)C1CCCC1, target: C1CCC(N)CC1
origin: C1CNCCO1, cl: O1CCNCC1, target: C1CNCCO1
origin: CCNCC, cl: C(NCC)C, target: CCNCC
origin: CCN(CC)CC, cl: C(C)N(CC))C, target: CCN(CC)CC
origin: [N+](CC)(CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C(NCCNCCNNCCN)CN, cl: NCCNCCNCCNCCN, target: C(NCCNCCN)CNCCN
origin: C(NCCNCCN)CN, cl: N(CCNCCN)CNCCN, target: C(NCCNCCN)CNCCNCCN
origin: C(NCCN)CNNC, cl: C(CNCCN)NCCNCCN, target: C(NCCN)CN
origin: C(CN)NCCOC, cl: N(CCO)CCNCCN, target: C(CN)NCCO
origin: C(NCCN)CNCCNCCN, cl: C(N)CNCCNCCNCCN, target: C(NCCN)CNCCN
origin: C(CNCCN)CNCCNCCN, cl: NCCNCCCNCCN, target: C(CNCCN)CNCCN
origin: C(CN)CNCCCC, cl: C(CN)CNCCNCCCN, target: C(CN)CNCCNCCCN
origin: C1CCCCC1[1+](C)CCCCC1, cl: C1CC([N+](C)(C)CCCC)(C)1C, target: C1CCCCC1[N+](C)(C)C
origin: C[N+](CCOC(())C)C, cl: [N+](C)(C)(C1CCCCC1)C, target: C[N+](CCO)(C)C
origin: C(C)[N+]((1)CCCCC1)(C)C, cl: C(C)[N+](()))CCC, target: C(C)[N+](CC)(CC)CC
origin: C[N+](C)(C)C, cl: [N+](C)(C)(C)C, target: C[N+](C)(C)C
origin: C(C)[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(C)C[N+](CCC)(C)C, cl: C(C)C[N+](CCC)(CCC)CCC, target: C(C)C[N+](CCC)(CCC)CCC
origin: C[NH+](C)C(CCCCCCCCCCCCCCCCC)C, cl: C[NH+](C)(, target: C[NH+](C)C
origin: N12CN3CN(C1)OC((C)C3)C2, cl: C1N2CN3CN(C21C1CCCC3)C, target: N12CN3CN(C1)CN(C3)C2
origin: [O-]C(=O)O.[[H]]], cl: O=C([O-])OO[[H44]c[[+](C)(C)3ccc2)c11, target: [O-]C(=O)C.[NH4+]
origin: [O-]C(C([O-])OO)O)OO[O-O)(, cl: [NH4+].C([O-])(C)[O-], target: [O-]C(C([O-])=O)=O.[NH4+].[NH4+]
origin: O=C([O-])OC([)H]+].[[H]]], cl: [NH4+].O==(C)[O-], target: O=C([O-])O.[NH4+]
origin: C(CN(C)CCOOO(C)O)C, cl: C(CN(C)CCC)C, target: C(CN(C)CCO)O
origin: C(CO)N(C)OCO, cl: C(CN(CCO)C)O, target: C(CO)N(C)CCO
origin: C(CN(C)CCOCOOCOOCCOCC, cl: N(C)(CCO)CCO, target: C(CN(C)CCO)O
origin: C(O)COCCNOCCOCCO, cl: C(O)COCCN, target: C(O)COCCN
origin: C(CNCC(O)C)O, cl: C(NCC(O)C)(C)C, target: C(CNCC(O)C)(O)C
origin: C(CN(CCO)C)O, cl: N(C)(CCO)CCO, target: C(CN(CCO)C)O
origin: C(CO)N(CCOCC)C, cl: C(C)N(CC))C, target: C(CO)N(CC)CC
origin: NCC(O)(C)CCO, cl: CC(CN)(O)C, target: NCC(O)(C)C
origin: C1CCCCC1[N+](C)(C)C, cl: C1CC([N+](CC(()))11(C)C)(C)C, target: C1CCCCC1[N+](C)(C)C
origin: c1cnccc1, cl: c1ccncc1, target: c1cnccc1
origin: CCNCC, cl: CCNCC, target: CCNCC
origin: CCNCC, cl: CCNCC, target: CCNCC
origin: CC(NC(C)C)O, cl: CC(NC(C)C)C, target: CC(NC(C)C)C
origin: C(NC(C)C)CC, cl: CC(C)NC(C)C, target: C(NC(C)C)(C)C
origin: CN(C)CCN(C)C, cl: N(CCN(C)C)CCCCC(()(C)C)C(C)C, target: CN(C)CCN(C)C
origin: CN(C)CCN(C)C, cl: C(CN(C)C)CCCCN(C)C, target: CN(C)CCN(C)C
origin: C1CCCCNC1, cl: N1CCCCCC1, target: C1CCCCNC1
origin: c1n(C)cc[n+]1CC, cl: c1cn(C)c[n+]1CC, target: c1n(C)cc[n+]1CC
origin: c1n(C)c[n+](CC)c1, cl: n1(C)c[n+](CCCC)cc1, target: c1n(C)c[n+](CCCC)c1
origin: CCN(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(CC)CCCCCCCCCCCCCNNCCCC, cl: C[N+](C)(C)CCCCCCCCCCCCCCC, target: C(CC)CCCCCCCCC[N+](C)(C)C
origin: C(CCCCCCCCCCCC)C[N+](C)(C)C, cl: C(CCCCCCCCCCCCCCC[[+]1cCn(cc1)C)F, target: C(CCCCCCCCCCCCCC)C[N+](C)(C)C
origin: C1C(N)CCCC1, cl: C1CCC(N)CC1, target: C1C(N)CCCC1
origin: C1C(N)CCCC1, cl: C1CC(N)CCC1, target: C1C(N)CCCC1
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(CC)(CC)C, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C(C)N(CC)C, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C(NCC)C, cl: C(NCC)C, target: C(NCC)C
origin: C1C(C)(C)CC([N+]2(CC)CCCC2)CC1, cl: CC1(C)CCC[N+](C)(C1)C, target: C1C(C)(C)C[N+](C)(C)CC1
origin: C1C(C)(C)CC2[N+](C)(C)CC1CC, cl: C1C(C)(C)CCN[C+]1(C)C, target: C1C(C)(C)CCC[N@+]1(C)CC
origin: [N@@+]1(C)CCCCCCC, cl: C1C[C@@H]+]2(()C)CCCC2, target: [N@@+]1(C)(CC)[C@H](C)CCCC1
origin: C1CC[N@+](C)CC2CCCCCC22, cl: C1CCC(C)[N+](C1()))CCC, target: C1CC[N@+]2(CC1(C)C)CCCC2C
origin: CC[N+]1(C)C2CC(C(C)C1)C(())C, cl: C1C2[N+](C)(CCCC(C2)C1)C, target: CC[N+]1(C)C2CCCC1CCC2
origin: C12[N+](C)(C)CCCC1CCC2, cl: [N+]1(CC)CCCCCCC1, target: C12[N+](CC)(C)C(CCC1)CC2
origin: C1CC2[N+](C))CC1C1CC22C1(CNCCC)CC, cl: C1C2CCCC(CN)2CC, target: C1CC2[N+](CC)(C)C(C1)CC2
origin: C1C2CCC(CCN))N[N+]1(C)C2, cl: C[N+]1(CCCCCCC))CCCCC1, target: C1C2CCC(C[N+](CC)(C)C2)C1
origin: C1CC2C[N+](CC(())C)(C)C11CCCC2, cl: C1[N+](CC2C(C)CC1CC(C2(())))))(C)C, target: C1CC2C[N+](C)(CC)CC1CC2
origin: C12C[N+](C)(C)CC1C1CCCCC1, cl: C1[N+](CC(C)1C(C)(C)C)(C)C, target: C12C[N+](CC)(C)C(CN(C)C1)C2
origin: C1CCC2CCCCN2CN, cl: C1CC2CCC[C+](C)(C2CC))1, target: C1CCC2CCC(C2)[N+]1(C)C
origin: C12CC3C[N+](C)(CCCC2)CC(C3)C2, cl: [N+]1(C)(C)2CCCC1CCC, target: C12CC3C[N+](C)(C)C(CC(C1)C3)C2
origin: C[N@@+]122CCCCC((CCCC)C3)C1, cl: [C@@H]12CC3(CC(CC(C3)C2)C1)c, target: C[N@@+]12[C@H]([C@@H]3CC[C@H](C1)C3)CCCC2
origin: CC[N+]1(C)C2CCCCCCC2CC1, cl: CC[N+]1(CCCC2CCCCC211CCCCC1)C, target: CC[N+]1(C)CC2CC3CC(CC1C3)C2
origin: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2, cl: C[N+]1(C)CC(CC(C))1)C, target: C12CC3CC([N+](C)(C)C1)CC(C3)C2
origin: C1C2CC3CC(CC1C[[+]]2(C)C)Cc, cl: C[N+]1(CCCC2CCCCC211CCCCC1CCC, target: C1C2CC3CC1C[N+](C)(CC)C(C2)C3
origin: C(CO)N(CCO)C, cl: OCCN(CCO)C, target: C(CO)N(CCO)C
origin: OCCN(CC)CC, cl: C(N(CC)CCC)C, target: OCCN(CC)CCO
origin: CC[N+](CC(())C)CC(C)C, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1(CN)CCNCC1, cl: NCC1CCNCC1, target: C1(CN)CCNCC1
origin: c1ccccn1, cl: c1ccncc1, target: c1ccccn1
origin: CC1(C)C2CCC[(+]1CC(C)CC[N+]2(C)CCCC1, cl: C1CC[N+](CCC())C1(())), target: CC1(C)C2CCC[N+](CC)(CC)C1C2
origin: OCCN(CCN(C)C)C, cl: C(O)CN(CCO)C, target: OCCN(CCN(CCO)CCO)CCO
origin: C1CCC2C([[+]12CCNCC(1)C2, cl: C[N+](C)(C)C12CC3CC(CC)CC1C3, target: C1CCC2C([N+](C)(C)C)C1CCC2
origin: C1C2C[N+](C)(C)CCCCCCCCC2, cl: C1C[N+]2(CCN1CC2)C, target: C1C2C[N+]3(CCCC3)CC(CC2)C1
origin: C12C=CC(C3C[N+](C)(C)CC13)CC2, cl: C1C2C3CCC(C3)C(CNN2)C1, target: C12C=CC(C3C[N+](C)(C)CC13)CC2
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: C1C2([N+](C)(C)C)CC3CC(C21CC(C3)C)), target: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2
origin: C1C2CC3CC(CN1C2)CC3NNCCC, cl: C[N+](C12CC3CC(CC)CC(C3)C2)(C)CCC1, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3, cl: C12([N+](C)(C)C)CC3CC(CC)CC(C2)C3, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: C(CN)CN, cl: C(CN)CN, target: C(CN)CN
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1C2CC3([N+](C)(C)C)CC(CC)C3)CC2, cl: C12CC3CC(CC)CC(([N+](C)(C)C)(C2)C3, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3, cl: C1C2CC3CC(CC)(CNCC))[N+]1(CC)C, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C12CC3CC(CN)CC([1+](C)(C)C))C2, cl: C12CC3CC(C1)CC(CN)(C2)C3, target: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2
origin: C1CNCCN1C11CCCCCCNCC, cl: C1NCCN(CC))C1, target: C1CNCCN1CCN
origin: C[N+](C)(C1CC23CCCC3(CC([N+](C)(C)C)C3)C2(C)C, cl: C1C2CC3CC(C2)CC1([3+](C)(C)C)C3, target: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1C2CC3CC(CC)(CNCC))C[N+]1(C)C2, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, cl: C[N+](C12CC3CC(CC)CC1C3)(C)C, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C1CCCC(N)C1, cl: C1CCCC(N)C1, target: C1CCCC(N)C1
origin: C1CC(N)CCN1, cl: C1(N)CCCCC1, target: C1CC(N)CCC1
origin: C1C2CC3CC(CN1C3)C22, cl: C12([N+](C)(C)C)CC3CC(C1)CC(C2)C3, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CNCCCC, cl: CCCCNC, target: CNCCCC
origin: CCCNCCC, cl: C(NCCC)CC, target: CCCNCCC
origin: C(NCCC)CC, cl: C(CNCCC)C, target: C(NCCC)CC
origin: CC(C)NC(C)C, cl: C(NC(C)C)(C)C, target: CC(C)NC(C)C
origin: C(C)(C)NC(C)C, cl: CC(C)NC(C)C, target: C(C)(C)NC(C)C
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CC[N+](C))CC1(C)C, cl: [N+]1(C)(CCCC1CCCC1)C, target: C1CC[N+](C)(CC)C(C)C1
origin: C1CC(C)(C)C[N+](C))C1, cl: C1(C)(C)CCC[N+](CC)(C1)C, target: C1CC(C)(C)C[N+](C)(C)C1
