origin: C1CCCN(C2)CCC1, cl: C1CCN(C2CCCCC2)CC1, target: C1CCCN(C2CCNCC2)C1
origin: [N+](C)(C)C(C)CC2CC2C2C1CCCC1, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: [N+](C)(C12CC3CC(CC(C3)C1)C2)(C)C
origin: C(C)[N+](CC)(C)CCN(C)CCCC1, cl: C([N+](CC)(CC)CC)C, target: C(C)[N+](CC)(CC)CC
origin: C1OCCNC1, cl: C1OCCNC1, target: C1OCCNC1
origin: C12CC3([N+](C)(C)C)CCCC1, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3
origin: CC[N+](CCCCCCCCCCCCCC)cc1, cl: C([N+](CC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: N(CC)(CC)CCCCC1, cl: C(C)N(CC)CC, target: N(CC)(CC)CC
origin: CCN(CC)CCCC[N+]2(C)CCCC2, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: [N+](C)(C)CCCCC1CCCCCC1, cl: C1([N+](C)(C)CCCC1)C, target: [N+](C)(C)(C1CCCCC1)C
origin: CC[N+](CCCCCCCCCCCC[n+](C)ccc(C)c1C)cc1, cl: C(C)[N+](C)(C)CC, target: CC[N+](CC)(CC)CC
origin: CC[N+](CCCCCCCCCCCCCCC[n+]1c(C)c(C)c(C)c1C, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C12([N+](C)(C)C)CCC2, cl: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2, target: C12([N+](C)(C)C)CC3CC(C1)CC(C2)C3
origin: C([N+](CCC)ccccc2)CCCCC1, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(CO)N(CCCCCCCCCCCCCCCCCCC[N+](C)(C)C)C, cl: C(CN(CCO)CCO)CO, target: C(CO)N(CCO)C
origin: C(CO)N(CC)CCCCC[N+]1(C)CCC, cl: C(O)CN(CCO)C, target: C(CO)N(CC)CCO
origin: C(C)[N+](C)(C)CCCCC1, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C12C(CCCCCCCCCCCCCCC[N+](C)(C)C)CCC1, cl: C12C(C[N+](CC)(C1CCC2)CC)(C)C, target: C12C(CCCC1)C[N+](C)(C)CCC2
origin: C[N+]1(C)CCCCC(C)C[N+](C)(C)C, cl: C1CC2C([N+](C)(C)CCC2)C1, target: C[N+]1(C)C2C(CCCC2)CCC1
origin: C[N+]1(C)CCCCCC2, cl: [N+]1(C)(CCCCC1)CCCCC[N+]1(CCCCC1)C, target: C[N+]1(C)C2CCCCC2CCC1
origin: C1CC2C([N+]2(CC)CCCC2)CCCCCC1, cl: C1C2CCCCC2[N+](C)(C)CCC1, target: C1CC2C([N+](C)(C)C1)CCCC2
origin: C1CC[N+](C)(C)CC1CC(CC3)C2, cl: C1C2C(CC1)CCC[N+]2(C)C, target: C1CC[N+](C)(C)C2C1CCC2
origin: C1[N+](C)(CCCCC[N+](C)(C)C)CCC2, cl: C1C2C(C[N+](C1)(C)C)CCC2, target: C1[N+](C)(C)CCC2CCCC12
origin: C(C)[N+](CC)(CC)CCC1, cl: [N+](CC)(C)(C)CC, target: C(C)[N+](CC)(CC)CC
origin: C1CCC(N)CCCCCC[N+]1(C)CCCCCC1, cl: C1CCCC(N)C1, target: C1CCC(N)CC1
origin: C1(N)CCCCC2CCCC[N+](C)(C)CCCC, cl: C1CCCCC1N, target: C1(N)CCCCC1
origin: N1CCCCC1, cl: C1CNCCC1, target: N1CCCCC1
origin: n1ccccc1, cl: c1ccccn1, target: n1ccccc1
origin: [n+]1(C)c(C)n(C)cc2)cc1, cl: Cn1c[n+](cc1)CCCC, target: [n+]1(C)ccn(C)c1
origin: [n+]1(C)ccc1, cl: C[n+]1cn(C)cc1, target: [n+]1(C)cn(C)cc1
origin: c1[n+](C)cc1, cl: Cn1c(C)[n+](C)cc1, target: c1[n+](C)c(C)n(C)c1
origin: c1[n+](C)c(C)c(C)cc1, cl: n1(C)cc[n+](C)c1, target: c1[n+](C)c(C)n(C)c1
origin: n1(C)cc[n+](CCCCCC[n+]1ccn(C)c1, cl: Cn1cc[n+](c1C)C, target: n1(C)cc[n+](C)c1C
origin: c1(C)n(C)cc2, cl: [n+]1(C)c(C)n(C)c(C)c1C, target: c1(C)n(C)c[n+](C)c1
origin: C[n+]1cc(C)n(C)c1C, cl: n1(C)c(C)c([n+](C)c1C)C, target: C[n+]1cc(C)n(C)c1
origin: [n+]1(C)ccccc1C, cl: Cc1n(C)c(C)c(C)[n+]1C, target: [n+]1(C)c(C)n(C)c(C)c1
origin: c1(C)[n+]1c(C)c(C)n(C)cc1, cl: c1(C)c[n+](C)c(n1C)C, target: c1(C)[n+](C)cc(C)n1C
origin: C1[N+](C)(C)CCCCC1CC2C1CCC1, cl: CC1CC(C)C[N+](C)(C1)C, target: C1[N+](C)(C)CC(C)CC1C
origin: C1[N+](CC)(CC)CCCC2CCC1C1, cl: C1[N+](CC)(CC(C)(CC1)C)C, target: C1[N+](CC)(CC)CC(C)CC1C
origin: C1C2CC3([N+](C)(CC)CCC2)CCCCC[N+](C)(C)CC2, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: [N+](C)(CCCC[N+](C)(C)C)CCCCCC1, cl: C1CC([N+](C(C1)C)(C)C)C, target: [N+](C)(C1CCCCC1)(C)CC
origin: C(C)[N+](C)(CCCCCC2)CCCC1, cl: [N+](CC)(CC)(C)C, target: C(C)[N+](CC)(CC)CC
origin: N1CCOCC1, cl: C1COCCN1, target: N1CCOCC1
origin: C1OCCNC1, cl: N1CCOCC1, target: C1OCCNC1
origin: C(N(CC)CCCCCCCCCCCCCCCCC[n+]2ccccc1CC[N+](C)(C)C)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: [N+](CC)(CC)CCCCCC1, cl: CC[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C1C(N)CCCC[N+](C)(C)CCC1, cl: C1CCC(N)CC1, target: C1C(N)CCCC1
origin: NC1CCCCC12CCCCC1, cl: C1CCCC(N)C1, target: NC1CCCCC1
origin: C12C3C[N+](C)(C)CCCC(C)CC1C2, cl: C12C3C[N+](CC)(CC3C(C=1)C1C[N+](CC21)(C)C)(C)C, target: C12C3C[N+](CC)(CC)CC3C(C=C1)C1C2C[N+](CC)(CC)C1
origin: n1ccn(C)c1C, cl: c1n(C)ccn1C, target: n1ccn(C)c1
origin: c1ccncc1, cl: c1ccccn1, target: c1ccncc1
origin: c1(C)ccnc(CC)[n+]2c1C, cl: c1c(C)ccnc1, target: c1(C)ccncc1
origin: CC[n+]1cn(C)cc1, cl: c1[n+](CC)ccn1C, target: CC[n+]1cn(C)cc1
origin: [N+](CC)(C)CCC2, cl: CC[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: NC1CCCCC1CCC3, cl: C1C(N)CCCC1, target: NC1CCCCC1
origin: C(CO)[N+]1(C)CCCCCC1, cl: OCC[N+](C)(C)CCCCCC[N+](C)(C)C, target: C(CO)[N+](C)(C)C
origin: C[N+](C12CCCC(C)C1)CCC(C)CCCC1C, cl: C12([N+](C)(C)C)CC3CC(CC(C3)C2)C1, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C12CC3([N+](C)(C)CC2)CCCC1, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C12CC3([N+](C)(C)C)CC(C1)CC(C3)C2
origin: Cc1c[n+](C)c(C)c1C, cl: C[n+]1c(C)n(cc1)C, target: Cc1c[n+](C)c(CC)n1C
origin: Cn1c(C)c[n+](C)ccc1, cl: [n+]1(C)c(n(C)c(c1)C)C, target: Cn1c(C)c[n+](C)c1CC
origin: C[N+](C)(C)C2CC(C)CCC1, cl: C[N+](C)(C)C12CC3CC(C2)CC(C1)C3, target: C[N+](C)(CCO)C
origin: C(C)[N+](C)(C)CCCC1, cl: [N+](CC)(CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: [N+](C)(C)CCCC1C(C)C2CC1CCCC[N+](C)(C)C, cl: C[N+](CC)(CC)CC, target: [N+](C)(C1CCCCC1)(C)CC
origin: C1CNCCO1, cl: O1CCNCC1, target: C1CNCCO1
origin: CC[N+](CC)(CC)CCCC1, cl: [N+](CC)(CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CCNCC, cl: CCNCC, target: CCNCC
origin: NCCNCCN, cl: C(CNCCN)NCCN, target: NCCNCCN
origin: C(CNCCN)N(C)CCCC1, cl: C(CN)NCCN, target: C(CNCCN)N
origin: NCCNCCO, cl: C(N)CNCCOCCO, target: NCCNCCO
origin: N(CCO)CCN(C)CC1, cl: NCCNCCO, target: N(CCO)CCN
origin: NCCNCCNCCCCCC1, cl: C(N)CNCCNCCN, target: NCCNCCNCCN
origin: NCCCNCCNCCCCCCC, cl: C(CCN)NCCN, target: NCCCNCCNCCCN
origin: C(NCCNCCCCC)CCCCC1, cl: C(NCCCN)CCO, target: C(NCCNCCCN)CCN
origin: C(CNCCNCCCCCCCCCCCCC[n+]1ccn(C)c1C, cl: C(CNCCNCCN)NCCN, target: C(CNCCNCCNCCN)N
origin: N(CCNCCN)CCCCCCC1, cl: C(NCCNCCN)CCN, target: N(CCNCCN)CCNCCN
origin: C(CNCCNCCCCCCCCCC)ccc1, cl: N(CCNCCN)CCN, target: C(CNCCNCCNCCNCCN)N
origin: C1C2([N+](C)(C)CCCC3)CC2, cl: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: C12([N+](C)(CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCCCCC2CCCCCCCCCCCCCC)CCCC)CCCCCCCCCCCCCCC[n+]1ccn(C)cc1, cl: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: C1C2([N+](C)(C)CCCC3)CCCC2, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: C1C2CC3CC2C(CC2C2C(C)C[N+](C)(C)CCCC2)CC1, cl: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: C[N+](C)(C)CC2(C)CC1C2, cl: C1C2CC3CC(CC1C3)([N+](C)(C)C)C2, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C[N+](C)(C)C(CCC2)C1, cl: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C, target: C[N+](C)(CCO)C
origin: C(N(CC)CC)CCCCCC1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C1OCCNC1, cl: C1OCCNC1, target: C1OCCNC1
origin: CCCNCCC, cl: C(NCCC)CC, target: CCCNCCC
origin: C1C(N)CCCCC1, cl: NC1CCCCC1, target: C1C(N)CCCC1
origin: C1CNCCO1, cl: O1CCNCC1, target: C1CNCCO1
origin: N(CC)CC, cl: C(NCC)C, target: N(CC)CC
origin: C(C)N(CC)CCCC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: [N+](CC)(CC)CCC(C)CC1, cl: CC[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: NCCNCCNCCCCCCC[N+]1(C)CCCCCC1, cl: C(N)CNCCNCCNCCN, target: NCCNCCNCCNCCN
origin: C(NCCNCCN)CCCC1, cl: NCCNCCNCCNCCN, target: C(NCCNCCNCCNCCN)CN
origin: NCCNCCN, cl: NCCNCCN, target: NCCNCCN
origin: C(CNCCN)OCCCCCC[N+](C)(C)C, cl: C(CN)NCCO, target: C(CNCCN)O
origin: C(N)CNCCN(CCCC)CC1, cl: C(CNCCNCCN)NCCN, target: C(N)CNCCNCCN
origin: C(N)CNCCCCCC1, cl: C(CNCCCNC)C, target: C(N)CNCCCNCCN
origin: C(CCNCCNCCCCCCCCCCCCCCCCCCCCC[N+]1(C)CCCC)C, cl: C(CN)CNCCNCCNCCN, target: C(CCNCCNCCCN)N
origin: C1([N+](C)(C)C)(C)CC2, cl: C1CCC([N+](C)(C)C1)CC, target: C1([N+](C)(C)C)CCCCC1
origin: C[N+](C)(C)C(C)CC(C)(C)C1, cl: C(C[N+](CC)(CC)CC)CCCCC[N+](CC)(CC)CC, target: C[N+](C)(CCO)C
origin: C([N+](CC)(C)C)CCC1, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C[N+](C)(CCCCC2)CCCC1, cl: C[N+](C)(CCCCCC[N+](C)(C)C)C, target: C[N+](C)(C)C
origin: CC[N+](CC)(CCCCCCCC2)C1, cl: CC[N+](CC)(C)CCCCC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(C[N+](C)(C)C)CCCC1CCCC1CC2CCC1, cl: C(CC)[N+](CC)(C)CCC, target: C(C[N+](CCC)(CCC)CCC)C
origin: C[NH+](C)(CCCCC2)CC1, cl: C[NH+](C)C, target: C[NH+](C)C
origin: C1N2CN3CN(C)CC(C)CCCCC2, cl: N12CN3CN(C1)CC(C3)C2, target: C1N2CN3CN(CN1C3)C2
origin: O=C(C)[O-]1(C)CC(C)C1, cl: [O-]C(C)=C[N+](CC)(C)CC, target: O=C(C)[O-].[NH4+]
origin: [NH4+].O=C(CC1CCCC2CC2CCCCC2)CC1, cl: C(C([O-])O)[P+](N(C)C)(N(C)C)CCCC[N+](CC)(CC)CC)C, target: [NH4+].O=C([O-])C(=O)[O-].[NH4+]
origin: [NH4+].O=(C)CCC(CC2C3COCCC2)CCCC2, cl: O=C(O)[O-]O, target: [NH4+].O=C(O)[O-]
origin: C(CO)N(CCCC[N+](C)(C)C)CCCCCCC, cl: OCCN(C)CCO, target: C(CO)N(CCO)C
origin: OCCN(C)CCCC1, cl: OCCN(CCO)C, target: OCCN(C)CCO
origin: N(C)(CCO)CCCC1, cl: C(O)CN(CCO)CCO, target: N(C)(CCO)CCO
origin: C(N)COCCOCC1, cl: C(COCCO)N(C)C, target: C(N)COCCO
origin: N(CC(C)O)CC3, cl: C(C(C)O)NCC, target: N(CC(C)O)CC(O)C
origin: N(CCO)(C)CCC(C)[N+](C)CCCC1, cl: N(CCO)(CCO)C, target: N(CCO)(C)CCO
origin: C(O)CN(CCCCCC1)CC1, cl: C(CN(CC)CC)C, target: C(O)CN(CC)CC
origin: OC(C)(C)CCCC1CCCCCC[N+]1(C)CC, cl: C(N)C(O)(C)C, target: OC(C)(C)CN
origin: C1CCC([N+](C)(CC)CCCCC2)CC1, cl: C1CCC([N+](CC)(C1C)CC)C, target: C1CCC([N+](C)(C)C)CC1
origin: n1ccccc1, cl: c1ncccc1, target: n1ccccc1
origin: CCNCC, cl: CCNCC, target: CCNCC
origin: C(NCC)C, cl: CCNCC, target: C(NCC)C
origin: C(C)(C)NCCCCCCC1, cl: C(C)(C)NCCCNC(C)C, target: C(C)(C)NC(C)C
origin: CC(NC(C)CCCC[n+]1c(C)cc1)C1, cl: CC(NC(C)C)C, target: CC(NC(C)C)C
origin: CN(C)CCN(C)CCCC2, cl: CN(C)CCN(C)C, target: CN(C)CCN(C)C
origin: CN(C)CCN(C)CCCC2, cl: CN(CCN(C)C)C, target: CN(C)CCN(C)C
origin: N1CCCCCC1CCCCC[N+]1(C)CCCC1, cl: C1NCCCCC1, target: N1CCCCCC1
origin: [n+]1(CC)ccccc1, cl: c1[n+](CCCC)ccn1C, target: [n+]1(CC)cn(C)cc1
origin: [n+]1(CCCCCCCNCCCCCCCCCCC[n+]1ccccc1, cl: c1cn(C)c[n+]1CCCC, target: [n+]1(CCCC)cn(C)cc1
origin: C(C)N(CC)CCCCCC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: CCN(CC)CCCCC[N+](C)(C)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C[N+](CCCCCCCCCCCCCCCCCC[N+](C)(C)C)C, cl: C[N+](C)(C)CC, target: C[N+](CCCCCCCCCCCC)(C)C
origin: C(CCCC)CCCC[n+]1ccc1, cl: C(CCCCC)CCCCCCCCCCCCCCC[N+](C)(C)C, target: C(CCCC)CCCCCCCCCCC[N+](C)(C)C
origin: C1CCC(N)CCCCCN2CCCCCC1, cl: NC1CCCCC1, target: C1CCC(N)CC1
origin: C1CCCCC1N(C)CCCN(C)CCCCC1, cl: C1C(N)CCCC1, target: C1CCCCC1N
origin: C(N(CC)CC2)CCCC, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: CCN(CC)CCCCCCC[N+](CCCCCCCCCCCCC)cc2, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(C)N(CC)CCCC[N+](C)(CC)CCC(C)CCCN1CCCCC1, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C(N(CC)CCCCCCCCCCCCCC[n+]1ccccc1)CCCCC, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: CCNCC, cl: CCNCC, target: CCNCC
origin: [N+]1(C)(C)CCC(C)CC1CC1, cl: C1C(C)(C)CC2CC1(C)C[N+]2(C)C, target: [N+]1(C)(C)CCCC(C)(C)C1
origin: C1(C)(C)CCN(C)CCCC(C)CCCC1, cl: C1[N@@+](CCCCC1)(C)CC2, target: C1(C)(C)CCC[N@@+](CC)(C)C1
origin: C1CCC[C@@(C)(C)CC(C)(C)C2CCC1, cl: C1C[C@@H]2]=C[N+](CC)(CC)CCC2CC1, target: C1CCC[C@@H](C)[N@+]1(C)CC
origin: C1CC(C)(C)C3CC2C2C1CCCC1, cl: C1(C)(C)C2C(C)CC[N+](C)(C)C(C1)C2, target: C1CC(C)(C)C[N@+]2(C1)C(C)CCC2
origin: C1CC2CCCCCC1C[N+](C)(C)CC1, cl: C12CCCC([N+]2(CCCCC[N+]2(C3CCC2CCC3)C)CC1)C, target: C1CC2CCCC([N+]2(C)CC)C1
origin: CC[N+]1(C)CCCCCCCCC1, cl: C1C2CCCC(C1)[N+]2(C)CC, target: CC[N+]1(C)C2CCC1CCC2
origin: C1CC2[N+](Cc1ccccc(C)c2C)cc(C)c1C, cl: C1C2CCCC(C1)[N+]2(C)CC, target: C1CC2[N+](CC)(C)C(CC2)C1
origin: C12CCC(C[N+](C)(C)C)CC2CCCCC1, cl: C12CCC(C[N+](C)(C)C1)CC2, target: C12CCC(C[N+](CC)(C)C1)CC2
origin: CC[N+]1(C)CCCCC3C1, cl: CC[N+]1(C2C(C)(C)C(CCC1)C2)C, target: CC[N+]1(C)CC2CCC(CC2)C1
origin: CC[N+]1(C)CC2CCCCC1, cl: CC[N+]1(CC)CCCC2C(C1C2)(C)C, target: CC[N+]1(C)C2CN(C)CC(C1)C2
origin: C[N+]1(C)CCCCCC1CC[N+]2(C)CCCC1, cl: [N+]1(C)(C(CCCC1)CC)C, target: C[N+]1(C)CCCC2CC1CC2
origin: C1C2C[N+](C)(C)CCCCCC1, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C1C2C[N+](C)(C)C3CC(C2)CC1C3
origin: [N@+]12(C)CCCCC2CCCCC1C3, cl: [C@H]12[C+](CCCC(C2(C)C)C1)(C)C, target: [N@+]12(C)C[C@H]3CC[C@@H]([C@@H]1CCCC2)C3
origin: C1C2CC3CCOCC1C1, cl: C1[N+](C)(CC2C1C1C2C[N+](C)(C)C1)(C)C, target: C1C2CC3CC([N+](C)(CC)C2)CC1C3
origin: C12CC3[N+](CCCCCCC[N+]2(C)C)(C)CCCCC1, cl: C1C2C[N+](C)(CC(CC2)C1C)C, target: C12CC3[N+](C)(C)CC(C1)CC(C3)C2
origin: [N+]1(C)(CCCCCCCC2)CCCC[N+](C)(C)C)CC1, cl: C1C2C[N+](C)(C)C(C1)C1CC2CC1, target: [N+]1(C)(CC)C2CC3CC(C1)CC(C3)C2
origin: C(O)CN(CCCCCCCCCCCCC)cc1, cl: OCCN(CCO)C, target: C(O)CN(CCO)C
origin: OCCN(CCO)CCC[N+]1(C)CCCC1, cl: C(N(CC)CC)C, target: OCCN(CCO)CC
origin: CC[N+](CC(C)C)CCCCCCCCCCC[N+]1CCCCCCCCC2, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1CNCCC1CCCCCCCCC[N+]1(C)CCCCC1, cl: C1CNCCC1C, target: C1CNCCC1CN
origin: c1ncccc1, cl: n1ccccc1, target: c1ncccc1
origin: C1CC[N+](CC)(CCCC2)C1, cl: C(C)[N+]1(CC)C(C)CCCC1, target: C1CC[N+](CC)(CC)C2CC1C2(C)C
origin: OCCN(CCN(C)C)CC1, cl: OCCN(CCO)C, target: OCCN(CCN(CCO)CCO)CCO
origin: C1C2C([N+](C)(C)C)CCCCCCCCC[N+]1(C)CCCC1, cl: C1CC2CCCCC2[N+](CC1)(C)C, target: C1C2C([N+](C)(C)C)C(CC1)CCC2
origin: C1C2C[N+](C)(C)CCC1C2CCCCC1, cl: C1CC2CCC1CCC[N+]2(C)C, target: C1C2C[N+]3(CCCC3)CC(CC2)C1
origin: C12C3C=CC2C(N(CCCC4)CCCC2)C, cl: C12C3C[N+](C)(C)CC3CC(C2)CC1C3, target: C12C3C=CC(C1C[N+](C)(C)C2)CC3
origin: C[N+](C)(CCCCCC[N+](C)(C)C)CCCCCCCCC1, cl: C1C2CC3CC1(N)CC(C3)C2, target: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2
origin: C12([N+](CC)CCCC3)CC2C, cl: C1C2CC3CC1(CC(C2)C3)[N+](C)(C)C, target: C12([N+](C)(C)C)CC3CC(C1)CC(C2)C3
origin: C1C2CC3CC(C1)CC2C(C)C1C, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: C(N)CCN, cl: NCCCN, target: C(N)CCN
origin: C(C)[N+](C)(C)CCCCC1, cl: C(C)[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: [N+](C)(C)CCCCC2, cl: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C, target: [N+](C)(C)(C12CC3CC(CC(C1)C3)C2)C
origin: [N+](C)(C)CCCCC1, cl: C12CC3CC(CC(C3)C1)([N+](C)(C)C)C2, target: [N+](C)(C)(C)C12CC3CC(C1)CC(C3)C2
origin: C(C)[P+](C)(C)CCCC1, cl: C([P+](CC)(CC)CC)C, target: C(C)[P+](CC)(CC)CC
origin: C1C2CC3CC(C)CC1CCC2, cl: C12CC3CC(CC(C3[N+](C)(C)C)C1)C2, target: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3
