origin: C1CCC(C)(C)NC1(C)C, cl: C1CC[N+](C1)(CCCCC[N+]1(C)CCCC1)C, target: C1CNCCC1N1CCCCC1
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1C2CC3CC(C2)(CC1C3)[N+](C)(C)C, target: C[N+]1(C)CC2C(CCC1)CCCC2
origin: C12C(CCC[N+]1(C)C)CCCC2, cl: C1CC2CCCC2[N+](C)(C)CC1, target: [N+]1(C)(C)C2CCCCC2CCC1
origin: C1C2CC3CC1CC([N+](C)(C)C2)C3, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C[N+]1(C)CCCC2CCCCC12
origin: C1CC2C(CC1)[N+](C)(C)CCC2, cl: C1CC2CCC[N+](C2CC1)(C)C, target: [N+]1(C)(C)C2CCCCC2CCC1
origin: C1CC2C(CC1)CCC[N+](C)(C)C2, cl: C1CC(C)[N+](C)(C)C(C1)C, target: C1CC2CCC[N+](C)(C)C2C1
origin: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2, cl: C1CC2C(CCCC2)[N+](C1)(C)C, target: C1[N+](C)(C)CC2CCCC2C1
origin: CC1(C)CC(C)NCCNC(C)(C)CC(C)NCCN1, cl: C1CCNC(C)CC(C)NCCNC(C)(CC(C)N1)C, target: C1CCCNC1
origin: C1CNC(C)CC(C)(C)NCCNC(C)CC(C)(C)N1, cl: O1CCNC1, target: N1CCOCC1
origin: c1c[n+](C)cn1C, cl: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)NCCN1, target: N1CCNCCCNCCNCCC1
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: [n+]1(ccn(C)c1)CC, target: c1c[n+](C)cn1C
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: Cn1c(C)c[n+](C)c1C, target: [n+]1(CC)ccn(C)c1
origin: C1CCCCN1C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CC[N+](CCCC)(C)C1, cl: C(C)[N+](CC)(C)C, target: CCN(CC)CC
origin: C1CCCC(N)C1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1COCCN1, cl: C1COCCN(CCOCCOCCN2CCOCCOCCOCC2)CCOCCOCCO1, target: C1NCCOC1
origin: C1CCCCN1C, cl: C1NCCCC1, target: N1CCOCC1
origin: Cn1c(C)[n+](C)cc1C, cl: C1OCCNC1, target: C1NCCOC1
origin: c1[n+](CC)cn(C)c1, cl: c1c[n+](CC)cn1C, target: n1(C)cc[n+](CC)c1
origin: CC1(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: C1CCNC(CC(C)(NCCNC(C)CC(C)(C)N1)C)C, target: C1NCCCC1
origin: n1(CC)c[n+](C)cc1, cl: C1CCCN1, target: N1CCCCC1
origin: C1CCCCC1N, cl: C1NC(CC(C)(C)NCCNC(C)CC(C)(NC1)C)C, target: C1CCCNC1
origin: C1CNCCO1, cl: C1NCCCC1, target: C1NCCCC1
origin: CC(C)(C)N(CC)C(C)C, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(N)CNCCNCCNCCN, cl: C([N+](C)(C)CC)C, target: CC[N+](CC)(CC)CC
origin: C(C)[n+]1cn(C)cc1, cl: C1C(CCCC1)N, target: C1(N)CCCCC1
origin: C1CCCC(N)C1, cl: NC1CCCCC1, target: C1C(N)CCCC1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, target: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2
origin: C(CNCCNCCNCCN)N, cl: C(C)[N+](C)(C)C, target: C(C)[N+](CC)(CC)CC
origin: C(CNCCNCCNCCN)N, cl: O1CCN(CCN)CCOCCOCC1, target: C1NCCOC1
origin: C1CCC(C)[N+](CC)(C)C1, cl: [N+]1(C)(C)CC(CC(C)C1)C, target: [N+](C)(C)(C)C12CC3CC(CC(C1)C3)C2
origin: C(CO)N(CCO)C, cl: CC[N+](C)(CC)C, target: C([N+](CC)(CC)CC)C
origin: CCN(C(C)C)C(C)C, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C1CCCCC1N, cl: C(N(CC)C(C)C)(C)C, target: CCN(CC)CC
origin: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2, cl: C1CCC([N+](C)(C)C)CC1, target: C[N+](C)(C1CCCCC1)C
origin: C([n+]1cn(C)cc1)C, cl: CC[N+](CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C(C)N(CC)CC, cl: C(C)(C)N(C)CC, target: CC[N+](CC)(CC)CC
origin: C1CCC2C(CCCC2)[N+]1(C)C, cl: C1C2CC3CC(C2)CC1(C3)n1cc[n+](c1)C12CC3CC(CC(C3)C1)C2, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: CC(C)(C)N(C(C)C)CC, cl: C(C)[N+](C)(C)C, target: CC[N+](CC)(CC)CC
origin: C(O)CN(CCO)C, cl: C(O)CN(C)CCO, target: N(CCO)(C)CCO
origin: C1CCCC(N)C1, cl: C(O)CN(CCO)C, target: C(N(CCO)CC)CO
origin: C(C)N(C(C)C)C(C)C, cl: CC[N+](C)(C)CC, target: C([N+](CC)(CC)CC)C
origin: C1C2CC3CC(CC1C3)C[N+]2(C)CC, cl: C1CC([N+](C)(C)C(C1)C)C, target: C1CC2CCC[N+](C)(C)CC2CC1
origin: C1CCC2CCC[N+](C)(C)C2C1, cl: C1CCC2CCC[N+](C)(C2C1)C, target: C1CC2[N+](C)(C)CCCC2CC1
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: C1C[N+]2(CCCC(C)(C2)C)CC1, target: C1C[N+](C)(C)C2C(CCCC2)C1
origin: C1CCC2C(CCCC2)[N+]1(C)C, cl: C[N+]1(C)CC2CC3CC1CC(C2)C3, target: C12CCC[N+](C)(C)C1CCCC2
origin: C1CC2CCCC2[N+](C)(C)C1, cl: C12CC3CC(CC(C3)([N+](C)(C)C)C2)C1, target: C[N+]1(C)CCCC2CCCC12
origin: C[N+]1(C)C2C(CCCC2)CCC1, cl: [N+]1(C)(C)CC2CC3CC1CC(C2)C3, target: C1C[N+](C)(C)CC2C1CCC2
origin: C1CCCC(N)C1, cl: [N+]1(C)(CCCC1)CCCCC[N+]1(C)CCCC1, target: CC[N+](CC)(CC)CC
origin: C(CNCCNCCN)NCCNCCN, cl: C1(N)CCCCC1, target: C1CC(N)CCC1
origin: CC(C)N(C(C)C)CC, cl: C1CCN(C)CCN(CCCN(CCN1C)C)C, target: C1CCCCC1N
origin: c1n(C)c(C)[n+](C)c1, cl: N1CCNC(C)(C)CC(C)NCCNC(C)CC1(C)C, target: C1CCNCC1
origin: C1CNCCC1, cl: c1ncccc1, target: c1cnccc1
origin: C1(C)NCCNC(C)(C)CC(C)NCCNC(C)(C)C1, cl: c1[n+](cn(C)c1)CC, target: c1[n+](C)cn(C)c1
origin: C[n+]1cc(C)n(C)c1, cl: c1[n+](c(C)n(C)c1)C, target: c1cn(C)c[n+]1C
origin: C1NC(C)CC(C)(C)NCCNC(C)CC(C)(C)NC1, cl: c1n(C)c[n+](C)c1, target: c1n(C)c(C)[n+](C)c1
origin: c1n(C)c(C)[n+](C)c1, cl: C[n+]1c(C)c(C)n(C)c1, target: Cn1c(C)[n+](C)cc1
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: c1(C)n(cc[n+]1C)C, target: [n+]1(C)c(C)n(C)cc1
origin: C1(C)(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: n1(C)cc[n+](C)c1, target: n1(C)c[n+](C)cc1C
origin: Cn1c(C)c[n+](C)c1CC, cl: C[n+]1c(C)n(C)c(C)c1, target: n1(C)c[n+](C)cc1C
origin: n1(C)c(C)[n+](C)cc1, cl: Cn1c(C)c(C)[n+](c1)C, target: Cc1[n+](C)cc(C)n1C
origin: Cn1c(CC)[n+](C)cc1C, cl: c1(C)c[n+](c(n1C)C)C, target: n1(C)c(C)c[n+](C)c1C
origin: C1C(C)[N+](CC)(C)C(C)CC1, cl: C1(C)[N+](C)(C(CCC1)C)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C1C(C)CC(C)C[N+]1(C)C, cl: CC1CC(C[N+](C)(C)C1)C, target: CC1C[N+](CC)(CC)CC(C)C1
origin: C1CC(C)C2C(C)(C)C([N+]1(CC)C)C2, cl: C[N+]1(C)CC(C)CC(C1)C, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: C1CC2CCC[N+](C)(C)C1C2(C)C, cl: C1CC2CC(C2(C)C)[N+](C)(C)C1, target: C1CC([N+](C)(C)CC)CCC1
origin: C(CCCCCCCCCCCC)C[N+](C)(C)C, cl: CC[N+](CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C1CCCC(N)C1, cl: O1CCN(C)CC1, target: C1NCCOC1
origin: C(CNCCN)NCCN, cl: C1NCCOC1, target: N1CCOCC1
origin: C1CC(N)CCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(CNCCN)NCCNCCN, cl: C(C)[N+](C)(C)C, target: CC[N+](CC)(CC)CC
origin: C1CCCC(N2CCCCC2)C1, cl: C1CCN(C)CCN(CCCN(CCN1C)C)C, target: C1CCC(N)CC1
origin: C(N)CNCCNCCN, cl: C1C(N)CCCC1, target: C1(N)CCCCC1
origin: C1(C)[N+](CC)(CC)C(C)CCC1, cl: C1C2C(C[N+]1(CC)CC)C1C3C(C2C=C1)C[N+](CC)(CC)C3, target: [N+]1(CC)(CC)CC2C(C3C=CC2C2C3C[N+](CC)(CC)C2)C1
origin: C1NCCNC(C)(C)CC(C)NCCNC(C)(C)CC1, cl: c1nccc1, target: n1ccn(C)c1
origin: c1[n+](C)c(C)n(C)c1, cl: c1cccnc1, target: c1ccccn1
origin: C1CCCCC1N, cl: c1ccccc1C[n+]1ccn(c1)C, target: c1(C)ccncc1
origin: C1CCCNC1, cl: c1n(c[n+](C)c1)C, target: [n+]1(CC)cn(C)cc1
origin: C(C)(CN)O, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(C)(C)(O)CN, cl: C1CCCCN1, target: NC1CCCCC1
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: OCC[N+](C)(C)C, target: C[N+](C)(CCO)C
origin: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C, cl: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, target: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C
origin: C12CC3CC(C1)CC([N+](C)(C)C)(C3)C2, cl: C[N+](C)(C)C12CC3CC(CC(C3)C2)C1, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: CCc1[n+](C)cc(C)n1C, cl: C[n+]1c(CC)n(C)c(c1)C, target: CCc1[n+](C)cc(C)n1C
origin: C(C)c1n(C)c(C)c[n+]1C, cl: Cn1c(C)c[n+](C)c1CC, target: [n+]1(C)cc(C)n(C)c1CC
origin: C1C(C)(C)C[N+](C)(C(C)C)CC1, cl: C[N+](C)(C12CC3CC(C2)CC(C1)C3)C, target: OCC[N+](C)(C)C
origin: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2, cl: [N+]1(C)(C)CC(C)CC(C1)C, target: CC[N+](CC)(CC)CC
origin: C1C(C)C[N+](C)(C)CC1C, cl: C([N+]1(C)CCCCC1)CC, target: CC[N+](C1CCCCC1)(C)C
origin: c1(C)[n+](C)ccn1C, cl: C1CNC(CC(C)(C)NCCNC(CC(C)N1)C)(C)C, target: C1NCCOC1
origin: C(CCC[N+](C)(C)C)CCC[N+](C)(C)C, cl: [N+](CCCCC[N+](C)(C)CC)(C)(C)C, target: [N+](CC)(CC)(CC)CC
origin: C(C)N(CC)CC, cl: CCNCC, target: CCNCC
origin: N(CCN)CCNCCNCCNCCN, cl: NCCNCCNCCN, target: C(NCCN)CN
origin: CC[N+](CC)(CC)CC, cl: C(N)CNCCNCCN, target: C(CNCCN)N
origin: C(NCCN)CNCCNCCN, cl: OCCN, target: C(CNCCN)O
origin: CC[N+](CC)(CC)CC, cl: C(CO)N(CC)CC, target: OCCNCCN
origin: C(CNCCNCCN)NCCN, cl: C(N)CNCCNCCN, target: C(NCCNCCN)CN
origin: C(CNCCNCCN)N, cl: C(NCCN)CNCCNCCN, target: C(NCCCN)CNCCCN
origin: C(CNCCN)NCCNCCN, cl: C(CNCCN)NCCN, target: C(N)CCNCCNCCCN
origin: C1CCCCC1N, cl: NCCNCCNCCNCCNCCN, target: N(CCN)CCNCCNCCN
origin: C1CCCC(N)C1, cl: C(CNCCN)NCCN, target: C(CN)NCCNCCNCCN
origin: OCCNCCN, cl: C(NCCN)CNCCN, target: C(NCCNCCNCCN)CNCCN
origin: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3, cl: C1C2CC3CC(C2)([N+](C)(C)C)CC1C3, target: [N+](C)(C)(C)C12CC3CC(CC(C1)C3)C2
origin: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2, cl: C12CC3CC(C1)CC(C3)(C2)[N+](C)(C)C, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: C[N+]1(C)C2C(CCC1)CCCC2, cl: C[N+]1(C)C2CC3CC(C2)CC(C3)C1, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, target: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C[N+](C)(C)C12CC3CC(C2)CC(C3)C1, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, cl: C(CO)[N+](C)(C)C, target: C(CO)[N+](C)(C)C
origin: C(C)(N(CC)C(C)C)C, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C1CCC(N)CC1, cl: C1OCCN(CCOCCOCCOCCN2CCOCCOCCOCC2)CCOCCOCCOCCO1, target: O1CCNCC1
origin: C(C)(C)(C)N(C(C)C)C, cl: C(CN(CCO)C)O, target: C(NCCC)CC
origin: C(CO)N(CCO)C, cl: C1(N)CCCCC1, target: C1CCCC(N)C1
origin: C1CCC(N)CC1, cl: C1OCCNC1, target: N1CCOCC1
origin: C(CO)N(CCO)C, cl: CCNCC, target: C(C)NCC
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C(C)N(CC)CC, cl: [N+]1(CCCCC[N+]2(C)CCCC2)(C)CCCC1, target: C([N+](CC)(CC)CC)C
origin: NCCNCCNCCNCCN, cl: C(N)CNCCNCCNCCN, target: C(NCCNCCN)CNCCN
origin: NCCNCCNCCNCCN, cl: C(CNCCN)NCCNCCN, target: C(N)CNCCNCCNCCNCCN
origin: C(N)CNCCNCCNCCN, cl: NCCNCCNCCNCCNCCN, target: C(CNCCN)N
origin: C(NCCNCCN)CNCCN, cl: C(NCCNCCN)CN, target: C(NCCO)CN
origin: C(N)CNCCNCCNCCNCCN, cl: C(CN)NCCNCCNCCN, target: N(CCN)CCNCCN
origin: C(CNCCN)NCCN, cl: N(CCN)CCNCCNCCN, target: C(NCCN)CCNCCN
origin: NCCNCCNCCNCCN, cl: C(CN)NCCNCCN, target: C(CN)CNCCNCCCN
origin: C1C([N+](C)(C)C)CCCC1, cl: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2, target: C[N+](C)(C1CCCCC1)C
origin: C1C2C(C)(C)C1[N+](C)(C)CCC2, cl: C[N+](C1CCCCC1)(C)C, target: C(CO)[N+](C)(C)C
origin: C1CC(C)(C)[N+](C)(CC)C(C)(C)C1, cl: CC[N+]1(C2C(C)C(C2)CCC1)CC, target: C([N+](CC)(CC)CC)C
origin: C([O-])(=O)(=O)[O-].[NH4+].[NH4+], cl: [N+](CC)(CC)(CC)CC, target: C[N+](C)(C)C
origin: C1N2CN3CN1C[N+](C)(C2)C3, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(C)[N+](CC)(CC)CC, cl: C([N+](CC)(CC)CC)C, target: CCC[N+](CCC)(CCC)CCC
origin: C(C)[N+](CC)(CC)CC, cl: [NH+](C)(C)C, target: C[NH+](C)C
origin: C1N2CN3CN1CN(C3)C2, cl: N12CN3CN(CN(CC2)C1)CN(C3)CC, target: N12CN3CN(C1)CN(C3)C2
origin: C([O-])=O.[NH4+].[NH4+], cl: C(=O)[N+](C)(C)C, target: [O-]C(C)=O.[NH4+]
origin: C(=O)([O-])=O.[NH4+].[NH4+].[NH4+], cl: [NH4+].[NH4+].[O-], target: O=C([O-])C([O-])=O.[NH4+].[NH4+]
origin: C(C)[N+](CC)(CC)CC, cl: C(=O)[N+](C)(C)C, target: C(=O)(O)[O-].[NH4+]
origin: CCCCCCCCCCCCCC[N+](C)(C)C, cl: C(CO)N(CCO)CCO, target: C(N(C)CCO)CO
origin: C(CCCCCCCCCCCC[N+](C)(C)C)C, cl: C(CN(C)C)CCCCN(C)C, target: C(CN(C)CCO)O
origin: C(CCC)CCCCCCCCCC[N+](C)(C)C, cl: CN(CCO)CCO, target: C(CN(CCO)C)O
origin: C(C)(C)(C)N(CC)C(C)C, cl: C(O)CN(CCO)C, target: NCCOCCO
origin: C(C)N(C(C)C)C(C)C, cl: OC(CN)CCO, target: C(NCC(O)C)C(C)O
origin: C(CO)N(CCO)CC, cl: C(O)CN(CCO)C, target: C(CO)N(C)CCO
origin: C(C)(C)(C)N(C)C, cl: C(N(C)C)(C)C, target: CCN(CC)CCO
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: CC(C)N(CC)C(C)C, target: CC(O)(C)CN
origin: C12CC(C(C)CC[N+]1(C)C)C2(C)C, cl: C1CCC(C)[N+](C)(C1C)C, target: C1CCCCC1[N+](C)(C)C
origin: C1C(C)NCCNC(C)(C)CC(C)NCCNC1(C)C, cl: c1cccnc1, target: c1ccncc1
origin: C(CN(CCO)CCO)O, cl: C(C)[N+](CC)(CC)CC, target: N(CC)CC
origin: C(C)N(CC)CC, cl: C(NCCO)CO, target: N(CC)CC
origin: CC[N+](CC)(CC)CC, cl: N(C(C)C)(CC)C(C)C, target: C(NC(C)C)(C)C
origin: C(N(CCO)CCO)C, cl: CC(N(C(C)C)CC)C, target: C(C)(NC(C)C)C
origin: C1C(C)C[N+](C)(C)CC1C, cl: CN(C)CCO, target: CN(C)CCN(C)C
origin: CC(N(C(C)C)CC)C, cl: CN(CCO)CCO, target: N(C)(C)CCN(C)C
origin: C(CCCCCCCCCC)CCCCC[N+](C)(C)C, cl: C1CCC(CC1)N, target: C1CCNCCC1
origin: C1CCC(N2CCCCC2)CC1, cl: CC[n+]1cn(cc1)C, target: c1[n+](CC)cn(C)c1
origin: C1CCC(N2CCCCC2)CC1, cl: n1(C)cc[n+](c1)CCCC, target: c1[n+](CCCC)cn(C)c1
origin: C1(C)(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(C)(C)N(CC)C(C)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CCCC(N)C1, cl: C[N+](CCCCCCCCCCCCCC)(C)C, target: C(CCCCCCCC[N+](C)(C)C)CCC
origin: CC(C)(C)N, cl: C(CCCCCCCCCCCC)CCC[N+](C)(C)C, target: C(CCCC[N+](C)(C)C)CCCCCCCCCCC
origin: C1C(C)(C)NCCNC(C)CC(C)(C)NCCNC1C, cl: C1CCC(N)CC1, target: C1CC(N)CCC1
origin: C(N(CC)CC)C, cl: C1CCC(N)CC1, target: NC1CCCCC1
origin: n1(C)cc[n+](CC)c1, cl: N(CCCN)CCN, target: C(N(CC)CC)C
origin: C1CCCC(N)C1, cl: C(C)CNCCC, target: CCN(CC)CC
origin: C1CCC(N)CC1, cl: N(CCCN)CCN, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C(C)CNCCC, target: C(N(CC)CC)C
origin: C[n+]1c(C)n(C)c(C)c1, cl: CCNCC, target: C(C)NCC
origin: C1C2CCCC(C1)[N+]2(C)CC, cl: C[N+]1(C)CCCC2CCCCC2C1, target: C[N+]1(C)CCCC(C)(C)C1
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1[N+](C)(C)C2CC(C1)(C)CC2C, target: CC[N@+]1(C)CC(C)(C)CCC1
origin: C1CC2C(CC1)CCC[N+](C)(C)C2, cl: C1CC2C(CC1)[N+](C)(C)CCC2, target: C[C@@H]1CCCC[N@+]1(CC)C
origin: C12CC3CC(C1)CC(C[N+]3(C)CC)C2, cl: C1CC2C[N+](C)(C)CC2CCC1, target: C1(C)(C)CCC[N@@+]2(C1)C(C)CCC2
origin: C12CCCC1CCC[N+]2(C)C, cl: C1CCC2CCC[N+](C)(C2C1)C, target: C(C)[N+]1(C)C2CCCC1CCC2
origin: C1C2C(CCC1)CCC[N+]2(C)C, cl: C1CCCC2C[N+](C)(C)CCCC12, target: C1CC2[N+](C)(CC)C(C1)CC2
origin: C[N+]1(C)CCCC2CCCCC12, cl: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C, target: C1CC2CCC([N+]2(CC)C)C1
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: CC[N+]1(C)C2CCCC1CCC2, target: CC[N+]1(C)CC2CCC(C1)CC2
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, target: C1[N+](CC)(C)CC2CCC1CC2
origin: C1CCC2C([N+](C)(C)CCC2)C1, cl: [N+]1(C)(C)CCCC2CCCCC21, target: C1N(C)CC2[N+](CC)(C)CC1C2
origin: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, cl: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, target: C[N+]1(C)C2CC(CCC1)CC2
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C[N+]1(C)CCCC2CCCCC21, target: C12CC3CC(CC(C1)C[N+]3(C)C)C2
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C1[C2CC3CC(CC1C3)C2, target: [C@H]12C[C@H](CC1)C[N@+]1(C)CCCC[C@@H]21
origin: C1C2CC3CC(C[N+]2(C)C)CC1C3, cl: C1C2CC3CC1CC(C3)[N+](C)(C2)C, target: C([N+]1(C)CC2CC3CC(CC1C3)C2)C
origin: C1[N+](C)(C)CCCC1(C)C, cl: [N+](C)(C)(C)C12CC3CC(CC(C3)C2)C1, target: C12[N+](C)(C)CC3CC(C1)CC(C2)C3
origin: C12CC3CC(CC([N+](C)(C)C1)C3)C2, cl: C(C)[N+]1(CC)CC2CCC(C1)CC2, target: CC[N+]1(C)CC2CC3CC1CC(C3)C2
origin: CC[N+](CC)(CC)CC, cl: C(CN(C)C)CCCCN(C)C, target: C(CN(C)CCO)O
origin: CCN(CCO)CC, cl: C(N(C)C)CCCCCN(C)C, target: N(CC)(CCO)CCO
origin: c1[n+](CC)ccn1C, cl: C([N+]1(C)CCCC1)CCCC[N+]1(CCCC1)C, target: CC[N+](CC)(CC)CC
origin: C1CC(N)C(N)CC1, cl: N1CCNCC1, target: C1C(CN)CCNC1
origin: C(CCCN)CCN, cl: c1ncccc1, target: c1cnccc1
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: C1CCC([N+](C1C)(C)C)C, target: C([N+]1(CC)CCCC2CC1C2(C)C)C
origin: C(N(CCO)CCO)CO, cl: C(O)CN(CCO)C, target: C(CN(CCN(CCO)CCO)CCO)O
origin: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, cl: C12C(CCCC1)CCC[N+]2(C)C, target: C1CC2C([N+](C)(C)C)C(CCC2)C1
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C1[N+](C)(C)C2CCCC2CC1, target: C1[N+]2(CC3CCC1CC3)CCCC2
origin: C1CCC2C(C1)CCC[N+]2(C)C, cl: C12CC3(CC(C1)CC(C2)C3)[N+](C)(C)C, target: C1[N+](C)(C)CC2C3CCC(C=C3)C12
origin: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, cl: C[N+]1(C)CC2CC3CC1CC(C3)C2, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C[N+](C12CC3CC(C1)CC(C3)C2)(C)C, cl: C1C2CC3(CC1CC(C2)C3)[N+](C)(C)C, target: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: C1CNCCN1C, cl: C(CCN)CN, target: C(CCN)N
origin: C([n+]1cn(C)cc1)CCC, cl: CC[N+](C)(CC)C, target: C(C)[N+](CC)(CC)CC
origin: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3, cl: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2, target: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1C2CC3CC1CC(C3)([N+](C)(C)C)C2, target: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2
origin: C1(C)(C)C2CC1CCC[N+]2(CC)CC, cl: C([P+](CC)(CC)CC)C, target: CC[P+](CC)(CC)CC
