origin: C1C(NCCNC(C)(C)CC(C)NCCNC1(C)C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1N(C2CCNCC2)CCCC1
origin: c1[n+](C)c(n(C)c1)C, cl: C1CCN(Cc2ccccc2)C1CO, target: c1[n+](CC)cn(C)c1
origin: C1CC[N+](CCC[N+]2(C)CCCC2)(C1)C, cl: C12CC3CC(CC(C2)C3)(C1)n1cc[n+](C23CC4CC(C3)CC(C4)C2)c1, target: C(N(CC)CC)C
origin: C1C(C)CC(C)(NCCNC(C)(C)CC(NC1)C)C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: CCN(CC)CC
origin: C1C(NCCNC(C)(C)CC(NCCNC1(C)C)C)C, cl: N1(CCNCC1Cc1ccccc1)Cc1ccccc1, target: CCN(CC)CC
origin: n1(c[n+](cc1)CC)C, cl: CCCN(CCC)CCC, target: C1OCCNC1
origin: c1[n+](C)cn(c1)C, cl: C1CCCC2N(CC3CC2C[N+]2(C3CCCC2)C)C1, target: C1NCCOC1
origin: n1(c(C)c[n+](C)c1C)C, cl: C(C)C(N(CCC)C(C)C)C, target: C1OCCNC1
origin: c1n(C)c[n+](CC)c1, cl: C(CC[n+]1cn(C)cc1)C, target: C(C)[n+]1cn(C)cc1
origin: n1(c(C)c[n+](c1C)C)C, cl: C(C)C(NC)C(c1ccccc1)O, target: C1CCCCN1
origin: CC(N(CC)C(C)C)C, cl: C(N(CC)CC)C, target: N1CCCCC1
origin: C1CCCC(N)C1, cl: c1ccc(cc1)C(O)C(N(C)C)C, target: C1CCCNC1
origin: Cn1c[n+](CC)cc1, cl: C(CO)(Cn1c[n+](cc1)C)O, target: C1CNCCC1
origin: C(C)CNCCC, cl: c1cc(CN2CCCC2)ccc1F, target: [N+](CC)(CC)(CC)CC
origin: C1CCC(C(C1)N)O, cl: CCCN(CCC)CCC, target: C(C)[N+](CC)(CC)CC
origin: C(C)([n+]1ccn(C(C)C)c1)C, cl: C1CN(CC1)Cc1cccc(c1)F, target: C1CCCC(N)C1
origin: C1C(NCCNC1)C, cl: c1c(F)ccc(CN2CCCC2)c1, target: C1CC(N)CCC1
origin: C1C2CC3(CC1CC(C2)C3)[N+](C)(C)C, cl: c1cc(C(O)C(N(C)C)C)ccc1, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: C(NCCN)CNCCNCCN, cl: C1(CO)N(CCN1)Cc1cccc(F)c1, target: CC[N+](CC)(CC)CC
origin: C(C)CCCCN, cl: C1CC(N(C)C2CCCCC2)CCC1, target: C1CNCCO1
origin: C1CCC[N+](C)(CC)C1C, cl: c1(C(O)C(C)N(C)Cc2ccccc2)ccccc1, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C(C)(N(CC)C(C)C)C, cl: C1CCC(N(C2CCCCC2)C)CC1, target: CC[N+](CC)(CC)CC
origin: C1CCCC(N2CCNCC2)C1, cl: CCCN(CCC)CCC, target: N(CC)(CC)CC
origin: CC[n+]1cn(C)cc1, cl: C(N1CCCC1)c1cccc(F)c1, target: C(C)N(CC)CC
origin: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, cl: c1cc(ccn1)N(C)C, target: C1CCC([N+](C)(C)C)CC1
origin: C(CCC)[N+]1(C)CCCC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C(C)[N+](CC)(CC)CC
origin: C(C)(CC)N(CC)C(C)C, cl: CC(C(c1ccccc1)O)NC, target: CC[N+](CC)(CC)CC
origin: C1C(C)(CCC[N+]21CCCC2)C, cl: CC(C(NC)C)c1ccccc1, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C(NCC)C, cl: N(C(C(c1ccccc1)O)C)C, target: C([N+](CC)(CC)CC)C
origin: C1CC[N+](CCCCC[N+]2(C)CCCC2)(C)C1, cl: c1c(C(O)C(O)C(C)NC)cccc1, target: OCCN(CCO)C
origin: C(NCC)C, cl: C([n+]1cn(C)cc1)CCC, target: OCCN(CC)CCO
origin: C(CCC[N+]1(C)CCCC1)[N+]1(C)CCCC1, cl: C1CN(C(CO)C1)Cc1cccc(F)c1, target: CC[N+](CC)(CC)CC
origin: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, cl: C(N(CC)CC)C, target: C1CC2CCCCC2C[N+](C)(C)C1
origin: C1CCCCC2CCC[N+](CC21)(CC)CC, cl: C(c1ccccc1)N1CCCC1, target: C1CC2[N+](C)(C)CCCC2CC1
origin: C1CCCC2C1CCC[N+]12CCCC1, cl: C1CN(Cc2ccccc2F)CC1, target: C1CC2CCC[N+](C)(C)C2CC1
origin: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, cl: C(C(O)c1ccccc1)(C)NC, target: C1CC[N+](C)(C)C2CCCCC12
origin: C1CCCC2CCC[N+](C21)(C)C, cl: C(c1cccc(F)c1)N1CCCC1, target: C1C[N+](C)(C)C2CCCC2C1
origin: C1CC2C(CCC[N+]2(C)C)C1, cl: C1CCCCN1Cc1ccccc1, target: C1CC2C(CC[N+](C)(C)C2)C1
origin: C(C)(C)(N(C(C)C)CC)C, cl: C12CC3CC(CC(C1)(C3)[N+](C)(C)C)C2, target: CC[N+](CC)(CC)CC
origin: C(NCCNCCNCCN)NCCN, cl: C1(N(Cc2ccccc2)CCC1)CO, target: C1CCCCC1N
origin: C1CCCC(C1)N, cl: N(CC)(CC)CC, target: C1CCC(N)CC1
origin: Cc1n(C)c(C)[n+](C)c1, cl: C1(CO)N(CCC1)Cc1ccccc1, target: C1CNCCC1
origin: c1[n+](cn(c1)C)C, cl: C1C(CO)N(Cc2ccccc2)CC1, target: c1ccncc1
origin: c1n(C)cc[n+]1C, cl: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, target: Cn1c[n+](C)cc1
origin: C[n+]1c(C)n(cc1)C, cl: c1cc(F)c(CN2CCCC2)cc1, target: c1n(C)cc[n+]1C
origin: [n+]1(cn(C)cc1)CC, cl: c1ccccc1C(C(NC)C)O, target: n1(C)c(C)[n+](C)cc1
origin: C[n+]1c(n(cc1C)C)C, cl: C(N(CC)CC)C, target: C[n+]1c(C)n(C)cc1
origin: c1c[n+](cn1C)C, cl: N(CC)(CC)CC, target: c1cn(C)c(C)[n+]1C
origin: C([n+]1cn(C)cc1)C, cl: N1(CCCC1CO)Cc1cc(F)ccc1, target: Cn1c[n+](C)cc1C
origin: CCc1n(C)c(CC)[n+](C)c1, cl: [N+]12(CC3CC(CN4CCCCC34)C1CCCC2)C, target: Cn1c(C)c[n+](C)c1
origin: C[n+]1c(n(C)cc1)C, cl: C1N(CCCC1)Cc1ccccc1, target: c1(C)n(C)c(C)[n+](C)c1
origin: Cc1n(C)c(C)c([n+]1C)C, cl: C(C)(C)N(CC)C(C)C, target: Cc1n(C)c(C)[n+](C)c1
origin: C1(C)CC(C[N+](C)(C1)C)C, cl: C(CC)C[n+]1ccn(c1C)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: [N+]1(CC(C)CC(C1)C)(CC)CC, cl: c1cc(ccc1)CN1CCCC1CO, target: C1(C)CC(C)C[N+](CC)(CC)C1
origin: C1C2[N+](C)(C(C)(CC1)CCC2)C, cl: C(CC)N(CCC)CCC, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: C1CCC(C)[N+](CC)(C1C)C, cl: c1[n+](CCCC)cn(C)c1, target: C1CCCCC1[N+](CC)(C)C
origin: C(CN(C)C)CCCCN(C)C, cl: N(C)(C)CC, target: C([N+](CC)(CC)CC)C
origin: C([N+](C)(C)C)CCCCCCCCCCCCCC, cl: CCN(CC)CC, target: C1CNCCO1
origin: C1CCC(C(C1)N)N, cl: C1CN(Cc2ccccc2F)CC1, target: N1CCOCC1
origin: C(CNCCNCCN)NCN, cl: C(CC)CNCCCC, target: C(N(CC)CC)C
origin: C(NCC)C, cl: [N+](CC)(CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(CC[n+]1ccn(c1)C)C, cl: C1CCCC2C3CC(C[N+]13C)C1N(C3)CCCC1, target: C1CCCC(N)C1
origin: C(C(NC)C)(O)C, cl: c1(cccc(F)c1)CN1CCCC1, target: C1C(N)CCCC1
origin: C1C(CCCC1)[N+](C)(C)CC, cl: C1N(CCC1)Cc1ccc(cc1)F, target: [N+]1(CC)(CC)CC2C3C4C(C(C=C3)C2C1)C[N+](CC)(CC)C4
origin: CCc1n(C)cc[n+]1C, cl: c1c(cccc1)CN1CCCC1CO, target: Cn1ccnc1
origin: c1[n+](ccn1C)CC, cl: c1(C)n(C)c([n+](C)c1C)C, target: c1ccccn1
origin: Cn1c[n+](CC)c(c1)C, cl: C(C1CCCN1Cc1ccccc1)O, target: c1cnccc1C
origin: N1CCNCC1, cl: C12CC3CC(C1)(CC(C2)C3)[N+](C)(C)C, target: c1cn(C)c[n+]1CC
origin: C(C)N(CC)CCO, cl: C(C)(C(O)c1ccccc1)NC, target: CC[N+](CC)(CC)CC
origin: C(CCCCCCCCCCCCCCC)CC[N+](C)(C)C, cl: c1c(cccc1)C(O)C(N(C)C)C, target: C1CCCCC1N
origin: C1C(C)[N+](C(CC1)C)(C)CC, cl: C(C)(C)N(CC)C(C)C, target: C[N+](C)(C)CCO
origin: C12CC3CC(C1)([N+](C)(C)C)CC(C3)C2, cl: C(N(CC)CC)C, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: C12CC3([N+](C)(C)C)CC(CC(C3)C2)C1, cl: C1C(CCCC1)N(C)C1CCCCC1, target: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2
origin: Cc1[n+](C)cc(C)n1C, cl: c1n(C)c([n+](CC)c1C)C, target: c1[n+](C)c(CC)n(C)c1C
origin: c1[n+](C)c(n(C)c1)C, cl: C1(N(CCC1)Cc1ccccc1)CO, target: n1(C)c(CC)[n+](C)cc1C
origin: C(C)[N+]1(CC)CCCC(C1)(C)C, cl: C(N(CC)CC)C, target: C[N+](C)(CCO)C
origin: C[N+]1(CC)CC(C)CC(C1)C, cl: C(O)(c1ccccc1)C(C)N(C)Cc1ccccc1, target: C(C)[N+](CC)(CC)CC
origin: C1C(C)CC(C[N+]1(C)C)C, cl: c1cc(ccc1)C(O)C(NC)C, target: C1C([N+](C)(CC)C)CCCC1
origin: n1(cc[n+](c1)C)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1OCCNC1
origin: C[N+](CCCCC[N+](CC)(C)C)(C)CC, cl: C1(CO)N(CCC1)Cc1ccccc1, target: CC[N+](CC)(CC)CC
origin: C(CC[N+](C)(C)C)CCCCCCCCCCCCC, cl: c1c(C([N+](C)(C)C)CO)cccc1, target: C(C)NCC
origin: C(C)(NC(C)C)C, cl: C(C)(N(CC)C(C)C)C, target: C(N)CNCCN
origin: N(CC)(CC)CC, cl: c1ccc(C(O)C(NC)C)cc1, target: C(CNCCN)N
origin: C1C(N)C(C)(N)CCC1, cl: c1ccc(c(c1)CN1CCCC1)F, target: C(CNCCO)N
origin: C(N(CC)CC)C, cl: C1CN(Cc2cccc(c2)F)CC1, target: C(CN)NCCO
origin: C(CN)N(C)CC, cl: C1CCCC(C1)N(C1CCCCC1)C, target: N(CCN)CCNCCN
origin: C(NC(C)C)(C)C, cl: c1c(C[n+]2ccn(C)c2C)cccc1, target: N(CCNCCCN)CCCN
origin: C(CCCNCCCCC)N, cl: C1N(C(CO)CC1)Cc1ccccc1, target: C(N)CCNCCNCCCN
origin: C(CNCC(O)C)(C)O, cl: N1(CCCC1CO)Cc1ccccc1, target: C(N)CNCCNCCNCCN
origin: CC(NC(C)C)C, cl: C1CN(Cc2ccccc2F)CC1, target: N(CCNCCNCCN)CCN
origin: C1C(CCCC1)N, cl: c1ccc(C(O)C(NC)C)cc1, target: C(NCCNCCNCCNCCN)CN
origin: C12CC3CC(CC(C2)C3)(C1)[N+](C)(C)C, cl: c1(CN2CCCC2)cc(F)cccc1, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: C[N+](C)(C)C12CC3CC(CC(C3)C2)C1, cl: C1CCCCC1N(C1CCCCC1)C, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C(C)([N+]1(C)CCCC(C)(C1)C)C, cl: N(C)(C(c1ccccc1)O)C, target: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C
origin: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, cl: C(C)N(CC)CC, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C12CC3CC(CC(C3)(C1)[N+](C)(C)C)C2, cl: N12CCC(CC1)CC2, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C1CC2C[N+](CCCC2CC1)(C)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C(C[N+](C)(C)C)O
origin: C(CCCCCCCCCC)CCCCCCC[N+](C)(C)C, cl: C(C)N(CC)CC, target: N(CC)(CC)CC
origin: C(CCCCCCCCCCCCCCC)CCC[N+](C)(C)C, cl: c1cccc(CN2CCCC2CO)c1, target: C1CNCCO1
origin: C(C)CCCNCCCCC, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C(C)CNCCC
origin: C(C)(N(C(C)C)CC)C, cl: c1cc(CN2C(CO)CCC2)ccc1, target: C1C(N)CCCC1
origin: C(CC[N+]1(C)CCCC1)CC[N+]1(CCCC1)C, cl: C1CC(CCC1)N(C1CCCCC1)C, target: N1CCOCC1
origin: N(CCO)(CCO)C, cl: [N+](C)(Cc1ccc(F)cc1)(C)Cc1ccccc1F, target: CCNCC
origin: C[N+](CCCCCC[N+](C)(C)C)(C)C, cl: C(CN1CCOCCOCCOCCOCCOCC1)N1CCOCCOCCOCCOCC1, target: CCN(CC)CC
origin: C1C[N+](CCCCC[N+]2(C)CCCC2)(CC1)C, cl: c1cccc(c1)C(O)C(C)N(C)Cc1ccccc1, target: [N+](CC)(CC)(CC)CC
origin: C(CNCCN)NCNCCNCCN, cl: C12CC3CC(CC(C1)C3)(C2)[N+](C)(C)C, target: C(NCCNCCNCCN)CN
origin: N(CCN)CCNCCNCCNCCN, cl: C(N(CC)CC)C, target: C(NCCNCCNCCN)CNCCN
origin: C(CNCCNCCNCCN)NCNCCN, cl: c1ccc(cc1F)CN1CCCC1, target: NCCNCCN
origin: C(CNCCNCCN)N, cl: C1(CCCN1Cc1ccccc1)CO, target: C(NCCO)CN
origin: C(CCNCCCN)NCCNCCN, cl: C12C3CC(CN3CCCC2)C2CCCC[N+]12C, target: N(CCN)CCNCCN
origin: C(CNCCCN)NCCN, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C(CNCCCNCCN)N
origin: N(CC)(CC)CC, cl: c1ccccc1C(C(C)NC)O, target: N(CCNCCCN)CCCN
origin: C1C2CC3(CC(CC1C3)C2)[N+](C)(C)C, cl: c1cc(c(CN2CCCC2)cc1)F, target: C[N+](C1CCCCC1)(C)C
origin: C1C(C)C[N+](C)(C)CC1C, cl: C1C(CO)N(Cc2ccccc2)CC1, target: C([N+](C)(C)C)CO
origin: C1(CCCC([N+]1(C)C)C)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C([N+](CC)(CC)CC)C
origin: C([N+](C)(C)C)CO, cl: C1C2C3CCCCN3CC1C1CCCC[N+]1(C2)C, target: [N+](C)(C)(C)C
origin: [NH4+].[NH4+].[O-]C([O-])([O-])=O, cl: C(N(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: [NH4+].C(C)[O-], cl: c1c(F)c(C[N+](C)(Cc2ccc(F)cc2)C)ccc1, target: C(CC)[N+](CCC)(CCC)CCC
origin: C1C[N+]2(CC[N+]1(C)CC2)C, cl: C(C(C)N(C)C)(O)c1ccccc1, target: [NH+](C)(C)C
origin: C(C)[N+](CC)(CC)CC, cl: C1CCCCC1N(C1CCCCC1)C, target: C1N2CN3CN(CN1C3)C2
origin: [NH4+].[O-], cl: C1CCC(N)CC1, target: [NH4+].C(=O)(C)[O-]
origin: [NH4+].[O-]=O, cl: C(C(C)N(C)C)(c1ccccc1)O, target: [O-]C(C(=O)[O-])=O.[NH4+].[NH4+]
origin: CC[N+](CC)(CC)CC, cl: C1(N(CCC1)Cc1ccccc1)CO, target: O=C(O)[O-].[NH4+]
origin: C(CN(C)C)CCCCN(C)C, cl: c1c(CN2C(CO)CCC2)cc(F)cc1, target: C(CN(C)CCO)O
origin: C(C)CC[N+](CCC)(CCC)CCC, cl: C1CCCCC1N(C1CCCCC1)C, target: CN(CCO)CCO
origin: C(N(CC)CC)C, cl: c1(F)cc(CN2CCCC2)cccc1, target: C(CN(CCO)C)O
origin: C1CC[N+](CCCCC[N+]2(C)CCCC2)(C1)C, cl: c1cc(CN2CCCC2)ccc1, target: C(OCCN)CO
origin: C(CCCCCCCCCCCCCCC)C[N+](C)(C)C, cl: N(CC)(CC)CC, target: OC(CNCC(C)O)C
origin: C(CCC)CCCCCCCCCCCCC[N+](C)(C)C, cl: c1ccc(cc1)CN1C(CO)CCC1, target: C(O)CN(CCO)C
origin: C(C[N+]1(C)CCCC1)CCC[N+]1(CCCC1)C, cl: C1CCN(C1)Cc1ccccc1, target: C(CO)N(CC)CC
origin: C1C(C)(C)CCC[N+]1(C)C, cl: C(N(CC)CC)C, target: C(N)C(C)(C)O
origin: C12CC3(CC(CC(C3)C1)C2)[N+](C)(C)C, cl: C(C1CCCCC1)N(C1CCCCC1)C, target: C[N+](C)(C)C1CCCCC1
origin: c1[n+](cn(c1)C)CC, cl: Cc1n(C)c(C)c[n+]1C, target: c1ccncc1
origin: C(NCC(O)C)C(C)O, cl: C[N+](C)(C)CC, target: CCNCC
origin: C(CNCCC)C, cl: c1cc(CN2CCCC2)ccc1, target: C(C)NCC
origin: C(CC)N(CCC)CCC, cl: C(C)CN(CCC)CCC, target: C(NC(C)C)(C)C
origin: C(C)CCN(CCCC)CCCC, cl: c1cc(CN2CCCC2CO)ccc1, target: CC(NC(C)C)C
origin: C1[N+](CCCCC[N+]2(CCCC2)C)(C)CCC1, cl: c1(ccccc1)C[N+](C)(Cc1cccc(F)c1)C, target: CN(C)CCN(C)C
origin: C1CCC[N+](CCCCC[N+]2(C)CCCC2)(C)C1, cl: C1N(CCCC)CCCC1, target: CN(C)CCN(C)C
origin: C(C)CC[N+](CCC)(CCC)CCC, cl: C(c1cccc(F)c1)N1CCCC1, target: C1CCCCNC1
origin: C1N(C)CCN(CCCN(CCN(CC1)C)C)C, cl: c1cc(CN2C(CO)CCC2)ccc1, target: CC[n+]1cn(C)cc1
origin: C1CN(CCCN(C)CCN(C)CCCN1C)C, cl: N(CCC)(CCC)CCC, target: CCCC[n+]1cn(C)cc1
origin: C1CCC(N)CC1, cl: C(C)CN(CCC)CCC, target: CCN(CC)CC
origin: C(C)(N(C(C)C)CC)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C(C)N(CC)CC
origin: C1(C)(C)CC(C)(C)NCCNC(C)CC(C)(C)NC1, cl: C(C)N(CC)CC, target: C(CCCC)CCCCCCC[N+](C)(C)C
origin: N(CC)(CC)CC, cl: C1CCCC2N1CC1CC2C[N+]2(C)C1CCCC2, target: C(CCCCCCCC[N+](C)(C)C)CCCCCCC
origin: C1NCCN(C)C1, cl: C(C)CN(CCC)CCC, target: C1CCC(N)CC1
origin: C(NCCNCCNCCN)N, cl: c1n(C)c(C)[n+](CCCC)c1, target: C1CCCC(N)C1
origin: C(CCC[N+]1(C)CCCC1)[N+]1(C)CCCC1, cl: C1CCN(Cc2ccccc2F)C1, target: CCN(CC)CC
origin: C(CCN)CCNCCCN, cl: C1(N(C)C2CCCCC2)CCCCC1, target: CCN(CC)CC
origin: N(CC)(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C(NC(C)C)(C)C, cl: c1ccccc1C(O)C(N(C)C)C, target: CCN(CC)CC
origin: c1(C)n(C)c([n+](C)c1C)C, cl: C1(N(C2CCCCC2)C)CCCCC1, target: CCNCC
origin: C1CCC2C(CCC2)[N+](C1)(C)C, cl: N(CC)(CC)CC, target: C1C[N+](C)(C)CC(C)(C)C1
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: C(N(CC)CC)C, target: C1[N@@+](C)(CC)CCCC1(C)C
origin: C12C[N+](CC(C1)CN(C)C2)(C)C, cl: C([N+](CC)(CC)CC)C, target: CC[N@@+]1(C)[C@H](C)CCCC1
origin: C12C(CCCC1)CCC[N+]2(C)C, cl: c1[n+](Cc2ccccc2)c(n(C)c1)C, target: C1C(C)(C)C[N@@+]2(C(C)CCC2)CC1
origin: C1[N+](CCCC1)(C)CCCC[N+]1(CCCCC1)C, cl: n1(C)cc[n+](c1C)CCCC, target: C1CC2CCCC([N+]2(C)CC)C1
origin: C12CC3CC(CC(C3)(C1)C)[N+](C)(C)C, cl: c1ccc(C[N+](C)(Cc2ccc(F)cc2)C)c(F)c1, target: C1CCC2CCC1[N+]2(CC)C
origin: C1C2CCC(C[N+](C1)(CC)C)C2, cl: c1c(cccc1)C(O)C(NC)C, target: C1CC2[N+](C)(CC)C(CC2)C1
origin: C1CC2C(CCCC2)[N+](C1)(C)C, cl: CC(C(NC)C)c1ccccc1, target: C[N+]1(CC)CC2CCC(CC2)C1
origin: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, cl: C12CC3CC(CC(C2)C3)(C1)n1c[n+](cc1)C12CC3CC(C2)CC(C1)C3, target: C(C)[N+]1(C)CC2CCC(CC2)C1
origin: C12CC3CC(CC(C2)(C3)[N+](C)(C)C)C1, cl: N(CC)(CC)CC, target: C1[N+](C)(CC)C2CN(C)CC1C2
origin: C1CCCC([N+]1(CC)C)C, cl: C1CN(C(CO)C1)Cc1ccccc1, target: C[N+]1(C)CCCC2CC1CC2
origin: C1C2CC(C(C2)C1)[N+](C)(C)C, cl: c1ccc(C[N+](C)(C)Cc2ccccc2)cc1F, target: [N+]1(C)(C)CC2CC3CC1CC(C2)C3
origin: C12CC3CC(C1)CC(C3)[N+](C)(C)C2, cl: C1CCN(Cc2ccccc2F)C1, target: [C@@H]12C[C@@H](C[N@+]3(C)CCCC[C@@H]13)CC2
origin: C1CCC[N+](C)(C)C2CCCCC21, cl: C(C)CN(CCC)CCC, target: [N+]1(CC)(C)C2CC3CC(C2)CC(C1)C3
origin: CC1(C)CCC[N+](CC)(C)C1, cl: C1CCCCC1N(C1CCCCC1)C, target: [N+]1(C)(C)C2CC3CC(C2)CC(C3)C1
origin: C(C)[N+]1(C2CCCCC2CCC1)CC, cl: C(C(NC)C)(O)c1ccccc1, target: C1C2CC3CC1CC(C[N+]2(CC)C)C3
origin: N(C)(CCO)CCO, cl: c1cccc(c1)C(O)C(NC)C, target: C(CN(CCO)C)O
origin: N(CCC)(CCC)CCC, cl: c1(c(C)n(c(C)[n+]1C)C)C, target: C(C)N(CCO)CCO
origin: CC(N(C(C)C)CC)C, cl: CC(N(CC)CC)C, target: C(C)[N+](CC)(CC)CC
origin: C(C)(N)CCNCC, cl: N1(Cc2ccccc2)CCCCC1CO, target: C1CC(CN)CCN1
origin: C(C)(N)CCN, cl: C(CC)C[n+]1c(C)n(C)cc1, target: c1cccnc1
origin: C(C1CC(C)C[N+](C)(C)C1)C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C1CC2CC([N+](CC)(CC)C1)C2(C)C
origin: C(C)CN(CCC)CCC, cl: C(c1ccccc1)[N+](C)(C)Cc1ccccc1, target: C(CN(CCO)CCN(CCO)CCO)O
origin: C1CCCC2CC[N+](C)(C)CC21, cl: C(N(CC)CC)C, target: C12CCCC(C1[N+](C)(C)C)CCC2
origin: C12CCCCC2CCC[N+](C)(C)C1, cl: C(N(CC)CC)C, target: C1[N+]2(CCCC2)CC2CCC1CC2
origin: [N+]1(CCCCC[N+]2(CCCC2)C)(CCCC1)C, cl: C1CC(CO)N(Cc2cccc(F)c2)C1, target: C[N+]1(C)CC2C3CCC(C=C3)C2C1
