origin: C(c1ccccc1)N1CCCC1CO, cl: CC(NC(C)C)C, target: C(c1ccccc1)N1CCC[C@H]1CO
origin: C[N+](C)(C)21C3CC(C4CCCC33CC))1CCCC2, cl: C(N(CC)CCCCCCCCCCCCCC)), target: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2
origin: C(=N)(N(C)C)C(C)C, cl: CN(C)C, target: C(=N)(N(C)C)N(C)C
origin: CCC[N+](CCC)(CCC)CCC, cl: C(C)N(CC)CC, target: CCC[N+](CCC)(CCC)CCC
origin: C1N2CCN(CC))CC, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C1N2CCN(CC2)C1
origin: CC[N+](CC)(CC)CC, cl: c1cccc(C[2+](Cc2ccccc2F)ccc1, target: CC[N+](CC)(CC)CC
origin: C(N(CC)CC)C, cl: OCC[N+](C)(C)OCO, target: C(N(CC)CC)C
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: c1nccc(N(C)C)c1, cl: C(C)C[N+](CCC)(CCC)CCC, target: c1nccc(N(C)C)c1
origin: c1([C@@H]+](ccccc2)(c)cc1)C11CCCC1, cl: CCCN(CCC)CCC, target: c1([C@@H](O)[C@H](C)NC)ccccc1
origin: C(CC)N(CCC)CCC, cl: c1ccc(CN2CCCC2CO)cc1, target: C(CC)N(CCC)CCC
origin: C(N(CC)CCCCCCCCCCCCC))C, cl: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2, target: C(N(CC)CC)C
origin: [C@@H]12[n+]2ccccC2)ccc(((c)cc[)+](C)C)c1, cl: c1cc([C@H(c]]c(1)n(C)cccC))C, target: [C@@H]12[C@@H]3CN4[C@H]([C@H](C[N+]1(C)CCCC2)C3)CCCC4
origin: C(N(CC)CC)C, cl: C(C)N(CC)CC, target: C(N(CC)CC)CO
origin: CCCN(CCC)CCC, cl: C1N(Cc2cc(c)ccC))CCC1, target: CCCN(CCC)CCC
origin: C([N+]1(C)C(C)CCCC1)), cl: C(N(CCO)CCO)C, target: C([N+]1(C)CCCC1)CCC
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2, target: C1C(N(C)C2CCCCC2)CCCC1
origin: CN(C1CCCCC1)C1CCCCC1, cl: C1CCNCCC1, target: CN(C1CCCCC1)C1CCCCC1
origin: CCN(CC)CC, cl: C(C)C[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: CC(N(CC)CCC, cl: c1cc(CN2[C)]c(c)ccc)c(, target: CC(N(CC)C(C)C)C
origin: [C@H]12CC(CCCC))ccc(11C(C)C, cl: Cn1cc[n+](CcCc2Ccccc22cccc2, target: [C@H]12CCCC[N+]1(C)C[C@@H]1C[C@H]2CN2CCCC[C@@H]12
origin: C(C)[N+](CC)(CC)CC, cl: C1CC(N(C)C2CCCCC2)CCC1, target: C(C)[N+](CC)(CC)CC
origin: C1CCC[C@H2+]2ccccc1, cl: N(CCC)(CCC)CCC, target: C1CCC[C@H]2[C@H]3C[C@@H](CN12)[C@@H]1[N+](C)(C3)CCCC1
origin: CC[N+](CC)(CC)CC, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: c1(F)ccc(C[2+](C)2CCCC2)ccc1, cl: Cn1c(C)[n+](C)c(C)c1C, target: c1(F)ccc(C[N+](C)(Cc2ccc(F)cc2)C)cc1
origin: C(C)N(CC)CC, cl: C12CC3CC(CC([1+](C)(C)C)CC2)3CCCC[N+]1(C)C, target: C(C)N(CC)CC
origin: C(N(CC)CC)C, cl: C1NCCCCC1, target: C(N(CC)CC)C
origin: C(N(CC)CC)C, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: C(CO)N(CCO)C, cl: [N+](CC)(CC)(CC)CC, target: C(CO)N(CCO)C
origin: CN(C(N(C)C)=N)C, cl: c1cccc(CNCC(C)C2)c1, target: CN(C(N(C)C)=N)C
origin: c1cccc([C+](C)2CCCC(CO(C)C2ccccc2)C)c1, cl: C(C)[N+](CC)(CC)CC, target: c1cccc([C@@H](O)[C@@H](NC)C)c1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(C)N(CC)CC, target: C1CCC(N(C)C2CCCCC2)CC1
origin: C1CCNCCC1, cl: [N+]12(C)CCCCC1C1CC3CC2CCN[C+]1(C)C3, target: C1CCNCCC1
origin: CCC[N+](CCC)(CCC)CCC, cl: [N+](Cc1ccccc1)(Cc1ccccc1F(C)C, target: CCC[N+](CCC)(CCC)CCC
origin: c1c(CN(C)C)cccc1, cl: c1n(C)c(C)[n+](CC)c1, target: c1c(CN(C)C)cccc1
origin: N(CC)(CC)CC, cl: CCCCCC[n+]1c(n)c(C)c1C, target: N(CC)(CC)CC
origin: c1n(C)c(C)[n+](C)21CCCCC, cl: CCCN(CCC)CCC, target: c1n(C)c(C)[n+](Cc2ccccc2)c1
origin: CCN(CC)CC, cl: C(CC)N(CCC)CCC, target: CCN(CC)CC
origin: c1cccc([C+](C)2CCCC(CO(C)C2ccccc2)C)c1, cl: C1CCCNCC1, target: c1cccc([C@H]([C@@H](NC)C)O)c1
origin: C(O)(C)CNCC(C)O, cl: c1cc(CN2[C)](()CC)CCc[c+](C)ccc, target: C(O)(C)CNCC(O)C
origin: C1N2[C@H]+]1Cc(ccccc1)CC2, cl: CCN(CC)CC, target: C1N2[C@H]([C@@H]3C[N+]4(C)CCCC[C@@H]4[C@@H](C3)C2)CCC1
origin: C(N(CC)CC)C, cl: c1(C)[n+](C)c(C)c(C)n1C, target: C(N(CC)CC)C
origin: N(CC)(CC)CC, cl: C(N(CC)CCCCCCCCCCC)C, target: N(CC)(CC)CC
origin: C(N(CC)CCCCCCCCCCCCC))C, cl: CCN(C(C)C)C(C)C, target: C(N(CC)CC)C
origin: C(N(CC)CC)C, cl: CCC[N+](CCC)(CCC)CCC, target: C(N(CC)CC)C
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: [C@H]([C@](c)ccc1n(c)c1, target: C1C(N(C2CCCCC2)C)CCCC1
origin: Cn1c[n+](C)c(C)c1C, cl: c1cccc(CN2CCCC2)O1, target: Cn1c[n+](Cc2ccccc2)cc1
origin: C1CCCCC1N(C1CCCCC1)C, cl: C1CCCCCN1, target: C1CCCCC1N
origin: C1C2CC3CC(C1[C+](C))CN(CC)C3)C2, cl: C1CN(Cc2ccccc2FCC)1, target: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3
origin: c1c(F)cccC1CNNCCC11O, cl: OCCN(CC)CC, target: c1c(F)cccc1CN1CCCC1
origin: C(N(CC)CC)C, cl: CN(C)c1ccncc1, target: C(N(CC)CC)C
origin: C1(N(C)C2CCCCC2)CCCCC1, cl: C(N(CCO)CCO)CO, target: C1(N(C)C2CCCCC2)CCCCC1
origin: [N+]12(C)C(3CCCCC1C1CCCCC1)CCCC2, cl: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2, target: [N+]12(C)[C@@H]([C@H]3C[C@H]([C@@H]4CCCCN4C3)C1)CCCC2
origin: CN(C)Cc1ccccc1, cl: N(C)(C)C(N(C)C)ONO, target: CN(C)Cc1ccccc1
origin: N(CC)(CC)CC, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C1CCNCCC1, cl: N([C@H]([(c)ccccc1)(1)C, target: C1CCNCCC1
origin: CN(C)c1ccccc1, cl: N(C)(C)C, target: CN(C)c1ccncc1
origin: C(N(CC)CC)C, cl: N(CCC)(CCC)CCC, target: C(N(CC)CC)C
origin: OC[C@H]1N(C)C, cl: c1cc(N(C)C)ccn1, target: OC[C@H]1N(Cc2ccccc2)CCC1
origin: CCN(CC)CC, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: n1(C)c(C)[n+](C)c(C)c1C, cl: C1CCCNCC1, target: n1(C)c(C)[n+](C)c(C)c1C
origin: O1CCN2CCOCCOCCN(CCOCCOCC2)CCOCCO, cl: CCN(CC)CC, target: O1CCN2CCOCCOCCN(CCOCCOCC2)CCOCC1
origin: C([C@H]1N(C)C)cccc11, cl: CN(C)C, target: C([C@H]1N(Cc2cc(F)ccc2)CCC1)O
origin: C(CN(CCO)CCO)C, cl: CCN(CC)CC, target: C(CN(CCO)CCO)N(CCO)CCO
origin: CCN(CC)CC, cl: C(C[n+]1ccn(C)c1)C, target: CCN(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: CCN(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C12CC3CC([1+](C))Cn(c(cccc))C1)CC, cl: C1CCCCC1N(C1CCCCC1)C, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C1CC[C@H]+]2ccccc1)C(, cl: c1cc(CC2N(CC)C(C)C2ccccc2)CNNC, target: C1CC[C@H]2[C@@H]3C[N+]4(C)[C@@H]([C@H](CN2C1)C3)CCCC4
origin: OCCN(CCO)CC, cl: CCN(CC)CC, target: OCCN(CCO)CCO
origin: C(NCCC)CC, cl: C(C)N(CC)CC, target: C(NCCC)CC
origin: C(CN(CCC)CCC)C, cl: C(C)[N+](CC)(CC)CC, target: C(CN(CCC)CCC)C
origin: c1ccc([C@](C)2cCc(c)cc2)cc1, cl: N(CC)(CC)CC, target: c1ccc([C@H]([C@@H](N(C)C)C)O)cc1
origin: [C@H]12[C+]2ccccc2)CC(()(C)C)Cc(c1cccc1, cl: N(CC)(CC)CC, target: [C@H]12[C@H]3C[C@@H](CN1CCCC2)[C@@H]1[N+](C)(CCCC1)C3
origin: CN(C1CCCCC1)C1CCCCC1, cl: N=C(N(C)C)N(C)C, target: CN(C1CCCCC1)C1CCCCC1
origin: C1CCCC(N)C1, cl: C(C[N+](CCC)(CCC)CCC)C, target: C1CCCC(N)C1
origin: N1(Cc2ccccc2)CCCC1CO, cl: CC[N+](CC)(CC)CC, target: N1(Cc2ccccc2)CCC[C@H]1CO
origin: CCN(CC)CC, cl: CN(C)C, target: CCN(CC)CC
origin: C1CCC(N(C)C2CCCCC2)CC1, cl: C([N+](CCCC(CCC)CCC)C)C, target: C1CCC(N(C2CCCCC2)C)CC1
origin: c1(C)[n+](C)c(C)c(C)n1C, cl: CCN(CC)CC, target: c1(C)[n+](C)c(C)c(C)n1C
origin: [C@H](c1ccccc1)(1)c, cl: N(CCC)CCC, target: [C@H](c1ccccc1)([C@H](C)NC)O
origin: CC[N+](CC)(CC)CC, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1CN(Cc2cccF(F)cc2)CC1, cl: C(C)[N+](CC)(CC)CC, target: C1CN(Cc2ccccc2)CC1
origin: CCN(CC)CC, cl: OC[C@@H]1](C)1cccccc1, target: CCN(CC)CC
origin: C(N(CC)CCCCCCCCCCCCC))C, cl: C(c1ccccc1)N1C(CO)CCC1, target: C(N(CC)CC)C
origin: C[N+](CCO)(CCC)CC, cl: C(CO)N(CCOCC)C, target: C[N+](CCO)(CCO)CCO
origin: c1(N(C)C)ccccc1, cl: N(CC)(CC)CC, target: c1(N(C)C)ccncc1
origin: c1cccc([C+](Cc2ccccc2))CCC, cl: N(C(N(C)C)=N(()))CCCCN(C)C, target: c1cccc([C@@H](O)[C@H](C)NC)c1
origin: C1(N)CCCCC1, cl: C1NCCN(Cc2ccccc2)C1Cc, target: C1(N)CCCCC1
origin: CCN(CC)CC, cl: c1([C@H](](n)ccc1)c(c)cc1, target: CCN(CC)CC
origin: c1(CN2[C@](C)C)Ccccccc1)(, cl: CCN(CC)CC, target: c1(CN2[C@H](CO)CCC2)ccccc1
origin: C1[C@H]2C2nNccccc1C(2)CCCC2, cl: C(N(CC)CCCC)C, target: C1[C@H]2CN3[C@H]([C@@H]1C[N+]1(C)[C@@H]2CCCC1)CCCC3
origin: C(C)N(CC)CC, cl: C(C)N(CC)CC, target: C(C)N(CC)CC
origin: N(CC)(CC)CC, cl: c1ccc(F)c(CN2CCCC2)c1, target: N(CC)(CC)CC
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C1[C@@H]2]2C3CC(C4(CCCC4)CC4C3CCC2)CC, cl: [C@@H](NCC(()(c)ccccc))1)C, target: C1[C@@H]2[C@H]3C[C@H]([C@@H]4CCCCN4C3)C[N+]2(C)CCC1
origin: C1[C@@H]2]2C3CC(CN(C1)C22CCCC1)CCCC4, cl: C1CCCN1Cc1ccccc1, target: C1[C@@H]2C[C@@H](C[N+]3(C)CCCC[C@H]23)[C@H]2N1CCCC2
origin: C(CC)[N+]((C)CC(())C)CC, cl: CCN(CC)CC, target: C(CC)[N+](CCC)(CCC)CCC
origin: CCN(CC)CC, cl: C1CCN(Cc2ccccc2FCC1, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C([N+](CCC)(CCC)CCC)CC, target: CCN(CC)CC
origin: N([C@H]([(c1]cccc11)C, cl: c1(F)cccc(C[2+](C)2CCCC2)cc1, target: N([C@H]([C@@H](c1ccccc1)O)C)C
origin: CCN(CC)CC, cl: C1(N(C2CCCCC2)C)CCCCC1, target: CCN(CC)CC
origin: C(c1c(F)cccc1)N1C(CO)CCC1, cl: N(C)(C)C, target: C(c1c(F)cccc1)[N+](C)(Cc1ccccc1F)C
origin: CC(N(CC)CCCCCCC(())1)C, cl: C(O)[C@H]+](C)11cCcccc1, target: CC(N(CC)C(C)C)C
origin: C(CO)N(CC)CC, cl: C1[C@@H]2]2ccccc1CCC(C1(C)C2(CcCc(c)cc1)C2)C, target: C(CO)N(CC)CC
origin: C(C)N(CC)CC, cl: N(C(C)C)((())C)(())ccccc1, target: C(C)N(CC)CC
origin: c1(CN([C@](C)C)C)ccccc1, cl: C(C)N(CC)CC, target: c1(CN([C@@H](C)[C@@H](c2ccccc2)O)C)ccccc1
origin: C(N(CC)CCCCCCCC(C)C)C, cl: C1(N)CCCCC1, target: C(N(CC)CC)C
origin: C(N(CCC)CCC)C, cl: CCN(CC)CC, target: C(N(CCC)CCC)CC
origin: CCN(CC)CC, cl: C1CN(Cc2ccccc2FCC)11C, target: CCN(CC)CC
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: CC[N+](CC)(CC)CC, cl: N(C)(C)C, target: CC[N+](CC)(CC)CC
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: CCN(CC)CC, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C([N+](CC)(CC)CC)C, cl: C(CNCC(C)C)CC, target: C([N+](CC)(CC)CC)C
origin: C(CC)N(CCC)CCC, cl: N(CC(C)O)CCOCCOCCOOC, target: C(CC)N(CCC)CCC
origin: CC[N+](CC)(CC)CC, cl: C1CC2C3CC(C4NCCCC4)C[N+]2(C)CC1, target: CC[N+](CC)(CC)CC
origin: [C@H]12C[(+]2(C)C(C3)CCC((1)CC))3cCc(c)cc1)C, cl: C1C(N(C2CCCCC2)C)CCC11, target: [C@H]12C[C@H]([C@H]3N(C1)CCCC3)C[N+]1(C)[C@@H]2CCCC1
origin: C(N(CC)CCCCCCCCCCC)), cl: C(N(CC)CC)C, target: C(N(CC)CC)C
origin: CN(C)C, cl: C(CC)N(CCC)CCC, target: CN(C)C
origin: CCN(CC)CC, cl: CN(C1CCCCC1)C1CCCCC1, target: CCN(CC)CC
origin: C(C)[n+]1cnCCCC, cl: CN(C)C, target: C(C)[n+]1c(C)n(C)cc1
origin: C1CC(N(C2CCCCC2)C)CC11, cl: C1CCCCNC1, target: C1CC(N(C2CCCCC2)C)CCC1
origin: CCN(CC)CC, cl: C1[C@@H]2]2C(CCCC1)C2cccccc, target: CCN(CC)CC
origin: C(C[N+](C)CCCCCC)CC, cl: c1cc(CN2C(CO)CCC2)ccc1, target: C(C[N+](CCC)(CCC)CCC)C
origin: CCN(CC)CC, cl: C(N(CC)CCCCCCCCC(C)C)C, target: CCN(CC)CC
origin: C1CC[C@@H(+]2CC(()(C)C22CCNCC2CCC))c1, cl: C([N+](CC(()(C)C)C)C(C)C, target: C1CC[C@@H]2N(C1)C[C@H]1[C@@H]3[N+](C)(CCCC3)C[C@@H]2C1
origin: c1c([C@H]c]2c(c)c(C[c+](c)c(C)c2C)n(C)cc1)C, cl: C1C(N(C)C2CCCCC2)CCCC1, target: c1c([C@H]([C@@H](NC)C)O)cccc1
origin: O[C@@H](c(c)c11)C, cl: [C@H]([C@](c)ccc1n(c)c1, target: O[C@@H](c1ccccc1)[C@@H](NC)C
origin: N(CC)(CC)CC, cl: C1C(N(C)C2CCCCC2)CCCC1, target: N(CC)(CC)CC
origin: C(C)C[N+](CCC)(CCC)CCC, cl: C([C@H]1N(C)C(c)cccc1)C, target: C(C)C[N+](CCC)(CCC)CCC
origin: Fc1ccccc1CN1CCCC1, cl: C(N(CC)CC)C, target: Fc1ccccc1C[N+](C)(C)Cc1c(F)cccc1
origin: C1CCC(N(C)C2CCCCC2)CC1, cl: CCN(CC)CC, target: C1CCC(N(C)C2CCCCC2)CC1
origin: Cn1cc[n+](CCCc)cC, cl: C1CCC(N(C2CCCCC2)C)CC1, target: Cn1cc[n+](CC)c1C
origin: C1CCCN1Cc1c(c)ccc1, cl: C(CC)N(CCC)CCC, target: C1CCCN1Cc1ccccc1
origin: C(C)N(CC)CC, cl: [C@@H]1(CCnnccc1)(, target: C(C)N(CC)CC
origin: C(CN(CCC)CCC)C, cl: C(CCC)[n+]1cc(()ccc2C)ccC1, target: C(CN(CCC)CCC)C
origin: CCCN(CCC)CCC, cl: [C@H](O)(c(cccc1)(1cccccc1)c, target: CCCN(CCC)CCC
origin: CCCN(CCC)CCC, cl: C(N(CCC)CCC)C, target: CCCN(CCC)CCC
origin: C[N+]1(CCCC)CCCC, cl: C(C)C[N+](CCC)(CCC)CCC, target: C[N+]1(CCCC)CCCC1
origin: CN(C)C, cl: CCN(CC)CC, target: CN(C)C
origin: C1CCN(Cc2ccccc2)C1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C1CCN(Cc2cccc(F)c2)C1
origin: C1C[C@@H]+](Cc2ccccc2)C((c)cc1)C, cl: CCN(CC)CC, target: C1C[C@@H](CO)N(Cc2ccccc2)C1
origin: C(N(CC)CC)C, cl: CCCN(CCC)CCC, target: C(N(CC)CC)C
origin: CCC[N+](CCC)(CCC)CCC, cl: C1CCCN1Cc1ccccc1F, target: CCC[N+](CCC)(CCC)CCC
origin: c1c(CN2[C)]CCCC2Occccc1, cl: C(N(CC)CC)C, target: c1c(CN2[C@H](CO)CCC2)cccc1
origin: CCN(CC)CC, cl: C(C[N+](C)CCCCCC)NCCCCCCCNNCCCCCCC, target: CCN(CC)CC
origin: C(CC)C[n+]1ccn(C)c1, cl: c1ccccc1CN1CCCC1, target: C(CC)C[n+]1ccn(C)c1
origin: CCN(CC)CC, cl: c1ccccc1[(+]1(C)CCCCC(C)CCc, target: CCN(CC)CC
origin: c1cccc(C[n+]2cn(C)cc2)c1, cl: c1cc(C[N+]2(C)C(COCCCCCC2Cc[c+](c)cc2)Ccccc, target: c1cccc(C[n+]2cn(C)cc2)c1
origin: C1CCCN2[C+](C)4CC(C1CCNCC2)C3, cl: CCN(CC)CC, target: C1CCCN2[C@@H]1[C@H]1C[C@@H](C2)[C@H]2CCCC[N+]2(C)C1
origin: OC[C@H]1N(CcCcccc1)(C)c)c1cccc1, cl: CCCN(CCC)CCC, target: OC[C@H]1N(Cc2ccccc2)CCC1
origin: C(C)N(CC)CC, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: N12CCOCCONCCNCCC2CCOCCOCC2)CC, cl: CN(C(=N)N(C)C)C, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(N(CC)CC)C, target: C1CCC(N(C2CCCCC2)C)CC1
origin: c1ccccc1C[1+](Cc1c(C)cccc1)C, cl: C(N(CCO)CCO)C, target: c1ccccc1CC1CNCCN1Cc1ccccc1
origin: C(C)N(CC)CC, cl: C1CC[N+]2(C)C(33CCCCN4CC(C3)C2)C1, target: C(C)N(CC)CC
origin: n1(C)cc[n+](CCCCCc)c1, cl: C1C(N(C2CCCCC2)C)CCCC1, target: n1(C)cc[n+](CCCC)c1C
origin: C(N1CCC[C+]1(C)CCCC))C, cl: n1(C)c(C)[n+](C)c(C)c1C, target: C(N1CCC[C@H]1CO)c1ccccc1
origin: n1(C)cc[n+](CCCC)c1, cl: C1[C@H]2C2C((C)CC1Cc2ccccc2)CCC, target: n1(C)cc[n+](CCCCCC)c1C
origin: C(c1cc(F)ccc1)N1CCCC1, cl: Cn1cc[n+](CC)c1C, target: C(c1cc(F)ccc1)N1CCCC1
origin: c1nccc(N(C)C)c1, cl: C(N(CC)CC)C, target: c1nccc(N(C)C)c1
origin: CCN(CC)CC, cl: C(C[N+](C)(C)C)CCCCCNCC, target: CCN(CC)CC
origin: c1([C@@H]+]2ccccc2)(c)cnCC, cl: C(C)N(CC)CC, target: c1([C@@H](O)[C@H](C)NC)ccccc1
origin: N(CC)(CC)CC, cl: N(CC)(CC)CC, target: N(CC)(CC)CC
origin: N(CC)(CC)CC, cl: C1CC(N(C)C2CCCCC2)CCC1, target: N(CC)(CC)CC
origin: C(N(CC)CC)C, cl: C(C)CN(CCC)CC, target: C(N(CC)CC)C
origin: c1(CN2CCCC2)ccccc1, cl: c1cccc(CN2CCCC2CO)c1, target: c1(CN2CCCCCC2)ccccc1
origin: C1OCCOCCN2CCOCCOCCN(CCOCCOCC2)C1, cl: C1OCCOCCN2CCOCCOCCN(CCOCCOCC2)C1, target: C1OCCOCCN2CCOCCOCCN(CCOCCOCC2)C1
origin: C(N(CC)CC)C, cl: C(O)CN(C)O(C)OC, target: C(N(CC)CC)C
origin: C(CN(CCO)CCO)O, cl: C(C)N(CC)CC, target: C(CN(CCO)CCN(CCO)CCO)O
origin: CC(C)N(CC)CC, cl: C1CCN(Cc2ccccc2)C1, target: CC(C)N(CC)C(C)C
origin: C1NCCCCC1, cl: CN(C)C(N(C)C)NNCC, target: C1NCCCCC1
origin: C(C)N(CC)CC, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C(C)N(CC)CC, cl: C1(N)CCCCC1, target: C(C)N(CC)CC
origin: C(N(CCC)CCC)C, cl: C1C2CC3CC1[[+]1(CCCC1)C2, target: C(N(CCC)CCC)CC
origin: N(C)(C)C, cl: CCN(CC)CC, target: N(C)(C)C
origin: N(C)(C)C, cl: N(CC)(CC)CC, target: N(C)(C)C
origin: C(N1CCCC1)O1CcCccc1, cl: CC[N+](CC)(CC)CC, target: C(N1CCCC1)c1ccccc1
origin: C(N(CC)CC)C, cl: C([N+](CC(()(C)C)C)C, target: C(N(CC)CC)C
origin: C(C)[n+]1c(C)n(C)cc1, cl: CCCC[n+]1cn(C)cc1, target: C(C)[n+]1ccn(C)c1C
origin: c1c(F)cc(C[2+](C)2CCCCO)Occc1, cl: N(C)(C1CCCCC1)C1CCCCC1, target: c1c(F)cc(C[N+](C)(Cc2cc(F)ccc2)C)cc1
origin: Fc1cc(CN2CCCC2)ccc1, cl: C12[N+](CC(())C)CC(CCCC))CCCC1C, target: Fc1cc(CN2CCC[C@H]2CO)ccc1
origin: N(CC)(CC)CC, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C1CCCCCN1, cl: CC[N+](CC)(CC)CC, target: C1CCCCCN1
origin: C(CN(CCO)CCO)O, cl: C12CC3CC(C1)NCCCC[[+]]2CCCC1C, target: C(CN(CCO)CCO)O
origin: C(C)[N+](CC)(CC)CC, cl: C(C)N(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C([N+](CC())C)OCCOOCO, cl: OC(Cn1cc[n+](C)c1C)O, target: C([N+](CCO)(CCO)C)CO
origin: C(C)N(CC)CC, cl: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2, target: C(C)N(CC)CC
origin: C1CCN(Cc2ccccc2FCC1, cl: C(C)N(CC)CC, target: C1CCN(Cc2ccccc2)[C@@H]1CO
origin: c1cccc(CN2CCCC2)O1, cl: c1(C[N+](C)(C)Cc2ccccc2)ccccc1, target: c1cccc(CN2CCCC2)c1
origin: C1CCN2C[C+]4CC(CCCCN)((2)C1)C2, cl: C(C)CN(CCC)CCC, target: C1CCN2C[C@@H]3C[C@@H](C[N+]4(C)CCCC[C@H]34)[C@@H]2C1
origin: C(CC)N(CCC)CCC, cl: C1COCCN2CCOCCOCCN(CCOC)OCC2CCOCCOC12CCOCCOCC2, target: C(CC)N(CCC)CCC
origin: [N+](CCO)(CCO)(C)C, cl: N12[C@H](]3Cc(ccccc4)CC1)CC2Cc(c+ccc2)C1, target: [N+](CCO)(CCO)(C)CCO
origin: C(N(CCC)CCC)C, cl: N(C)[C@H]c]ccc11(())(C)1cccccc1, target: C(N(CCC)CCC)CC
origin: C12CC3CC(C1(C)C)[N+](C)(C)C2(C))CC, cl: C1CC[N+]2(C)C(33CC4C4CCCCN4CCCC4)C1CCCC2, target: C12CC3CC(CC(C1)C3)C[N+]2(C)CC
origin: C1OCCN2CCOCCOCCN(CCOCC)CC2)CCO, cl: c1(CN2CCCC2)OcccccFF, target: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2
origin: c1cccc(CN2CCCC2)O1, cl: C(N(CC)CC)C, target: c1cccc(CN2[C@H](CO)CCC2)c1
