origin: c1c[n+](CCCCCC[n+]2cccccc1, cl: Cn1cc[n+](CC)c1, target: c1c[n+](CCCC)cn1C
origin: C1CCCC(N(C)C)CCCC1, cl: N(CC)(CC)CC, target: C1CCCC(N(C)C2CCCCC2)C1
origin: CC[N+](CC)(CC)CCCC1, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(N(CC)CC)(C)CCCC1, cl: CC[n+]1c(n(C)cc1)C, target: C(N(CC)CC)C
origin: CN(C)C, cl: Cc1n(C)c(C)c(C)[n+]1C, target: CN(C)C
origin: C(C)CN(CCCCCC1)CCCCCC1, cl: C1N(Cc2cccc(F)c2)CCCC1, target: C(C)CN(CCC)CCC
origin: C(c1ccccc2)(C)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C(c1ccccc1)[N@+]1(C)CCC[C@H]1CO
origin: OCCN(CCO)CCCC1, cl: N([C@@H](C)C)(C)C)(C)C, target: OCCN(CCO)CCO
origin: c1([C@H](C)(C)C)CCCC1, cl: CCN(CC)CC, target: c1([C@H]([C@H](C)NC)O)ccccc1
origin: CCCN(CCC)CCCCC, cl: n1(C)cc[n+](c1C)CCCC, target: CCCN(CCC)CCC
origin: OC(CNCC(C)C)n(C)c1, cl: C(N(CC)CC)C, target: OC(CNCC(C)O)C
origin: c1[n+](Ccccccc2)c1, cl: c1cc(CN2[NH3+]CCC(CC3)C)Cc2cccc1, target: c1[n+](Cc2ccccc2)ccn1C
origin: C1C(N)CCCC2, cl: C(N(CC)CC)C, target: C1C(N)CCCC1
origin: N1CCCCCC1CCCCC1)CCC, cl: CN(Cc1ccccc1)C, target: N1CCCCCC1
origin: Cn1c(C)[n+](CCCCCCCC[n+]1ccccc1, cl: C(N(CC)CC)C, target: Cn1c(C)[n+](CC)cc1
origin: c1n(C)c(C)cc1, cl: C(C)N(CC)CCO, target: c1n(C)c(C)[n+](CCCCCC)c1
origin: [C@H]12N(CCCCCCC3)CC1C, cl: C(CN1CCNCC1)C, target: [C@H]12N(CCCC1)C[C@H]1[C@@H]3[N+](C)(CCCC3)C[C@@H]2C1
origin: C1N2C[C@H(C)(C)C(C)CC2C(C)C1CCCCC1CCCCC2, cl: C1C(N(C)C2CCCCC2)CCCC1, target: C1N2C[C@H]3[C@@H]4[N+](C)(CCCC4)C[C@@H]([C@@H]2CCC1)C3
origin: C1[C@H]2[N+](C)(CCC(C)CC2)CC1, cl: C([N+](CCC)(CCC)CCC)C, target: C1[C@H]2[C@@H]3[N+](C)(CCCC3)C[C@@H]([C@@H]3CCCCN13)C2
origin: C(C)N(CC)CCCC1, cl: CN(C)C, target: C(C)N(CC)CC
origin: c1cccc(CN2CCCCCC2)CC, cl: CCCC[n+]1ccn(c1)C, target: c1cccc(CN2CCCC2)c1
origin: n1(C)c[n+](C)c1, cl: C(C)N(CC)CCO, target: n1(C)c[n+](CCCC)cc1
origin: CCN(CC)CCCCCCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: CC[n+]1ccccc1, cl: C1CN2[C@HN+](C)(C1)CC1CCCCN1C2, target: CC[n+]1ccn(C)c1C
origin: CCN(CC)CCCC1, cl: C([N+](CC)(CC)CC)C, target: CCN(CC)CC
origin: C1CCCCC1N(C)CC[N+](C)(C)C, cl: C1CCCC(N(C)C2CCCCC2)CC1, target: C1CCCCC1N
origin: c1(C[N+](CC)(C)C)CC, cl: C(C)[N+](CC)(C)CC, target: c1(C[N+](C)(Cc2ccccc2F)C)ccccc1F
origin: c1cc(CN(C)CCCC2)CCCC1, cl: c1c(CN2CCCC2)cccc1, target: c1cc(CN(C)C)ccc1
origin: CCN(CC)CCCCC[n+]1ccccc1, cl: C1CCCN1Cc1ccccc1, target: CCN(CC)CC
origin: C(N(CC)CCCCCCCCCCC)cc1)c1, cl: OCCN(CCO)C, target: C(N(CC)CC)C
origin: [C@H]12[C+](CC2CCCCCCCCC1)CCCCCCCC[N+]2(CCCCCCC[N+]1(C)C)CC(C)C1, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: [C@H]12[C@H]3CCCC[N+]3(C)C[C@H](C1)[C@H]1N(CCCC1)C2
origin: C1CCC[N+]1(C)CCCCCCC1, cl: CCN(CC)CC, target: C1CCC[N+]2(C)C[C@@H]3C[C@@H](CN4[C@H]3CCCC4)[C@@H]12
origin: N(CC)(CC)CCCCCCC[N+](CC)(C)C, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C(C[N+](C)(C)C)C(C)CC1, cl: CCCCNCCCC, target: C(C[N+](CCC)(CCC)CCC)C
origin: C(c1ccccc1)c1, cl: c1ccc(CN2C(CO)CCC2)ccc1F, target: C(c1ccccc1)[n+]1c(C)n(C)cc1
origin: N(CC)(CC)C2, cl: CC(O)CNCC(C)O, target: N(CC)(CC)CC
origin: CN(C1CCCCC2)CCCC1, cl: C(CC)N(CCC)CCC, target: CN(C1CCCCC1)C1CCCCC1
origin: C(C[N+](CC)(C)C)(C)CCCC1, cl: C1CC(N(C)C2CCCCC2)CCC1, target: C(C[N+](CCC)(CCC)CCC)C
origin: C1C2CC3CC(CC1C[N+](C)(CC)CCC2)CCCCCC1, cl: c1(C[N+](Cc2ccccc2)(C)C)cccc1, target: C1C2CC3CC1CC(C3)C[N+]2(CC)C
origin: CCNCC, cl: CCN(CC)CC, target: CCNCC
origin: c1cccc([C+]1(C)CCCCCCCCC[n+](CCCCCccccc2)CCCCC[n+]1ccccc1, cl: c1ccc(CN2C(CO)CCC2)ccc1, target: c1cccc([C@H](O)[C@@H](NC)C)c1
origin: CCN(CC)CCCCC[N+](C)(C)CCCCC1, cl: OCC[N+](CCO)(C)CCO, target: CCN(CC)CC
origin: C1CC(N(C)CCC2)CCC1, cl: [N+]12(C)CCCCC2C2CC(C3N(CCCC3)C1)C2, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C1CC(N(C)C)CCC(C)CCCC1, cl: CCN(CC)CC, target: C1CC(N(C)C2CCCCC2)CCC1
origin: CCN(CC)CCC([N+](C)(C)C)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: [n+]1(CCCCCCCCCCCCCCCCCCC[n+]1ccccc1, cl: N(CC)(CC)CC, target: [n+]1(CCCC)cc(C)c(C)cc1
origin: C(N1CCCC1)CCCCCCCCCCC[n+]1c(C)c2C, cl: CN(c1ccncc1)C, target: C(N1CCCC1)c1cccc(F)c1
origin: C(C)N(CC)CCCCCCC[N+]2(C)CCCC2, cl: C(c1ccccc1)(C)N(C(C)C)C, target: C(C)N(CC)CC
origin: c1ccc([C@]1(C)CCCC(C)CCCC[N+]1(C)CCCCC2, cl: N(CC)(CC)CC, target: c1ccc([C@H]([C@@H](NC)C)O)cc1
origin: C(C)N(CC)CCCC1, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: CC[N+](CC)(CC)CCC1, cl: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, target: CC[N+](CC)(CC)CC
origin: C[N+](C)(C)CCC(C1CCCC2)C(C, cl: C(C)N(CC)CC, target: C[N+](C)(C1C2CC3CC1CC(C3)C2)C
origin: C(N1CCCC1)CCCC2, cl: CCN(CC)CC, target: C(N1CCCC1)c1ccccc1
origin: N(C(C)C)(C)CCCC1, cl: C(N(CC)CC)C, target: N(C(C)C)(C(C)C)CC
origin: C[C@@H]([N+](C)(C)C)CCCC(C)c1, cl: C(C)CNCCC, target: C[C@@H]([C@H](O)c1ccccc1)NC
origin: CCN(CC)CCC2, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C1C(N(C)C)(C)CC1, cl: [n+]1(CC)ccn(C)c1, target: C1C(N(C)C2CCCCC2)CCCC1
origin: [n+]1(CC)cn(C)c(C)n(C)c1C, cl: CCN(CC)CC, target: [n+]1(CC)ccn(C)c1C
origin: CCN(C(C)CCC)(C)CCCCC1, cl: C(CC)N(CCC)CCC, target: CCN(C(C)C)C(C)C
origin: C1CCN2C[C+](C)(C)C2CC(C)CCCC1, cl: C(C)N(CC)CC, target: C1CCN2C[C@@H]3C[C@@H](C[N+]4(C)CCCC[C@H]34)[C@@H]2C1
origin: OC[C@@H]1(C)(C)CCC(C)C2CC1, cl: CCN(CC)CC, target: OC[C@@H]1CCCN1Cc1ccccc1
origin: c1cccc(CN2CCCC2)ccccc1, cl: C1CCCC(N(C)C2CCCCC2)CC1, target: c1cccc(CN2CCCCC2)c1
origin: C1C2CC3CCC(CCC1)CN2CCCCC1, cl: c1ccccc1[N+](Cc1ccccc1)(Cc1ccccc1)CO, target: C1C2CC3CC1C([N+](C)(C)C)C(C2)C3
origin: c1(CN2CCCCCCCCCCC)cc1, cl: C1N2[C@H]+](CC3CC2CN2C3CCCC2)(CCC1)C, target: c1(CN2CCC[C@H]2CO)ccccc1
origin: c1(C[N+](C)(C)C)CCCCC1, cl: C(C)C[N+](CCC)(CCC)CCC, target: c1(C[N+](C)(Cc2ccccc2)C)ccccc1
origin: [N+](CCC)(CC)CCCCC[N+]1(C)CCCC1, cl: c1cc(CN2CCCC2)ccc1, target: [N+](CCC)(CCC)(CCC)CCC
origin: C(C)N(CC)CCCC1, cl: c1c(N(C)C)ccnc1, target: C(C)N(CC)CC
origin: CCC[N+](CC)(CC)CCCCCCCC1, cl: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C, target: CCC[N+](CCC)(CCC)CCC
origin: CCN(CC)CCCCC[N+]1(C)CCCC1, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CCCC2, cl: [N+](CCC)(CCC)(CCC)CCC, target: CCN(CC)CC
origin: CCN(CC)CCCCCC[n+]1ccn(C)cc1, cl: C(CC)[N+](C)(Cc1ccccc1)Cc1ccccc1, target: CCN(CC)CC
origin: C(NCC)C, cl: C[n+]1c(C)n(c(c1C)C)C, target: C(NCC)C
origin: c1ccc([C@]1(CC)CCCC2)CCCC1, cl: CCN(CC)CC, target: c1ccc([C@@H](O)[C@@H]([N+](C)(C)C)C)cc1
origin: C(N(CCO)CCC)(C)CC, cl: C1[C@@H](CO)O, target: C(N(CCO)CC)C
origin: C1N2[C@H](CCC3CCCCCCCCCCC[N+](CC)(C)C)CC1, cl: C(N(CC)CC)C, target: C1N2[C@H]([C@@H]3C[N+]4(C)[C@H](CCCC4)[C@H](C2)C3)CCC1
origin: C1C[C@@H](C)(C)CC(C)CC[N+](CC(C)C)CCCCC[N+]1(C)CCCCCCC1, cl: c1cc(CN2CCCC2)ccc1, target: C1C[C@@H](CO)N(Cc2ccccc2)C1
origin: CCN(CC)CCCC(C)CCCC[N+]1(C)CCCCCCCCC[n+]1ccn(C)c1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: c1c[n+](C)ccn(C)c1C, cl: O[C@H]([CHN+]2CCCCC1CC2)C, target: c1c[n+](CCCC)c(C)n1C
origin: C(N(CC)CCC3)CCCCC1, cl: C(C[N+](C)(C)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[n+]1c(n(C)c(C)c1C)C)C, target: C(N(CC)CC)C
origin: CC[N+](CC)(CCCCCCCCC[n+]2ccccc1, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1C[N+]2(CCCCCCCCCCCCCC[N+]1(C)CCCCCCCCCCCCCCCC3)c1, cl: N12[C@@H]N(CC3CC1CN1C3CCCCN1C2)C, target: C1C[N+]2(C)[C@H](CC1)[C@@H]1CN3[C@H]([C@H](C2)C1)CCCC3
origin: C(N(CCC)CC3)CCCC2, cl: C(C)N(CC)CCO, target: C(N(CCC)CCC)CC
origin: CCN(CC)CCCC([N+]3(C)CCCC(C)C2)CC1, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C1C2CC3CC(C3C[N+](C)(C)C)CCCCC2, cl: C1CCC[N+]2(C1C1CN3CCCCC3C(C2)C1)C, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: c1(CN2CCCCCCCCC[n+]2c(C)c(C)c2C)c1C, cl: CC[N+](CC)(CC)CC, target: c1(CN2CCCC2)ccccc1F
origin: C(C)C[N+]2(CCCCCCCCC[N+](C)(C)C)(C)C, cl: C(C)N(CC)CC, target: C(C)C[N+](CCC)(CCC)CCC
origin: Fc1c(CN2CCCCC(C)CC)c1C, cl: c1ccccc1C(O)C(C)N(C)C, target: Fc1c(CN2CCCC2)cccc1
origin: CN(c1ccncccc2)cc1, cl: c1cc(CN2C(CO)CCC2)ccc1, target: CN(c1ccncc1)C
origin: C1CCCC(N(C)CCCCCCCCCC[n+]1c(C)cc1)C, cl: CN(C(=N)N(C)C)C, target: C1CCCC(N(C2CCCCC2)C)C1
origin: C(CC)CNCCCCCCCC1, cl: CCN(CC)CC, target: C(CC)CNCCCC
origin: C(C)CC[n+](C)cc(C)c1C, cl: C1CCCCC1N(C)C1CCCCC1, target: C(C)CC[n+]1ccn(C)c1C
origin: c1cccc(CN2CCCCC1)CC[N+](CC)CCCCC1, cl: CCN(CC)CC, target: c1cccc(CN2[C@H](CO)CCC2)c1
origin: C[N+]12CCCCC(C)C2CC1CCCC12CCC(C[N+]1(C)CCCCCC2CCCCCCCC2)C, cl: C(C)N(CC)CC, target: C[N+]12CCCC[C@@H]1[C@@H]1CN3[C@H]([C@@H](C1)C2)CCCC3
origin: C1(N(C2CCCCCC2)CCC)(C)C, cl: CC[n+]1ccn(C)c1, target: C1(N(C2CCCCC2)C)CCCCC1
origin: [N+](CCC)(C)CCC[N+]1(CC)(C)CC1, cl: C1CC[C@@HN2C, target: [N+](CCC)(CCC)(CCC)CCC
origin: [N+](CCC)(CCCCCCCCC[n+]2ccccc2)(C)C, cl: [C@H]12C[N+]3(CCCCC3CC1[N+]1(CCCCC1)CC2)C, target: [N+](CCC)(CCC)(CCC)CCC
origin: CCN(CC)CCCCCCCCC[n+]1c(C)ccn1C, cl: c1cccc(C[N+](C)(C)Cc2ccccc2)cc1, target: CCN(CC)CC
origin: C1C2CC3CC[N+]1(C)CCCCC(C)C1, cl: C(C)N(CC)CCO, target: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3
origin: CCN(CC)CCCC1, cl: N(CCC)(CCC)CCC, target: CCN(CC)CC
origin: c1cc([C@H(C)(C)C)(C)CC1, cl: [C@@H]12[N+](C)(CC3CC(C2)CC(C1)C3)C, target: c1cc([C@H]([C@@H](NC)C)O)ccc1
origin: C(N(CCC)CCCC2)cccc1, cl: C(C)[N+](CC)(CC)CC, target: C(N(CCC)CCC)CC
origin: C([N+](Cc2ccccc2)CC1)C, cl: N(CC)(CC)CC, target: C([N+](Cc1ccccc1)(C)C)c1ccccc1
origin: CCN(CC)CCCC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: CCN(CC)CC
origin: C1CCCC(N(C)CCCC2)CCCCCC[n+]1ccccc1, cl: CCN(CC)CC, target: C1CCCC(N(C)C2CCCCC2)C1
origin: N(CCC)(CC)c1CCCCCCC[N+](C)(C)CC, cl: CC(NC(C)C)C, target: N(CCC)(CCC)CCC
origin: N(CC)(CC)CC1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C(N(CC)CCCCCCCCCCCCC[n+]2cccc(C)n1C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C1CCN2[C@]1(C)CCC(C)(C)CCC(C)C1, cl: C(N(CCC)CCC)CC, target: C1CCN2[C@H]([C@@H]3C[N+]4(C)[C@H](CCCC4)[C@H](C2)C3)C1
origin: CCN(CC)CCCCCC[N+]1(C)CCCCC1, cl: c1ccc(CN2CCCC2)cc1, target: CCN(CC)CC
origin: CN(c1ccncc1)CCCC[N+](C)(C)C, cl: C(C[N+](C)(C)C)CCCCCCCC, target: CN(c1ccncc1)C
origin: C(C)N(CC)CCCCCCC[N+]1(C)CCCC1, cl: C1OCCN2CCOCCOCCN(CCO1)CCOCCOCC2, target: C(C)N(CC)CC
origin: c1c(CN2CCCC(C)C)CC[N+](C)(C)C, cl: N(CCO)(CCO)CCO, target: c1c(CN2CCCC2)c(F)ccc1
origin: C(O)[C@H](C)(C)C[N+]1(C)CCCCC1, cl: C(C)N(CC)CCO, target: C(O)[C@H]1N(Cc2ccccc2)CCC1
origin: CCN(CC)CCC(C)CCC[N+]1(C)CCCC1, cl: c1[n+](CCCC)ccn1C, target: CCN(CC)CC
origin: CCC[N+](C)(C)CCCC2, cl: OC(CNCC(C)O)c1ccccc1, target: CCC[N+](CCC)(CCC)CCC
origin: C(C)N(CC)CCCCCCC1, cl: C(C)C[N+](CCC)(CCC)CCC, target: C(C)N(CC)CC
origin: C(C)N(CC)CCCC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(N(CC)CCC)(C)CCCC1, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: C1[N+]2(CC)CCCC(C)CCCC1CCCC1, cl: N=C(N(C)C)N(C)C, target: C1[N+]2(C)C[C@H]3[C@@H]4CCCCN4C[C@H](C3)[C@H]2CCC1
origin: CCN(CC)CCCCCCCC, cl: CCCCCNCCCCC, target: CCN(CC)CC
origin: C(N(CC)CCCCCCCCCCCCCCCCCC[N+]2(C)CCCCCCCCCCCCCCC[n+]1ccccc1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C(CO)N(CC)CCCCC1, cl: [n+]1(C)c(C)n(c(C)c1C)C, target: C(CO)N(CC)CC
origin: c1(C)n(C)c(C)n(C)c(C)c2C)c(C)c1, cl: CCN(CC)CC, target: c1(C)n(C)cc[n+]1CC
origin: CCN(CC)CCCC1, cl: [N+](CC)(CC)(CC)CC, target: CCN(CC)CC
origin: C(C)N(CC)CCCC1CCCCCCC[N+]1(C)CC(C)(C)CC1, cl: C1C[N+]2(C(CCCC2)CCCC2)c1, target: C(C)N(CC)CC
origin: CN[C@@H](C)(C)CC1C(C)CC1C(C)[N+](C)(C)C, cl: CC(C)NC(C)C, target: CN[C@@H](C)[C@@H](c1ccccc1)O
origin: C(CC)N(CCCCC3)CC1, cl: [N+](CC)(CC)(CC)CC, target: C(CC)N(CCC)CCC
origin: CCN(CC)CCCC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: CCN(CC)CC
origin: CN(C)C(N(C)CCCCCCC[n+](C)cccc2)C, cl: C1CCCN1Cc1ccccc1, target: CN(C)C(N(C)C)=N
origin: N(CC)(CC)CCCCCCC1, cl: C1[C@H]2[NH4+].C(C)C(C1)CC([N+](C)(C)C)CC2, target: N(CC)(CC)CC
origin: CCN(CC)CCCCC1, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: CCC[N+](C)(C)CCCCC1, cl: CCN(CC)CC, target: CCC[N+](CCC)(CCC)CCC
origin: C(C)[n+]1c(C)c(C)n(C)c1C, cl: C(O)CN(CCO)CCO, target: C(C)[n+]1c(C)n(C)cc1
origin: [C@@H]1(C)(C)CCC(C)CCN(C)CCCC1, cl: C(C)N(CC)CC, target: [C@@H]1(CO)CCCN1Cc1ccccc1
origin: CN(C)C, cl: N=C(N(C)C)N(C)C, target: CN(C)C
origin: C([N+](CC)(C)C)CCCCCC1, cl: C(N(CC)CC)C, target: C([N+](CCC)(CCC)CCC)CC
origin: C[N+]([C@](C)(C)CCCC2)(C)C, cl: C(N(CCC)CCC)CC, target: C[N+]([C@@H](C)[C@@H](c1ccccc1)O)(C)C
origin: CCN(CC)CCCCCCC2, cl: C1CN(Cc2cc(F)ccc2)CCC1, target: CCN(CC)CC
origin: C(O)CN(CC)CCCCCC1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C(O)CN(CC)CC
origin: CCN(CCO)CCCCC[N+](C)(C)CCCCC1, cl: C(c1ccccc1)N1CCCC1, target: CCN(CCO)CC
origin: CCN(CC)CCCCCCC[n+]1ccccn1C, cl: c1cccc(CN2CCCC2CO)cc1, target: CCN(CC)CC
origin: CCN(CCO)CCC1, cl: c1([C@H](cccc2)C)C)cccc(c2)F)c(C)[n+](cc1)C, target: CCN(CCO)CC
origin: C(CC)N(CCCCCCC[N+]2(C)CCCCC[N+](C)(C)CCCCCC, cl: C(C)C[N+](CCC)(CCC)CCC, target: C(CC)N(CCC)CCC
origin: C(C)N(CC)CCCCCCC[n+]1ccccc1, cl: C(N1CCC[CN]2(CC1)C)C, target: C(C)N(CC)CC
origin: OCCN(CCO)C1, cl: C(C)N(CC)CC, target: OCCN(CCO)CCO
origin: C1(N(C2CC)CCCCC1)CCCCCC1, cl: C(N(CC)CC)C, target: C1(N(C2CCCCC2)C)CCCCC1
origin: N=C(N(C)C)CCC2, cl: C[N+]1(CCCC1)CCCC, target: N=C(N(C)C)N(C)C
origin: c1cc(CN2CCCCC2)cccc1, cl: C(CN(CCO)CC)O, target: c1cc(CN2CCCC2)ccc1
origin: C(CN(CCC)CCCCCCCCCC)cccc1, cl: CCN(CC)CC, target: C(CN(CCC)CCC)C
origin: C(N(CCC)CC)cc1, cl: N(CC)(CC)CC, target: C(N(CCC)CCC)CC
origin: Cn1cc[n+](C)cc1, cl: CN(C)C, target: Cn1cc[n+](CCCC)c1
origin: c1cccc(CN1CC2)CC1, cl: CCN(CC)CC, target: c1cccc(CN(C)[C@H]([C@H](O)c2ccccc2)C)c1
origin: N(CC)(CC)CCCCC[N+]1(C)CC2, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: C1CC[N+](C)(CCCCCCCCCCCCCCCCCCCCCCC[n+]1ccccc2, cl: C(C)(N(CC)C(C)C)C, target: C1CC[N+](C)(CCCC)C1
origin: C1C2[N+](C)(CCCCCCCC1)CCCCCCCCCCC[n+]1ccccc1, cl: CCC[N+](CCC)(CCC)CCC, target: C1C2[N+](C)(CC)CC3CC1CC(C3)C2
origin: C(C)N(CC)CCCCCCCCCCCCC[n+]1cn(C)c1C, cl: c1c(CN2CCCC2)cccc1, target: C(C)N(CC)CC
