origin: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1, cl: n1(c([n+](cc1C)C)C)C, target: C(C)N(CCO)CC
origin: c1(C)cc[n+](C)c1C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1CCNCCC1
origin: c1cc(C[N+](C)(Cc2ccccc2)C)ccc1, cl: C1CC(N(C)C2CCCCC2)CCC1, target: NCCN1CCNCC1
origin: CN(C)c1ccccc1, cl: C(C(O)c1ccccc1)(NC)C, target: C(CN(CCC)CCC)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C12CC3CC(C2)CC(C1)C3[N+](C)(C)C, target: C1C[C@@H](CO)N(Cc2cc(F)ccc2)C1
origin: C(CC)N(CCC)CCC, cl: C1CC(N(C1)Cc1ccccc1)CO, target: CN(C)C
origin: c1(C)n(C)c(C)[n+](C)c1C, cl: c1(cc(C[N+](C)(Cc2cccc(F)c2)C)cc(F)cc1)F, target: CCCN(CCC)CCC
origin: c1cc(C[N+](Cc2ccccc2)(C)C)ccc1, cl: C1CCCCCN1, target: CCN(CC)CC
origin: C(NCC)CC, cl: [N+]12(CC3CC(CN4CCCCC34)C1CCCC2)C, target: C1CCCN1Cc1cc(F)ccc1
origin: C1(CO)OCCOCCN(Cc2ccccc2)CC1, cl: C1C(CCCC1)N(C1CCCCC1)C, target: c1ccc(CN2CCNCC2Cc2ccccc2)cc1
origin: C(N(CCCC)CCCC)C, cl: C(CC)CC[n+]1cn(cc1)C, target: Cc1[n+](C)c(C)n(C)c1C
origin: C1CCN(Cc2ccccc2)C1CO, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C1CCCC(N(C2CCCCC2)C)C1
origin: c1c(F)c(C[N+](Cc2ccccc2)(C)C)ccc1, cl: c1cccc(C(O)C(NC)C)c1, target: C(CN(CCCC)CCCC)CC
origin: C1C2C3CC(C4[N+](C)(CCCC4)C3)CN2CCC1, cl: c1cccc(c1)CN1C(CO)CCC1, target: c1c(CN([C@@H](C)[C@H](O)c2ccccc2)C)cccc1
origin: c1c[n+](CCCC)cn1C, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C(CN(CCO)CCO)O
origin: c1cn(C)c(C)[n+]1Cc1ccccc1, cl: c1ccc(c(c1)F)CN1CCCC1, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C1CCC[N+](C)(Cc2ccccc2)C1, cl: CCCN(CCC)CCC, target: c1c(N(C)C)ccnc1
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: c1(C[N+](Cc2ccccc2F)(C)C)cccc(c1)F, target: C(NC(C)C)(C)C
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: C1CCN(Cc2cccc(F)c2)C1, target: c1(C[N+](C)(C)Cc2cccc(F)c2)cc(F)ccc1
origin: C1CCN(Cc2ccccc2)C1, cl: c1ccc(C(O)C(NC)C)cc1, target: Fc1c(CN2CCCC2)cccc1
origin: C(C)(NC(C)C)C, cl: [N+](C)(Cc1ccc(cc1)F)(C)Cc1ccccc1F, target: C(C)N(CC)CC
origin: c1c(C(C(C)NC)O)cccc1, cl: C1N(CCCC1)Cc1ccccc1, target: N(CC)(CC)CC
origin: c1(F)cccc(CN2CCCC2)c1, cl: CC(N(C)C)C(c1ccccc1)O, target: N(CC)(CC)CC
origin: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2, cl: C1CCC(CO)N1Cc1ccccc1, target: c1c(F)cc(C[N+](C)(Cc2cccc(F)c2)C)cc1
origin: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, cl: C1CCCCC1N(C1CCCCC1)C, target: [C@@H]([C@@H](c1ccccc1)O)(C)NC
origin: C1(CO)CCCC1, cl: c1c(cc(F)cc1)CN1CCCC1, target: c1ccc([C@@H](O)[C@@H](NC)C)cc1
origin: c1cccc(C(C(c2ccccc2)O)O)c1, cl: c1cc(ccn1)N(C)C, target: c1(CN2CCCC2)ccccc1
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: C1CC(N(C)C2CCCCC2)CCC1, target: [N+](CCC)(CCC)(CCC)CCC
origin: C[N+]12CCCCC1C1CC(C3CCCCN3C1)C2, cl: CCN(CC)CC, target: C1[N+]2(C)[C@@H]([C@H]3C[C@H]([C@@H]4CCCCN4C3)C2)CCC1
origin: C1CC2CC3CC(C[N+]2(C)C)CC1C3, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C(C[N+](C)(C)C)O, cl: C1CCCCC1N(C1CCCCC1)C, target: CN(C)C(=N)N(C)C
origin: C(C(c1ccccc1)O)NC, cl: C(NC)(C)C(c1ccccc1)O, target: CCN(CC)CC
origin: n1(C)cc[n+](CCCC)c1, cl: c1(n(C)c([n+](C)c1C)C)C, target: c1cccc(CN(C)C)c1
origin: c1c(C(C(C)NC)O)cccc1, cl: C1(CO)N(CCC1)Cc1cc(ccc1)F, target: C1[N+](CC)(C)C2CC3CC(C2)CC1C3
origin: C1CCCCN1Cc1ccccc1, cl: c1cc(ccc1)C(O)C(C)NC, target: C1N2CCOCCOCCN(CCOCCOC1)CCOCCOCC2
origin: C(C(c1ccccc1)O)NC, cl: C1N(CCN(CCCN(CCN(C)CC1)C)C)C, target: C(N(CC)CC)C
origin: c1cc(CN2C(CO)CCC2)ccc1, cl: C1(N(Cc2ccccc2)CCC1)CO, target: C(C)N(CC)CC
origin: c1cccc(C(C(NC)C)O)c1, cl: C(N(CC)CC)C, target: C1CN(Cc2ccccc2)CC1
origin: C1C2C3CC(C4CCCC[N+]4(C)C3)CN2CCC1, cl: C1CCN(CC1)Cc1cccc(c1)F, target: OCCN(CCO)CCN(CCO)CCO
origin: C(C)N(CC)CC, cl: C1N(CCN(CCN(C)CCN(C)CCN(CCN(C1)C)C)C)C, target: C(CN(CCC)CCC)C
origin: C(CC)Cn1c[n+](C)cc1, cl: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, target: C1CCNCCC1
origin: c1(CN2C(CO)CCC2)cc(F)ccc1, cl: C1(O)CCCN1Cc1ccccc1, target: CCCN(CCC)CCC
origin: C1CCCC2C3C4C(C[N+](C)(C)C4)C(C=C3)C12, cl: C(C)N(CC)CC, target: N(CC)(CC)CC
origin: CCCN(CCC)CCC, cl: C1C(N(C2CCCCC2)C)CCCC1, target: CCN(CC)CC
origin: N1(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)CC1, cl: C1C(N(C)C2CCCCC2)CCCC1, target: N1CCCCCC1
origin: C1CCCCN1Cc1ccccc1, cl: C1CCC2C3CC(CN2C1)C1CCCC[N+]1(C3)C, target: N(CC)(CC)CC
origin: C(c1ccccc1)N1CCCC1, cl: c1c(F)cccc1C[N+](Cc1c(F)cccc1)(C)C, target: C(C[n+]1cc(C)c(C)cc1)CC
origin: c1(CN2CCCC2)ccccc1, cl: C1CCC(CC1)N(C)C1CCCCC1, target: C(C)[N+](CC)(CC)CC
origin: c1(C(C(O)C)O)ccccc1, cl: C(N(CCO)CCO)CO, target: C([N+](CC)(CC)CC)C
origin: C(C)[n+]1ccn(C)c1, cl: C1N(Cc2cccc(F)c2)C(CO)C1, target: C[N+]12C[C@@H]3C[C@H]([C@H]1CCCC2)CN1CCCC[C@H]13
origin: N(C(C)C)(C(C)c1ccccc1)C(C)(C)NC, cl: CN(C)C(C)O, target: CCN(CC)CC
origin: C(C(C)NC(C)C)C, cl: C12CC3(CC(C2)CC(C3)C1)[N+](C)(C)C, target: C1[C@@H]2N(C[C@@H]3C[C@H]2C[N+]2(C)CCCC[C@H]32)CCC1
origin: C(CN(CCCO)CC)C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C(CC)CCNCCCCC
origin: N1(Cc2ccccc2)C(CO)CCC1, cl: n1(C)cc[n+](CCCC)c1, target: C(CN(CCC)CCC)C
origin: c1c(F)ccc(CN2CCCC2)c1, cl: [n+]1(CC)ccn(c1C)C, target: C1[C@H]2[C@H]3N(CCCC3)C[C@@H]([C@H]3CCCC[N+]13C)C2
origin: C(CC)[N+](C)(C)CC, cl: OC(C1N(Cc2ccccc2)CCC1)CO, target: CCN(CC)CC
origin: c1(CN2C(CO)CCC2)ccccc1, cl: c1cccc(C(O)C(C)NC)c1, target: C1CCN(Cc2cccc(F)c2)C1
origin: C(CCC[N+](C)(C)C)CCC[N+](C)(C)C, cl: c1ccc(C(O)C(NC)C)cc1, target: C(N(CC)CC)C
origin: c1c(CN2CCCC2)cc(F)cc1, cl: CC(N(C(C)C)CC)C, target: CCN(CC)CC
origin: C1CN(Cc2ccccc2)C(CO)CC1, cl: C(C)CN(CCC)CCC, target: C(C[N+](CCC)(CCC)CCC)C
origin: C1CCCN(Cc2ccccc2)C1, cl: c1ccc(CN2CCCC2)cc1F, target: C1C2C[N+](CC)(C)C3CC1CC(C3)C2
origin: c1(CN2C(CO)CCC2)ccccc1, cl: c1cc(ccc1)C(O)C(NC)C, target: CCN(CC)CC
origin: C(CNCCC)C, cl: C(O)CN(CCO)C, target: CCCN(CCC)CCC
origin: C(CC)N(CCC)CCC, cl: C1CCN2C(C3CC(C4[N+](CCCC4)(C3)C)C2)C1, target: C(C)CN(CCC)CCC
origin: N(CC)(CC)CC, cl: C1CCN(Cc2cccc(F)c2)C1, target: C(C)CN(CCC)CCC
origin: CCCN(CCC)CCC, cl: C1CC(N(C1)Cc1ccccc1)CO, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: CCCN(CCC)CCC, cl: C1CN(CC1)Cc1ccccc1, target: c1ccccc1[C@@H](O)[C@@H]([N+](C)(C)C)C
origin: c1[n+](Cc2ccccc2)ccn1CC, cl: CCC[N+](CCC)(CCC)CCC, target: C(c1cccc(F)c1)N1CCCC1
origin: c1c(F)cccc1CN1CCCC1, cl: C(C(O)c1ccccc1)(C)NC, target: CN(C1CCCCC1)C1CCCCC1
origin: C1CN2CCN1CC2, cl: C12C3CCCCN3CC(C3CCCC[N+]3(C2)C)C1, target: C1CC[N+]2(C)C[C@@H]3C[C@H]([C@H]2C1)CN1CCCC[C@@H]31
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C(CC)N(CCC)CCC, target: C1CCN(Cc2ccccc2)[C@@H]1CO
origin: c1(C)c(C)c[n+](C)c1, cl: c1cccc(C(O)C(C)N(C)Cc2ccccc2)c1, target: N(CC)(CC)CC
origin: N1(Cc2ccccc2)C(CO)CCC1, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: c1cc(C[N+](Cc2ccccc2)(C)C)ccc1, cl: Cc1[n+](ccn1C)Cc1ccccc1, target: C(O)CN(CCO)CCO
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: c1cccc(c1)C(O)C(N(C)C)C, target: C(N(CC)CC)C
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: C1CCNCC1, target: C(C)N(CC)CC
origin: C1CCN(Cc2ccccc2)C1CO, cl: C1CC(N(Cc2ccccc2)C1)CO, target: CC[N+](CC)(CC)CC
origin: C([N+](C)(C)C)CC, cl: C1N(CCC1)Cc1ccccc1, target: c1cc(N(C)C)ccn1
origin: C[N+](C)(CCCCCCCCC[N+](C)(C)C)C, cl: c1(C(C(C)NC)O)ccccc1, target: C(C)[N+](CC)(CC)CC
origin: C(N(CCO)CCO)O, cl: C(C)(N(CC)CC)C, target: N(CC)(CC)CC
origin: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, cl: c1ccccc1C(O)C(NC)C, target: C(N(CC)CC)C
origin: C1CC2C3CC(C[N+]2(C)CCCCC[N+](C)(C)C3)C1, cl: C(c1ccccc1)(C(O)c1ccccc1)N(C)C, target: CCN(CC)CC
origin: C1(C)(C)CC2(C)CC([N+]3(C)CCCCC3)C1C2, cl: C1N(Cc2cc(F)ccc2)CCC1, target: C1N(Cc2ccccc2)[C@H](CO)CC1
origin: c1cc(CN2CCCC2CO)ccc1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: CCN(CC)CC
origin: Cc1[n+](C)c(C)n(C)c1C, cl: Cc1cccc(c1)C(O)C(NC)C, target: [n+]1(CCCC)ccn(C)c1
origin: c1cc(C(O)C(C)NC)ccc1, cl: OCC1N(Cc2ccccc2)CCC1, target: C(N(CC)CC)C
origin: O1CCN(Cc2ccccc2)C1, cl: c1c(CN2CCCC2CO)cc(cc1)F, target: n1(CC(O)CO)cc[n+](C)c1C
origin: CCc1ccccc1C[n+]1c(C)n(C)cc1, cl: C1C(CO)N(Cc2ccccc2)CC1, target: C1C2[N+](CC)(C)CC3CC(CC1C3)C2
origin: C(CC)CNCCC, cl: C(C)CC[n+]1cccc(c1)C, target: C1CCCCCN1
origin: c1cc(CN2CCCC2CO)ccc1, cl: C(CC)N(CCC)CCC, target: C1NCCCCC1
origin: C1CCCCN1Cc1ccccc1, cl: C(C)C(N(CCC)CCC)CC, target: [N+](CCC)(CCC)(CCC)CCC
origin: c1(CN2CCCC2)ccccc1, cl: c1c(C[N+](C)(C)Cc2ccccc2F)cc(ccc1)F, target: C(CC)[N+](CCC)(CCC)CCC
origin: c1c(C[n+]2cn(C)cc2)ccc(F)c1, cl: C(C)CN(CCC)CCC, target: CN(C1CCCCC1)C1CCCCC1
origin: CC1(CO)CCNC(C)CC(C)NC(C)NCCNC(C)C1, cl: c1c(F)cc(CN2CCCC2)cc1, target: C(N(CC)CC)C
origin: n1(C)c[n+](CCCC)cc1, cl: C1CC(CCC1)N(C1CCCCC1)C, target: CCN(CC)CC
origin: c1ccc(C(O)C(C)NC)cc1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: CCCC[N+]1(C)CCCC1
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: C1CCCC(C1)N(C1CCCCC1)C, target: CCN(CC)CC
origin: C(CC)CCNCCCC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: c1c[n+](CCCC)cn1C, cl: c1ccccc1C(O)C(NC)C, target: C(C)N(CC)CC
origin: c1n(C)c(C)[n+](CCCC)c1, cl: C(C(NC)C)(c1cc(F)ccc1)O, target: C(CO)[N+](CCO)(C)CCO
origin: C(c1ccccc1)N1CCCC1, cl: c1c(C(O)C(N(C)C)C)cccc1, target: N(CC)(CC)CC
origin: C1C2C3N(CCCC3)CC(C2)C1, cl: c1cc(ccc1)C(O)C(C)NC, target: OCCN(CCO)CCN(CCO)CCO
origin: c1[n+](CC)ccn1C, cl: C1CCN(C1)Cc1ccc(cc1)F, target: C(C)N(CC)CC
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C1C(N(C)C2CCCCC2)CCCC1, target: CCN(CC)CCO
origin: c1ccc(F)c(C[N+](Cc2c(F)cccc2)(C)C)c1, cl: N1(Cc2ccccc2)CCCCC1, target: CCN(CC)CC
origin: c1cccc(C(O)C(NC)C)c1, cl: CCC[N+](CCC)(CCC)CCC, target: C(N(CCO)CC)C
origin: C(C)([n+]1cn(C)cc1)C, cl: c1ccccc1C(C(C)NC)O, target: C(N(CC)CC)C
origin: C(NCCCC)CCC, cl: C12CC3(CC(CC(C3)C2)C1)[N+](C)(C)C, target: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2
origin: C1C(CO)N(Cc2ccccc2)CC1, cl: C1CCC(CC1)N(C)C1CCCCC1, target: CCN(CC)CC
origin: N1(Cc2ccccc2)CCCC1, cl: C1(CO)N(CCC1)Cc1ccccc1, target: c1ccccc1CN1[C@H](CO)CCC1
origin: c1n(C)c(C)[n+](CC)c1, cl: C1C(CCCC1)N(C1CCCCC1)C, target: C1N(Cc2ccccc2)CCCC1
origin: Cn1c(C)c(C)[n+](CC)c1C, cl: C1CC2C3CN4C(CCCC4)C(C[N+]2(C)C1)C3, target: c1cccc(CN2CCCC2)c1
origin: c1[n+](C2CCCCC2)cn(C2CCCCC2)c1, cl: C1CCN(Cc2ccccc2F)CC1, target: C(C[N+](C)(CCO)CCO)O
origin: c1(CN2CCCC2)ccccc1F, cl: C(C)(N(CC)C(C)C)C, target: C(N(CCC)CCC)CC
origin: c1c(CN2CCCC2)cccc1, cl: C(N1CCCC1)c1ccccc1F, target: CN(C)C
origin: C1C(CO)N(Cc2ccccc2)CC1, cl: C1CCC(N(Cc2ccccc2)C1)CO, target: C1CCCC(N(C)C2CCCCC2)C1
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C(C)(C(c1ccccc1)O)NC, target: C(C)C[N+](CCC)(CCC)CCC
origin: c1c(C[N+](C)(Cc2ccccc2)C)cccc1, cl: C1C2CC3CC1CC(C3)(C2)[N+](C)(C)C, target: C(C)N(CC)CC
origin: [N+](C)(C)(C)Cc1ccc(F)cc1, cl: C(C)CN(CCC)CCC, target: C1CC(N)CCC1
origin: c1c(F)ccc(CN2C(CO)CCC2)c1, cl: c1cccc(CN2CCCC2)c1F, target: C(C(C)C)NCC(C)C
origin: OC1CCCN1Cc1ccccc1, cl: CCN(CC)CC, target: CCC[N+](CCC)(CCC)CCC
origin: c1cc(CN2CCCC2CO)ccc1, cl: c1c[n+](CC)cn1C, target: C(N(CC)CC)C
origin: C([N+](C)(C)C)C, cl: C(N(CC)CC)C, target: C(N(CC)CC)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: CCN(CC)CC
origin: n1(C)c(C)c(C)[n+](C)c1C, cl: C1CCN(Cc2cc(ccc2)F)C1, target: C(N(CC)CC)C
origin: c1ccccc1CN1CCCC1CO, cl: C1CC(CO)N(Cc2ccccc2)C1, target: C(C)NCC
origin: C1CC([N+](C)(C)Cc2ccccc2)CC1, cl: C1CCCCC1N(C1CCCCC1)C, target: C(CCCCC)[n+]1ccn(C)c1C
origin: C1CCN(Cc2ccccc2)C1, cl: c1c(cccc1)C[N+]1(CCCC1CO)C, target: C1C(N)CCCC1
origin: OC(c1ccccc1)C(CO)N, cl: C1CCC(N(C2CCCCC2)C)CC1, target: CCN(CC)CC
origin: c1(CN2C(CO)CCC2)ccccc1, cl: c1(C[N+](C)(Cc2cccc(F)c2)C)ccccc1F, target: C(C)N(CC)CC
origin: CC1N(C)CCCN(C)CC(C)N(C)C, cl: C1CCCN(Cc2cc(F)ccc2)C1, target: N(CC)(CC)CC
origin: C(C)N(CC)CC, cl: c1ccc(CN2CCCC2)cc1F, target: c1(F)c(CN2CCCC2)cccc1
origin: Cn1cc[n+](CC)c1C, cl: N(CC)(CC)CC, target: C1C(N(C2CCCCC2)C)CCCC1
origin: c1cccc(CN2CCCC2)c1, cl: C(C)CN(CCC)CCC, target: C(C)N(CC)CC
origin: C1CCCC(Cc2ccccc2)(C[N+]2(C)CCCC2)C1, cl: Cc1[n+](C)c(C)n(c1C)C, target: C1(N(C)C2CCCCC2)CCCCC1
origin: c1c(C(O)C(C)N(Cc2ccccc2)C)cccc1, cl: C1C(N(Cc2ccccc2)CC1)CO, target: CC[N+](CC)(CC)CC
origin: c1c(C[N+](C)(Cc2ccccc2)C)cccc1, cl: C1CN(Cc2cccc(F)c2)CC1, target: C1CCN2C(C3CC(C4[N+](C)(CCCC4)C3)C2)C1
origin: C(CCO)N(CCO)CC, cl: c1cc(ccc1)C[n+]1ccn(C)c1C, target: CN[C@H]([C@H](c1ccccc1)O)C
origin: c1cc(C(C(NC)C)O)ccc1, cl: C(N(CC)CC)C, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C(N(C(C)C)C(c1ccccc1)C)C, cl: c1c(F)ccc(CN2C(CO)CCC2)c1, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C(C)N(CC)CC, cl: C(CC[N+](CCC)(CCC)CCC)C, target: C1CC(N(C)C2CCCCC2)CCC1
origin: CN(CC)CC, cl: C1CN(Cc2ccc(F)cc2)CC1, target: CCN(CC)CC
origin: C(C(c1ccccc1)O)N, cl: C1N(CCC1)Cc1ccccc1, target: C(CN(CCC)CCC)C
origin: C1CCC(CO)N1Cc1ccccc1, cl: C(N(CC)CC)C, target: c1([C@H]([C@H](C)NC)O)ccccc1
origin: c1c(CN2C(CO)CCC2)cccc1, cl: N(C)(C)C(c1ccccc1)O, target: OC[C@@H]1CCCN1Cc1ccccc1
origin: C(C)(NC(C)C)C, cl: C(C(C)(N(C)Cc1ccccc1)C)(O)c1ccccc1, target: N(CC)(CC)CC
origin: C(C)(N(CC)CC)C, cl: C1CCC(N(Cc2ccccc2)C1)CO, target: CCN(CC)CC
origin: c1c(CN2C(CO)CCC2)cccc1, cl: C12C[N+]3(C(CCCC3)C(C2)CN2CCCCC21)C, target: C[N+]([C@H]([C@H](O)c1ccccc1)C)(C)C
origin: CN(C(c1ccccc1)O)C, cl: C1(CO)N(CCC1)Cc1ccccc1, target: [n+]1(CC)ccn(C)c1C
origin: C(c1ccccc1)[n+]1ccn(C)c1C, cl: n1(C)c(C)[n+](CC)c(c1)C, target: C1[N+]2(C)[C@H](CCC1)[C@@H]1CN3[C@@H](CCCC3)[C@@H](C1)C2
origin: c1cc(C[N+](Cc2ccccc2)(C)C)ccc1, cl: c1cc(cc(F)c1)CN1CCCC1, target: CN(c1ccncc1)C
origin: C1N(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)C1, cl: C(C(NC)C)(O)c1ccccc1, target: CCN(CC)CC
origin: n1(C)cc[n+](CCCC)c1, cl: C(c1ccccc1)(O)C(C)NC, target: C[N+]12[C@@H]([C@H]3C[C@@H](C1)[C@@H]1CCCCN1C3)CCCC2
origin: C1C2CC3[N+]4(C)C(CCCC4)CC(C3)C1C2, cl: c1cccc(C(O)C(N(C)C)C)c1, target: c1ccc(CN2CCC[C@H]2CO)c(F)c1
origin: c1n(C)c(C)[n+](CC)c1, cl: c1cc(C(O)C(C)NC)ccc1, target: C(N(CCO)CCO)CO
origin: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, cl: C1CCCCC1N(C)C1CCCCC1, target: [C@@H]12[C@H]3C[C@H]([C@H]4N(CCCC4)C3)C[N+]1(C)CCCC2
origin: C1CCCCN1Cc1ccccc1, cl: c1cc(F)cc(CN2CCCC2)c1, target: [N+](CCC)(CCC)(CCC)CCC
origin: C(C)[P+](CC)(CC)CC, cl: C(C)CN(CCC)CCC, target: N(CCO)(CCN(CCO)CCO)CCO
origin: c1cn(C)c(C)[n+]1Cc1cccc(C)c1, cl: C(C)CN(CCC)CCC, target: C(C)CN(CCC)CCC
origin: C1N(C)CCCN(C)C1, cl: C([n+]1c(n(cc1)C)C)C, target: C[N+]1(C)CC2CC3CC1CC(C3)C2
origin: c1c[n+](CCCC)cn1C, cl: C1N(Cc2cccc(F)c2)C(CC1)CO, target: CCC[N+](CCC)(CCC)CCC
origin: C1CCCCN1Cc1ccccc1, cl: C1CCN(C)CCN(CCCN(C)CCN1C)C, target: C(N(CCO)CCO)CO
origin: C1CN(Cc2ccccc2F)C(CO)C1, cl: C1CC(CO)N(Cc2ccccc2)C1, target: C(C)N(CC)CC
origin: C(C[n+]1cn(C)cc1)C, cl: C1C2CC3CC1CC(C3)C2[N+](C)(C)C, target: CCN(CC)CC
origin: c1c(C[N+](Cc2ccccc2)(C)C)cccc1, cl: C1N(Cc2ccccc2F)C(CO)CC1, target: c1c(CN2CCCC2)cccc1
origin: c1cc(F)ccc1CN1CCCC1, cl: OC(c1ccccc1)CN1CCCC1, target: C(CN(CCC)CCC)C
origin: C12[N+](C)(CCCC1)CC1CC2CN2CCCCC21, cl: C1CCCN1Cc1cc(F)ccc1, target: CC[N+](CC)(CC)CC
origin: [N+](C)(C)(C)C, cl: N1(Cc2ccccc2)C(CO)CCC1, target: CC[N+](CC)(CC)CC
origin: Cc1[n+](C)c(C)n(C)c1C, cl: [N+](CC)(CC)(CC)CC, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: C(C(C)NC(C)C)C, cl: C(CC)N(CCC)CCC, target: C1N(Cc2c(F)cccc2)CCC1
origin: C(N(CCC)CCC)CC, cl: C(C(NC)C)(O)c1ccccc1, target: C1COCCN2CCOCCOCCN(CCOCCOCC2)CCO1
origin: CN1CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)CC1, cl: C(C)CN(CCC)CCC, target: C1NCCCCC1
