origin: C[N+](C1C2CC3CC(CC1C3)C2)(C)C, cl: c1(N(C)C)ccncc1, target: C1C2CC3C([N+](C)(C)C)C1CC(C3)C2
origin: c1ccc(CN2CCCC2)cc1, cl: C(CCCCCC[n+]1ccn(c1C)C)C, target: [C@@H]1(CO)CCCN1Cc1ccccc1F
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C12(CC3CC(C2)CC(C3)C1)[N+](C)(C)C, target: C1C(N(C2CCCCC2)C)CCCC1
origin: c1ccccc1C(O)C(C)NC, cl: NC1CCCCC1, target: N=C(N(C)C)N(C)C
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C)CCCNCCCCC, target: C(N(CC)CC)C
origin: C1N2CCCCC2C2CC1C1[N+](C)(CCCC1)C2, cl: C(CC)C[n+]1ccn(c1)C, target: C1[C@H]2CN3CCCC[C@H]3[C@@H]1C[N+]1(C)[C@@H]2CCCC1
origin: C(C)N(CC)CC, cl: C1C[N+]2(C)C(C3CN4C(C(C3)C2)CCCC4)CC1, target: C(C)CNCCC
origin: c1ccn(C)c[n+]1Cc1ccccc1, cl: N(CCO)(CCO)C, target: C([N+](CCC)(CCC)CCC)CC
origin: C(C)N(CC)CC, cl: c1cc(ccc1)CN1CCCC1CO, target: C(C)N(CC)CC
origin: c1cccc(C(C(C)NC)O)c1, cl: C(C)CC[n+]1ccc(C)c(C)c1, target: Cc1[n+](CCCC)ccn1C
origin: c1ccccc1CN1C(CO)CCC1, cl: [C@@(C)(C)C, target: C(C)N(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1CC(CCC1)N(C1CCCCC1)C, target: C(N(CC)C(C)C)(C)C
origin: C(C(C)NC)(O)c1ccccc1, cl: N([C(C)C(c1ccccc1)O)(C)C, target: CN(C)C
origin: c1ccccc1C(O)C(NC)C, cl: CCC[N+](CCC)(CCC)CCC, target: C(N(CC)CC)C
origin: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, cl: N(CC)(CC)CC, target: [N+](C12CC3CC(CC(C3)C1)C2)(C)(C)C
origin: C1CCC2C3CC(C4CCCCN4C3)C[N+]2(C)C1, cl: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, target: C1C2CC3CC1CC(C2)C3[N+](C)(C)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: N(CCC)(CCC)CCC, target: C(N(CC)CC)C
origin: N(C)(C1CCCCC1)C1CCCCC1, cl: C1CCCC2[N+]1(CC1C3CCCCN3CC2C1)C, target: [N+](CC)(CC)(CC)CC
origin: c1c(CN2CCCC2CO)cccc1, cl: C(N(CC)CC)C, target: c1(C[N+](C)(C)Cc2cccc(F)c2)cccc(F)c1
origin: c1ccccc1C(O)C(C)NC, cl: C(N(CC)CC)C, target: C(C)CC[n+]1cn(C)cc1
origin: Cn1c(C)[n+](CCCCCC)cc1, cl: CCN(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C(N(CC)CC)C, cl: N(C1CCCCC1)(C1CCCCC1)C, target: C(C)N(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CCN(CC)CC, target: C(CN(CCO)CCO)O
origin: C(C)N(CC)CC, cl: C1CCCC2C3CC(CN21)C1CCCC[N+]1(C3)C, target: C(C)N(CC)CC
origin: C(CC[n+]1ccn(C)c1)C, cl: c1c(cccc1)C(O)C(C)N(C)C, target: c1c[n+](CCCC)cn1C
origin: C1CCCCC1N(C1CCCCC1)C, cl: N1CCCCCC1, target: C(N(CC)CC)(O)C
origin: c1c(CN2CCCC2)cccc1, cl: C(CN(CCO)CCO)O, target: N(C)(C)C(=N)N(C)C
origin: C1CCN(Cc2ccccc2)C1, cl: C1CCC2C3CN4C(C(C[N+]2(C)C1)C3)CCCC4, target: C1CCN(Cc2ccccc2)C1
origin: C(N(CC)CC)C, cl: C(C)CN(CCC)CCC, target: C1CC(N(C2CCCCC2)C)CCC1
origin: CCCC[n+]1ccn(C)c1C, cl: c1cc(CN2CCCC2)cc(c1)F, target: c1[n+](Cc2ccccc2)ccn1C
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C(CN(CC)CC)O, target: C1CCCN1Cc1ccccc1
origin: C(O)C1N(Cc2ccccc2)CCC1, cl: C1CN(Cc2ccccc2)CC1, target: [C@@H]1(CO)CCCN1Cc1cc(F)ccc1
origin: C(O)C1N(Cc2ccccc2)CCC1, cl: C1[C+]2(C)CCCCC2C2CC1C1N(C2)CCCC1, target: CCN(CC)CC
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: c1cccc(CN2C(CO)CCC2)c1, target: CCN(CC)CC
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C(C)CC[n+]1ccn(C)c1C, target: C(CN(CCC)CCC)C
origin: C1CCCCC1N(C1CCCCC1)C, cl: C([N+](C)(C)Cc1ccccc1F)c1ccccc1F, target: C(C)N(CC)CC
origin: C(C)CN(CCC)CCC, cl: CCCN(CCC)CCC, target: C1CC(N)CCC1
origin: C1CCCN1Cc1ccccc1, cl: C([N+](CC)(CC)CC)C, target: C1CN(Cc2cccc(F)c2)[C@H](CO)C1
origin: C1CCCCC1N(C1CCCCC1)C, cl: c1cn(C)c([n+]1CC)C, target: C(C)CN(CCC)CCC
origin: CCN(CC)CC, cl: C1[N+]2(C)C(C3CN4C(C(C2)C3)CCCC4)CCC1, target: c1c([C@@H](O)[C@H](C)NC)cccc1
origin: C1CCCCC1N(C1CCCCC1)C, cl: CCN(CC)CC, target: CN(C)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C1N(Cc2ccccc2)CCC1, target: [C@H](c1ccccc1)([C@H](C)NC)O
origin: C(CC[n+]1ccn(C)c1)C, cl: CCN(CC)CC, target: c1c[n+](CCCC)cn1C
origin: C(C)CC[n+]1ccn(C)c1C, cl: C(N(CC)CC)CO, target: C(C)N(CC)CC
origin: C12C3CCCC[N+]3(C)CC(C3N(CCCC3)C1)C2, cl: C1CN(Cc2ccccc2)CC1, target: C1CCN2C(C3C[N+]4(C)C(CCCC4)C(C2)C3)C1
origin: Cn1cc[n+](CCCC)c1, cl: N12[N+](C)(CCCC1)CC1CC2CN2CCCCC12, target: n1ccc(N(C)C)cc1
origin: C1CCCCC1N(C1CCCCC1)C, cl: CCC[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: c1ccccc1C(O)C(NC)C, cl: CCN(CC)CC, target: OC[C@@H]1CCCN1Cc1ccccc1
origin: c1ccccc1CN1CCCC1, cl: C(CN(CCC)CCC)CC, target: c1cccc(CN2CCC[C@H]2CO)c1
origin: c1c(CN2CCCC2CO)cccc1, cl: c1([n+](cccc1)CC)CCCC, target: Fc1ccccc1C[N+](C)(Cc1c(F)cccc1)C
origin: C1C2C3CCCC[N+]3(C)CC(C3CCCCN13)C2, cl: c1cc(ccc1)CN1CCCC1CO, target: C1CCC[N+]2(C)[C@H]1[C@@H]1CN3[C@@H](CCCC3)[C@@H](C1)C2
origin: C1CCCCC1N(C1CCCCC1)C, cl: N(CCC)(CCC)CCC, target: C(CN(CCC)CCC)C
origin: c1ccccc1CN1C(CO)CCC1, cl: CCN(CC)CC, target: c1cccc(F)c1CN1CCCC1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1C(N)CCCC1, target: C(C)C[N+](CCC)(CCC)CCC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: N(C)(C1CCCCC1)C1CCCCC1, target: C1CC[C@@H](CO)N1Cc1ccccc1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: c1ccccc1CN1C(CCC1)CO, target: C(C)N(CC)CC
origin: C1C2C3CCCC[N+]3(C)CC1C1CCCCN1C2, cl: C1[N+]2(C(CCC1)C1CC(C2)C2N(CCCC2)C1)C, target: C1[C@H]2[C@H]3CCCC[N+]3(C)C[C@H](C2)[C@H]2N1CCCC2
origin: C1CCCC2C3CC(C4CCCCN4C3)C[N+]12CC, cl: C[C@(C(O)c1ccccc1)C, target: C1[N+]2(C)[C@@H]([C@H]3C[C@@H](C2)[C@@H]2CCCCN2C3)CCC1
origin: C1CCN(Cc2ccccc2)C1, cl: C(C)CN(CCC)CCC, target: C1CCCN1Cc1ccc(F)cc1
origin: C(C)N(CC)CC, cl: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, target: CCN(CC)CC
origin: c1ccc(CN2CCCC2)cc1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: c1cccc(CN2CCCC2)c1, cl: n1ccc(N(C)C)cc1, target: CCC[N+](CCC)(CCC)CCC
origin: c1ccccc1C(O)C(C)NC, cl: C12CCCCN1CC1C3CCCC[N+]3(C)CC2C1, target: C(N(CCC)CCC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: CC[N+](CC)(CC)CC, target: c1cccc(CN2CCC[C@H]2CO)c1F
origin: C(CO)[N+](CCO)(CCO)C, cl: C([N+](C)(Cc1ccccc1F)C)c1cccc(c1)F, target: C([N+](CCO)(C)CCO)CO
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(CN(CCC)CCC)CC, target: C(CN(CCC)CCC)C
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: N(CCCC)(CCC)CCC, target: CCN(CC)CC
origin: C(CC)C[n+]1ccn(C)c1C, cl: CCN(CC)CC, target: C(C[N+](CCC)(CCC)CCC)C
origin: C1CCCCC1N(C1CCCCC1)C, cl: CC(N(CC)CC)C, target: CCN(CC)CC
origin: C(C)N(CC)CC, cl: C1(N(C2CCCCC2)C)CCCCC1, target: C(N(CC)CC)C
origin: c1ccccc1CN1CCCC1, cl: C1[C+]2(C)C(CCCC2)C2CC1C1N(CCCC1)C2, target: C(N(CC)CC)C
origin: c1ccccc1CN1CCCC1CO, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(CC)(CC)CC, cl: C[N+](C)(C)C12CC3CC(C1)CC(C3)C2, target: C(C)N(CC)CC
origin: C1C2C3N(CCCC3)CC(C2)C2CCCC[N+]12C, cl: CCN(CC)CC, target: C12CC3CC([N+](C)(C)C)(C1)CC(C2)C3
origin: C1C2C3CC(C4N(C3)CCCC4)C[N+]2(C)CCC1, cl: CCN(CC)CC, target: N12C[C@H]3[C@@H]4[N+](C)(CCCC4)C[C@@H]([C@@H]1CCCC2)C3
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: c1(C)n(c(C)[n+](C)c1)C, target: CCN(CC)CC
origin: C(CCC)[n+]1ccn(C)c1, cl: N(CCC)(CCC)CCC, target: n1(C)cc[n+](CCCC)c1
origin: C1CCCN1Cc1cccc(F)c1, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C1CCCN1Cc1ccccc1
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: C(C)CC[n+]1ccn(C)c1, target: C([C@H]1N(Cc2cc(F)ccc2)CCC1)O
origin: C1CCN(Cc2ccccc2)C1, cl: N1CCCCCC1, target: C1CCCCCN1
origin: C(N(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: CCN(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1CCCN1Cc1ccccc1, target: c1ccccc1[C@@H](O)[C@@H](NC)C
origin: c1c(C[n+]2ccn(C)c2C)cccc1, cl: C(C[N+](CCC)(CCC)CCC)C, target: N(CC)(CC)CC
origin: C1C2C3CCCCN3CC1C1[N+](C)(C2)CCCC1, cl: CCN(CC)CC, target: N12CCCC[C@H]1[C@H]1C[C@H]([C@@H]3[N+](C)(C1)CCCC3)C2
origin: C1CCCCC1N(C1CCCCC1)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(C)CN(CCC)CCC, cl: c1(C(O)C(NC)C)ccccc1, target: C(C)C[N+](CCC)(CCC)CCC
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: CCN(CC)CC, target: CN(C)c1ccncc1
origin: CCN(CC)CC, cl: C1CCCCCN1, target: CCCN(CCC)CCC
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CC[N+](CC)(CC)CC, target: N=C(N(C)C)N(C)C
origin: c1ccccc1CN1CCCC1CO, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: N(C)(C)C(N(C)C)=N, target: C(C)N(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: CCCN(CCC)CCC, target: C(C)N(CC)CC
origin: c1(C)n(CC(O)CO)cc[n+]1C, cl: C([N+](CC)(CC)CC)C, target: C1CCN(Cc2ccccc2)C1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(C)CCCC[n+]1ccn(c1C)C, target: C(C)N(CC)CC
origin: c1ccccc1C(O)C(N(C)C)C, cl: c1c(cc(cc1)CN1CCCC1)F, target: C(N(CCC)CCC)CC
origin: CN(C(N(C)C)=N)C, cl: C[N+](C)(C)C12CC3CC(C1)CC(C3)C2, target: N1(Cc2cccc(F)c2)CCC[C@H]1CO
origin: C(CC)C[n+]1ccn(C)c1C, cl: C(C)CN(CCC)CCC, target: CCN(CC)CC
origin: C1CCN(Cc2cc(F)ccc2)C1CO, cl: C(C)CN(CCC)CCC, target: c1c(CN2CCCC2)cccc1
origin: C1CCCC2C3CC(CN12)C1[N+](C)(CCCC1)C3, cl: CCC[N+](CCC)(CCC)CCC, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: c1ccccc1CN1C(CO)CCC1, cl: C1CCN(Cc2ccccc2)C1, target: c1ccccc1[C@H]([C@H](C)NC)O
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C12CC3(CC(CC(C3)C2)C1)[N+](C)(C)C, target: CCN(CC)CC
origin: c1ccccc1C(O)C(NC)C, cl: c1ccc(CN2CCCC2)cc1, target: C(N(CCC)CCC)CC
origin: c1ccc(CN2CCCC2)cc1, cl: C(N(Cc1ccccc1)C)c1ccccc1, target: C(CC)[N+](CCC)(CCC)CCC
origin: c1cccc(CN2CCCC2)c1, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: Cn1c(C)[n+](CCCCCC)cc1, cl: C(C[N+](C)(C)C)CCCC[N+](C)(C)C, target: c1c(C[n+]2cn(C)cc2)cccc1
origin: C1CCCN1Cc1ccccc1, cl: C1CCCN1Cc1cccc(F)c1, target: c1cc(CN2CCC[C@H]2CO)ccc1
origin: c1(CN2CCCC2)ccccc1, cl: C(CC)N(CCC)CCC, target: n1ccc(N(C)C)cc1
origin: C(N(CC)CC)C, cl: CCN(CC)C(C)C, target: N(CCC)(CCC)CCC
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: c1cccc(C(C(C)N(C)C)O)c1, target: C(C)N(CC)CC
origin: C1CCN(Cc2ccccc2F)C1, cl: [C@@12CC3CC(C2)CC(C1)C3, target: c1c(F)ccc(C[N+](C)(Cc2ccc(F)cc2)C)c1
origin: C1C2C3CCCC[N+]3(C)CC(C3N1CCCC3)C2, cl: C(N(CC)CC)C, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: C(CCCC)CC[n+]1ccn(c1C)C, target: CN(C1CCCCC1)C1CCCCC1
origin: C1CCCN1Cc1ccccc1, cl: C1CCC([N+](CC)(CC)C1C)C, target: c1cc(CN2CCC[C@H]2CO)ccc1
origin: C1CN2CCOCCOCCN(CCOCCOCC2)CCOCCO1, cl: N(CC)(CC)CC, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1C[N+]2(C(CC1)C1CC(C3CCCCN3C1)C2)C, target: c1ccc([C@@H](O)[C@@H](NC)C)cc1
origin: c1ccccc1CN1CCCC1, cl: CCN(CC)CC, target: CC(C)NC(C)C
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C(C)CC[N+]1(C)CCCC1, target: C1CCCCCN1
origin: C1CCCCC1N(C1CCCCC1)C, cl: C1N(CCC1)Cc1cc(F)ccc1, target: C(C)[N+](CC)(CC)CC
origin: c1cc(CN2CCCC2)ccc1, cl: C1CN(C(C1)CO)Cc1ccccc1, target: C(C)N(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C([n+]1c(n(C)cc1)C)c1ccccc1, target: C1COCCN2CCOCCOCCN(CCOCCOCC2)CCO1
origin: c1(C)[n+](C)c(C)n(C)c1C, cl: c1cc(ccc1)CN1C(CO)CCC1, target: c1[n+](Cc2ccccc2)ccn1C
origin: c1cccc(CN2CCCC2)c1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C(CO)N(CCO)C
origin: c1ccc(CN2CCCC2CO)cc1, cl: C(N(CCO)CCO)CO, target: CC[N+](CC)(CC)CC
origin: C(C[n+]1ccn(C)c1C)CC, cl: C12CC3CC(CC(C3)C2)C[N+]1(C)C, target: c1(C)n(C)c(C)c(C)[n+]1C
origin: c1cccc(C(O)C(NC)C)c1, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C(N(CC)CC)C
origin: c1ccccc1CN1C(CO)CCC1, cl: C(C)CN(CCC)CCC, target: c1cccc(CN2[C@H](CO)CCC2)c1
origin: c1cc(CN2CCCC2CO)ccc1, cl: CCCN(CCC)CCC, target: C([N@@+]1(C)[C@H](CO)CCC1)c1ccccc1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: N1(Cc2ccccc2)C(CCC1)CO, target: C(NCC(C)C)C(C)C
origin: C1(N(C2CCCCC2)C)CCCCC1, cl: C1NCCCCC1, target: C1(N(C2CCCCC2)C)CCCCC1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1CC(N(C1)Cc1ccccc1)CO, target: [C@@H](C)(NC)[C@@H](O)c1ccccc1
origin: c1cccc(C(O)C(NC)C)c1, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: OCCN(CCO)CCO, target: c1c(CN2[C@H](CO)CCC2)cccc1
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: CCNCC, target: [C@@H]12[C@H]3CCCC[N+]3(C)C[C@@H]([C@@H]3CCCCN3C1)C2
origin: C1C2C3CC(C4CCCCN4C3)C[N+]2(C)CCC1, cl: C1[C+]2(C)C(C3CN4C(CCCC4)C(C2)C3)CCC1, target: C[N+]12C[C@@H]3C[C@H]([C@H]1CCCC2)CN1[C@H]3CCCC1
origin: C1CN(Cc2cccc(F)c2)CC1, cl: c1ccccc1CN1CCCC1CO, target: CCN(CC)CC
origin: C1CCCC2C3C[N+]4(C)CCCCC4C(CN12)C3, cl: CC1[N+](CC)(C(C)CCC1)CC, target: C[N+]12[C@H](CCCC1)[C@@H]1CN3CCCC[C@H]3[C@H](C2)C1
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: C1(N(Cc2ccccc2)CCC1)CO, target: CCN(CC)CC
origin: c1cc(CN2CCCC2CO)ccc1, cl: N1CCCCCC1, target: N(CC)(CC)CC
origin: c1ccc(C[N+]2(C)C(CO)CCC2)cc1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C(CC)[N+](CCC)(CCC)CCC
origin: C1CN(Cc2ccccc2)CC1, cl: C1C(CCCC1)N(C)C1CCCCC1, target: CCN(CC)CC
origin: c1ccccc1C(O)C(NC)C, cl: C1CCCN2C1C1C[N+]3(C(C(C1)C2)CCCC3)C, target: N(C(C)C)(CC)C(C)C
origin: c1c(F)cccc1C[N+](C)(Cc1cccc(F)c1)C, cl: C(CN(CCO)CCO)O, target: [N+](CC)(CC)(CC)CC
origin: c1ccccc1CN1CCCC1, cl: CCNCC, target: C([N+](CCC)(CCC)CCC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: CCN(CC)CC, target: C1C(N(C2CCCCC2)C)CCCC1
origin: C1N(Cc2ccccc2)CCC1CO, cl: C1CCCCC1N(C)C1CCCCC1, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: N(CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(N(CCO)CCO)CO, cl: c1(F)cc(ccc1)CN1CCCC1, target: C(N(CCO)CCO)CO
origin: C1CCN(Cc2ccccc2F)C1, cl: c1c(cccc1)C(O)C(NC)C, target: c1(C)[n+](C)ccn1CC(CO)O
origin: C(N(CC)CC)C, cl: CN(C)C, target: OCCN(CCO)CCO
origin: c1cccc(CN2CCCC2CO)c1, cl: c1cccc(c1)C(O)C(C)N(Cc1ccccc1)C, target: C1N(Cc2ccccc2)CCC1
origin: C1CCCN1Cc1cccc(F)c1, cl: CCN(CC)CC, target: C1CCNCCC1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: c1(CN2CCCC2)ccccc1, target: CC[N+](CC)(CC)CC
origin: C(N(CC)CC)C, cl: CCCC[n+]1cc(c(C)cc1)C, target: CCN(CC)CC
origin: C1CCN(Cc2cccc(F)c2)C1CO, cl: c1cc(CN2CCCC2CO)ccc1, target: N1(CCN)CCNCC1
origin: C(C)[N+]1(C)C2CC3CC(CC(C1)C3)C2, cl: CCN(CC)CC, target: C[N+]1(C)C2CC3CC(CC(C3)C2)C1
origin: C(C[n+]1c(C)n(C)cc1)CC, cl: C(C)CN(CCC)CCC, target: [N+]1(CCCC)(C)CCCC1
origin: c1cccc(C[N+]2(C)CCCC2CO)c1, cl: N12CCCCC1C1C[N+]3(C(C(C1)C2)CCCC3)C, target: C([N+](CC)(CC)CC)C
origin: C1CCCN1Cc1ccccc1, cl: C(C)CN(CCC)CCC, target: C([N+](C)(C)Cc1ccccc1F)c1ccccc1F
origin: C(CC)C[n+]1ccn(C)c1, cl: C(C)[N+](CC)(CC)CC, target: c1(N(C)C)ccncc1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C([N+](C)(C)Cc1ccc(F)cc1)c1cccc(F)c1, target: CCN(CC)CC
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C12C3CC(C4N(C3)CCCC4)C[N+]1(C)CCCC2, target: CCCCCNCCCCC
origin: C[n+]1cn(Cc2ccccc2)cc1, cl: N(CC)(CC)CC, target: CN(C)c1ccncc1
origin: c1cc(CN2CCCC2CO)ccc1, cl: CC[N+](CC)(CC)CC, target: C(C)N(CC)CC
origin: C1CCN(Cc2ccccc2)C1CO, cl: CC(N(CC)C(C)C)C, target: N1(Cc2ccccc2)[C@H](CO)CCC1
origin: Fc1cc(CN2CCCC2)ccc1, cl: C1C(CCCC1)N(C1CCCCC1)C, target: CCC[N+](CCC)(CCC)CCC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: c1cccc(CN2CCCC2CO)c1, cl: CCN(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: CCC[N+](CCC)(CCC)CCC, target: c1c(CN2CCCC2)ccc(F)c1
origin: CNC(C)C(O)c1ccccc1, cl: O1CCN2CCOCCOCCN(CCOCC1)CCOCCOCC2, target: C1CN2CCOCCOCCN(CCOCCOCC2)CCOCCO1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1CCCN1Cc1cccc(c1)F, target: CN(C1CCCCC1)C1CCCCC1
origin: c1ccccc1CN1CCCC1CO, cl: CN(C)C(=N)N(C)C, target: c1cc(CN(C)[C@@H](C)[C@H](c2ccccc2)O)ccc1
origin: CNC(C)C(c1ccccc1)O, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: [C@@(Cc1ccccc1F)CCC, target: N1(Cc2ccccc2)CCCC1
origin: C1CCN2C(C3CC(C2)C2CCCC[N+]2(C)C3)C1, cl: C1CCCN1Cc1cccc(F)c1, target: [C@@H]12[N+](C)(CCCC1)C[C@H]1[C@H]3N(C[C@@H]2C1)CCCC3
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: C(C(O)c1ccccc1)N1CCCC1, target: CC(C)N(CC)C(C)C
origin: c1cc(CN2CCCC2)ccc1, cl: c1c(cc(CN2CCCC2)cc1)F, target: CCN(CC)CC
origin: C12C3CC(C4[N+](C)(CCCC4)C3)CN1CCCC2, cl: C1(N(Cc2ccccc2)CCC1)CO, target: C1CCC[C@H]2[N+]1(C)C[C@H]1[C@H]3N(CCCC3)C[C@@H]2C1
origin: c1cccc(CN2C(CO)CCC2)c1, cl: CCN(CC)CC, target: c1cc(C[N+](C)(C)Cc2ccccc2)ccc1
origin: CCN(CC)CC, cl: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, target: C(C)N(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: N1CCCCCC1, target: C(N(CC)CC)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CN(C1CCCCC1)C1CCCCC1, target: CCCN(CCC)CCC
origin: c1c(CN2C(CO)CCC2)cccc1, cl: CCC[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: C1CCCC2C3CC(C4CCCCN4C3)C[N+]12CC, cl: C(C)CC[n+]1ccn(c1)C, target: C12CC3CC(C([N+](C)(C)C)C(C3)C1)C2
