origin: C1N(CN(CCC(CCCCCCCCCC, cl: C1C1C(C)NCNNCCcNC, target: C1NCCN(CCN)C1
origin: C1CCCC)C)NCNCNCCCCCCCCCCC(C(C(CC1CCCC, cl: C1N+]1C)(CCCN+]]CCC)CN, target: C(N(CC)CC)C
origin: C1c((C2cccNcN+]1CcCC, cl: C1CCCCCCC1)(C1C1CCNCC1, target: c1cn(C)c(C)[n+]1CC
origin: C1CC)N(CCCC1cCccCcCCCcC, cl: C1N1NNN+](CCC)(C)1)C, target: C(CO)N(CC)CC
origin: C111Cc[CcN[NCCCcCCC, cl: C1[C(CC2cccc(2)CC1(CCccc, target: CCN(CC)CC
origin: C1[[cc[2C)C)ccc1C(CC(, cl: c(1nn+](c))C)))cc(1C, target: c1cc(CN(C)C)ccc1
origin: C(C)CC)C)C)C)c[NNccCC(C, cl: C1cc)ccc((C[N+]2Cc(Cc1cccF)ccc1)C)c1, target: C(CN(CCC)CCC)C
origin: C(c1CcN)CcC)ccC(ccc, cl: C1NCCCNCCnccCcccCC, target: C(N(CCC)CCC)CC
origin: C((C)CCCCCCC)CCCCCCCCC, cl: C(CC[CCCC)C)CCCcccc, target: CN(C)C(N(C)C)=N
origin: C(C)[(C[[CC[CnNc(((((((((((((((, cl: C1OC)CCCC)OCCCCcC((, target: C(C)N(CC)CC
origin: C1(CCCCNNCN)N[NCN[(1, cl: C(1C1CcN)CcCNCNcNC, target: CN(C1CCCCC1)C1CCCCC1
origin: c1(C[[[[(cCCCCCCCCCCCCCCCCCC((C((C(1(CC(CCc(((11C121C1C111C11111C11Cc1111111C1111(111111111111111111111111111111111, cl: C1(((((N1C1C1CCCC22)C1, target: CN(C)C
origin: C[[[C((CCN+]1C1(CCC)CC1(C(C2)C2, cl: C1O)C(CCNCc(CNCCCCCCCCCCCCCCCCCCCC, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C(CCCCCCCC[112)C)CCC[1, cl: C1CCCC((C11CCN(CC2C11C)CcCCC2CC2, target: C1C(N(C2CCCCC2)C)CCCC1
origin: c1[[[CCCCC)ccc1)c, cl: C11(CcNCcNCNNNcCCCCC((CCC(C(1CC1C11CcC111C1CC11C111111CC1111111111C111111111C11111111111C111111111111111111111111C1111111111c11111C1111111111111111111111111111111111111111111C1111111111111111111111CC11111111111111111111, target: c1cc(N(C)C)ccn1
origin: CCCCCCCCC1CCN(CCO111C11)C11C11C1, cl: C1O))NCCCC)CcC, target: C1N2CCOCCOCCN(CCOCCOCC2)CCOCCOC1
origin: C(CCCC(((N+]C(CP+++C(C1N+]1(C1CCC11N++4211n+]C1, cl: C11(CcCCcNONNcCCCCC(CCCCCCCCCCC1, target: C1N2CCCC[C@H]2[C@@H]2C[N+]3(C)CCCC[C@@H]3[C@H]1C2
origin: C1N)CN+](N(C((C(C(1cc(c(1, cl: C1cCNN+](CC(CCC)1ccC)cccc2)ccC)ccc11, target: C(O)[C@@H]1CCCN1Cc1ccccc1
origin: C1ccccCCccCnN+](CC(CCCC1ccC)ccc12)c1, cl: c1NCCC)C))CNNNcCCnCC, target: c1ccc(F)c(C[N+](C)(C)Cc2c(F)cccc2)c1
origin: C1CN+CCC(CCCC11)C2N+](((C(N+]((C(N+]1(C)CN++]C(C, cl: C1((C2(C1CCCCnCCC(, target: C1[C@@H]2N(CCC1)C[C@@H]1C[C@H]2C[N+]2(C)[C@@H]1CCCC2
origin: C1CCC((CC1C1CCC2))C1[N+]1(C)CCCC2, cl: c1CC((CCCCC)CC1CC2)CC1, target: C1C2CC(CN3CCCCC23)C2[N+]1(C)CCCC2
origin: C11(CcNCcNNNN[(CC(CCCCCCCCcCCC1CC1CC111CC11111111C1111111111111111C1111111111111111111111111111111111111111111111111111c11c1111111C111111111111111111111111111111111111111111111111111111111111C111111111111111111111111111, cl: C1[C(CCC(C[1CN+]3C3(C1C3CC3)C1)CC, target: CCN(CC)CC
origin: c1NCC[(CCN)C(, cl: C1NCCC)C))C[NNccccCCCCCCCCC(CCcCC1CCCC1, target: C1NCCN(CCN)C1
origin: [([CCCCCCCCC[122)CCC[1, cl: C1[n+](cCc(Cnn(ccc1, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C1CCC3CC(CN+]1C1(CCCC(CC1C1)C3)C2, cl: C11N+]1cnC)n(cccc1, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C1ccC)N+](Cc(CCCC2ccc(C)cc2)CcccC)c1, cl: C(CCCcCcNCcnNNCNCC, target: c1c(C[N+](C)(C)Cc2ccc(F)cc2)ccc(F)c1
origin: CCCCCNN+]1C11)(CCC)C, cl: c1OCNNC1N(CCCcCCCC(1, target: C(C)C[N+](CCC)(CCC)CCC
origin: cn+++2(CCCCCN+]C(CN++]C(Cn+](CC(CC1C3)C1N+]CN(, cl: C1OCCCOCNNCNCccCCCcCCCC(CCC, target: [C@@H]12N(C[C@H]3[C@@H]4[N+](C)(CCCC4)C[C@@H]1C3)CCCC2
origin: C(C)1O)O)NNNN)N[NNNN, cl: C1ccn+](C((C)cc(C((CCC, target: N(CC(C)C)CC(C)C
origin: CN+]1(C()))ccn(c)c1, cl: C1(2CC(CNN+]2(C2CCCC12))C1[CC1[22, target: [n+]1(CCCC)ccn(C)c1C
origin: C(1N+]1cnn(c)c1, cl: C1O1C)CC)NCNCCcCc(C, target: CC[n+]1ccn(C)c1C
origin: C1CC((C[)CcNCNCC, cl: C11(C))CcNCcCcCCC(, target: N(CC)(CC)CC
origin: C[(C1Ccc((1)C(CCC(((, cl: C1[CN[N11, target: CN(c1ccncc1)C
origin: C11NN+](CCccCnn2CCc1)CCCCCCCCCCCCCCCCC1CCCCCCCCCC11Cc111C1CCC1CCC1C1CCCCC1CC11CCCCCCCcCCC1CCCC1CC1111CCC1C(CCCCCCCCCC1CCCCCCCCCCCCCCCCC, cl: C1[CCCN+](CCCCCC)CCCCC((C(C3)C2, target: Cc1[n+](C)c(C)n(C)c1C
origin: C1CCN+]((CCCCN+]C(CN+]C(C(CCN+]C2C2)CN+CC2C11, cl: C1(CN2C1N(CCCCCCCCC1, target: C1C[N+]2(C)C[C@H]3[C@H]4N(C[C@H](C3)[C@H]2CC1)CCCC4
origin: [(c)c1N+](CcC)(C)CCC, cl: C11ccc<unk>2C(CC1)cccc1, target: C(O)C[N+](CCO)(C)CCO
origin: C11ccc2cn+](cC2))cc1, cl: C1CCON+]((CCCCCC1)C[CC[[(, target: Cn1c(C)[n+](CCCC)cc1
origin: C111CCCCCN[NCcCCCCCCCC, cl: C1OCCCOC))cNCcNC(CC, target: CCN(CC)CC
origin: cn+++C(CCCCCN+]]CCC)C1Ccccc1, cl: C1C1C(CcNCcC[cccCCc, target: [C@@H](NC)([C@@H](O)c1ccccc1)C
origin: C1NN+](C)C)(CcC)C)C)c, cl: C1NCCCOC))CcCccCcCC(CCC(CCCCCC1CC, target: C([N+](CCC)(CCC)CCC)CC
origin: C1cc)2C(CC2)c[[c(1, cl: C1C1cCcCCCCOCCCCCCCCCCC, target: c1(CN2CCCC2)ccccc1
origin: C1C1ccc(c1)(CCCCCCCCCCCC, cl: C((ON)C(C)C)CN[NCC, target: N(c1ccncc1)(C)C
origin: C(C1)(CCOCcncccc, cl: C1cc((cNNcn(cn+]])+Cc)C)c)c11, target: N(CC)(CC)CC
origin: C1(N(CcO)CcCNNNNcc, cl: C(N)C)CCCN1ccC)[n+](C)cc1, target: CCCN(CCC)CCC
origin: C(1[(CcC)CcCNNNNc, cl: C(C1C(Cc)Cc, target: CCCN(CCC)CCC
origin: C1O)(C))NC)NN([nNNc, cl: C(CCN(Cc)CcNCcCC, target: C(CN(CCC)CCC)C
origin: C1cc(c(1C((C(CC1CcCccc, cl: C1ccccc1Cn(CN+]C(CC)cCCC, target: c1ccccc1CN1CCCC1
origin: C1[NNCCCCCCOC22)C)CCC1, cl: C11N+](Cc1(CcCccC(cccc, target: C1CC(N(C2CCCCC2)C)CCC1
origin: C1NCCCNCC2CCN(CCOCC1CC2)C11C11C1, cl: N(C1CCCNC1)(C)C1CC[CC1, target: C1N2CCOCCOCCN(CCOCCOCC2)CCOCCOC1
origin: C1NN(CCC2cccc(2)CN++cC1, cl: c11CCc)CcCcNccCCCcCCCCCCCCC, target: C1CCN(Cc2ccccc2)[C@@H]1CO
origin: c1N)CN(CCC)CCC(CCC)C, cl: C1OCCCNC[)ONCccc(NCCC(C(CCC(CC, target: C(O)CN(CCO)CCN(CCO)CCO
origin: C1OCCCCc)C)CC[CCCC, cl: C1OCCCCC)Cc[CNccCcCCC, target: C(C)N(CC)CC
origin: C1CCC[(22CC[C(C2)C2CCCC[N+]2(C)C1, cl: C11(CcNCcNCNNNc[CCC(CCCCCC, target: N12CCCCC1C1CC(C2)C2CCCC[N+]2(C)C1
origin: C11(CCNCcNCNCcCCCCCCCCCCCC, cl: C1N1CCCC))CNCNCCCCCCCCCC(1C(C, target: CCN(CC)CC
origin: C1(C)c[CCCcC)CCCCCccCCC, cl: C1[cc((CN2C(CCN++22C))c1, target: CN(C)C(N(C)C)=N
origin: C1CCCNNCCCCCCCC2)C)CC1, cl: C1O1CCCCCCcnCcCcC, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C1O1CNCCcC)CcCCcCNc, cl: C(CCO(Cc)CcNccccC, target: C(CC)N(CCC)CCC
origin: C1CCCC(CCN+](CC(CCCCCC1CC(C3)C3, cl: C1N1ccccc1)(N+]1c(C)n(c)cc1, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C(OCCCCC)C)[)N[NNcCN, cl: C1O1)NCCCC)Ccc, target: C(CN(CCC)CCC)C
origin: CN1(Cc)CcC[c[CCC, cl: C1N+]1(CC((((C(CC(C2)C2NCCC[3C1, target: CCN(CC)CC
origin: C(C11(CNNC[NCccc, cl: [1cc(((1C(CcCcCCCcc, target: N(CC)(CC)CC
origin: C(NN+](Cc(CCCC1ccccc1)C1cc(cc1, cl: C1C1)(Cc)CnCCNcN, target: C([N+](C)(C)Cc1ccccc1)c1ccccc1
origin: CN11N+]1C)))(C11[C1C, cl: C1(N+]CCCCN+]((CCCCC(2N+++(2CN++(C1C((C(CCCN+]+221, target: CCC[N+](CCC)(CCC)CCC
origin: C1NCCC)C))c[ccccC, cl: C1(C1CC)CCCCC)CCCNcC, target: C(N(CC)CC)C
origin: C1ON+]1C)C(Cc)C1CC, cl: C1ON+]1Cc)(Cc)C)Cc, target: CC[N+](CC)(CC)CC
origin: CCC(C(CCCCC1CC1(CC2CC1CC2)C11C11, cl: C1NCCCOCNOCNCNCCC((, target: O1CCN2CCOCCOCCN(CCOCCOCC2)CCOCC1
origin: C(1ccC[c(cCccC)[n+]1CCCCcC, cl: C1CCN+](Cc1C(C1C)C)C1[[[c, target: Cc1c(C)n(C)c(C)[n+]1C
origin: C1CCC(((C, cl: C1N))CC)NCCNNcccc, target: C1CNCCCC1
origin: C111N+]1CCC)(C11)C1C2Cc, cl: CNNON(CC))CCCCNCccC, target: CCC[N+](CCC)(CCC)CCC
origin: C1CCC([CC(CCN+](CC(CCC)CC(C2)C3, cl: C1cc((CN2CCCC2)c(1FN, target: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3
origin: C(C)(CCC1ccccc1, cl: CN+]1C)(CC(CCCCCCCCCC(CC(C1)C2)C2, target: N(C)(C)c1ccncc1
origin: C11(CCCCcNCccNNCCCCCCCCCccCCcCCc1111C111111111111111111111111C1111111111111111111111111111, cl: C1CCNCCcNCnNCcOcnC(, target: CCN(CC)CC
origin: C1ccc(CN++N(Cn+]])+Oc)C)c)c11, cl: C[1cc(n+](C(1))c1, target: c1ccc([C@H]([C@@H](NC)C)O)cc1
origin: C1NCNNN+](CC))(C)1)C, cl: C1ccCN2C(CCN+]C(C))ccc)cc11, target: C(CC)[N+](CCC)(CCC)CCC
origin: C11NN)C(C)[1CNCCCN, cl: C11nN+](C1c)(Cc1Nc1C, target: CC(CNCC(C)C)C
origin: C1ccN2CCCC2)ccc((c)c1, cl: C1C(CNCCCCCCCCC2)C)CC1, target: c1(CN2CCCC2)cccc(F)c1
origin: CNN1CCCN)C)[NC[NN, cl: N1N+]1CC(CC1cc(((C)c1)CC1cccccF)c1, target: C(CN(CCC)CCC)C
origin: C1ccn2CCCC2)ccccc1, cl: C11N+](Cc)(Cc1C1CCccc, target: c1(CN2CCCC2)ccccc1F
origin: CNO)C1CCOC1N[ccCccCCCCCCCCCCc1CCC, cl: C1CCCCCC(C22222(C12)C2)C, target: C(C)N(CC)CC
origin: CNCCC((C1, cl: Cc2CCCC2N(1[[[c[C(, target: C1NCCCCC1
origin: C(CCCCC2C1)(C)CCNCC1)C, cl: C(N))(N+](CC[)(C)CCC, target: N(C1CCCCC1)(C1CCCCC1)C
origin: C(CCCCNCCNNC1)CNCC[C(1, cl: C11N+]1C)C(C11C11ccC, target: N(C)(C1CCCCC1)C1CCCCC1
origin: C1(C1CCCNC1)C1CCCC(1, cl: C11(C)NCcNONNccCCCCCCCCCCCC, target: CN(C1CCCCC1)C1CCCCC1
origin: C1CC2[[1CCCCCCCCCCCCC, cl: C(N)C1CCCCCN, target: C1CCCCNC1
origin: C)(N+]((CCCN+CCC(CN++C2C)N+CC(CN++C2C(C2)C2C22)C1)CC11, cl: C11(CcOCcCCNccCC, target: C1[N+]2(C)[C@@H]([C@H]3C[C@H]([C@H]4N(C3)CCCC4)C2)CCC1
origin: C11N+](C)1(C11c1(cCCc, cl: C1ccc((1F[(C((C1, target: CC[N+](CC)(CC)CC
origin: C11(CCNC[cCNCNCNCCCCC(C(C(cCcC111C1CCC11111c11111111C1111111111111111111111111111111111111111111C11111111111111111111111111111111111111111C111111111111111111111111111111111111C1111111111111111111111111111111111111111111, cl: CNNCCCCCCCCC2)CCCCCC11, target: CCN(CC)CC
origin: C1[CNC(N1, cl: C(CNNNNNNN+]1ccn(C(c1, target: C1CCNCCC1
origin: C11N+](C)C(CC)C1CCcccc, cl: C1N(CNNC[NcNNC[cCCCCCCCCCCCCcCCcCC11C1CCCccC1C11c1C111, target: CC[N+](CC)(CC)CC
origin: cNO1CCCCNCcOCNCcC, cl: C1[CNC2NCC1C1)CCC22)C1, target: C(C)N(CC)CC
origin: C1(CCCCCNNCCCcCCCCCCCCC(CCC, cl: C1OCCCCC)OccCccC(, target: CN(C)C
origin: C1C1C[Cc)Ccccccc, cl: C(CN++]nCC)CN+]CnC)C1ccccc1, target: N(CC)(CC)CC
origin: C11N+CCCCN+]C(c)C1ccccc1)C, cl: C1O1CCOCnOCcCNcccC, target: CN[C@H]([C@H](O)c1ccccc1)C
origin: C1C[NNN[N(CCCCCCCCC, cl: CNN1CNN+]1Cc))(CcC)C, target: C1CCCCC1N
origin: C1N+](CC1ccccc1)(CC1ccccc1)C, cl: C1N+]1(C)CCCCC((CC(CC(C2)C2, target: C[N+](Cc1ccccc1)(Cc1ccccc1)C
origin: C1cc((c[N+](Cc(CCCC2ccccc2)cc1, cl: F11cc(C[N+]2Cc(CC2cccccF)c2)C)ccc1, target: c1ccc(C[N+](C)(C)Cc2ccccc2)cc1
origin: C11(CcNCcC[cccccCcCCC, cl: C1cN+](CC(C)cc(1C((C, target: CCN(CC)CC
origin: C1NCCCCC)NCnCccCCCCCCCCCCCCCC, cl: C1[C[N+]CCCCN++CC1CC(CNCCC(CN++CC3C3)C1N+]1(C1CCCC, target: C(N(CC)CC)C
origin: C1CC([CCC(CC1CC1(CC1)1)Cc1, cl: [1[[CCCN++CC(CC)CN++CCC(N+]((CN+]CC22n+]1CC(C1)C, target: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2
origin: c1C)C1CCCCcCCNCCCCC, cl: C1ONCCC[OCNNNNnCCC, target: C(C)N(CC)CC
origin: C1CCC2221CcCCCCCC, cl: C1[Cn2C(CC22)c([c(1, target: C1CCCCCN1
origin: C1(CCN+]((CCCCN+]]C(C(N+]C(CN+1C213)C, cl: C1cc(((1C(CCCc(CcCcCCC, target: C1CC[N+]2(C)C[C@@H]3C[C@H]([C@H]2C1)CN1CCCC[C@H]13
origin: C1N1ONCCCO)C([NNNcc, cl: C1CCCCC)C[112)CCCCCCN1(ccc, target: C(CC)N(CCC)CCC
origin: [1ccc(cc[N+](Cc2ccccc2)(C)C)c1, cl: C111N+]1C))C(C11)C1C, target: c1cccc(C[N+](Cc2ccccc2)(C)C)c1
origin: C1(CCCCCCCCCC22)CC[C11, cl: C1N+]NcC1ccnc(1)CN+]], target: C1(N(C)C2CCCCC2)CCCCC1
origin: C1NCNNN1N(CCCC[CC1)C, cl: C[NCC(CC)Cc[[ccccC, target: C1CCCCC1N(C1CCCCC1)C
origin: c((C)CNNNNCCCCCCCCCCCCCCCCCCCCcC(c1CCC(C11C11111C11, cl: CN11CcOCcOcccccCC(CCCCCCCCCCCc1CCCCC1C1CCCC1C1Cc1C11C1111111C11111CC1111111111111111111111111C1C1C111C111C11C111111C1111111111111111111111111111111111C111111C111111C11111111111111111111111111111C111111111111C1111111111C, target: CN(C)C
origin: C11(Cc)CcNNccccCCC(c((CCcC1C11111C1C1CC111C11111111111111111111111111111111111111111C111111111111C11111C1111111111C11111111111c1111111111111111111111111111111111111c11111111111c111111111111111111111111111111111111111111, cl: C1NCCNN+](Cc[C(C1CNCcC, target: CCN(CC)CC
origin: C1CCCCN)CcC)C[NNNcN, cl: F(CCC(C))CccCcc, target: C(N(CCC)CCC)CC
origin: C1NCCCCCNCccCNcccCCCCCC, cl: C11(CcOCcNNNCNcCCcCCCCcCCCCCCcC, target: C(C)N(CC)CC
origin: C11(Cc)CcNNNNcCC, cl: C(C)[N(C)O[CcNNNNcN, target: CCN(CC)CC
origin: C1ccccc1CN++N(C)CN+]cC, cl: C1C)N(Cc)CcN(cccc, target: c1ccccc1[C@H](O)[C@@H](NC)C
origin: CCN++(CCC2ccccc1)CN+]N(C)C, cl: C1(CN+](C2C(CC1)CCN+++N(C(N+]((C(N+]1(C1CCCCCN+]22, target: O[C@@H](c1ccccc1)[C@H](C)NC
origin: CN+]1C)))(C11)(C)C)C, cl: C1NN+](C)C)(C)C)C)C)(, target: [N+](CCC)(CCC)(CCC)CCC
origin: C1cc((C)cc1CN1CN++C(CC)CC11, cl: C11CN+](CCC(C)CCCC2CCC1, target: c1ccc(F)cc1CN1[C@H](CO)CCC1
origin: C(CCC(CcNCcNNNcccC, cl: C1CNNN+](CCCC)C1CC1cccF)ccc1, target: N(CC)(CC)CC
origin: C[1[22[2[1[N+]12CCCC, cl: C11OC(C)C)CCNCcCC, target: CC1CCCC(C)[N+]1(CC)CC
origin: C11(CCCCcNCccccN(CCCCC(CCCCCcCCC1C1C111CC11C11111, cl: C1c(CcccN+](CC1ccccc2)c1C, target: CCN(CC)CC
origin: C1CCN+]2CC(CCC)CCCC(CC(C()CC1C3, cl: C1CC[CCN+CCC(C1)CN+]CCC2N+]((CN+]cC22P+](CC(CC111)C2, target: C1([N+](C)(C)C)C2CC3CC(C2)CC1C3
origin: C11(CCCccNNNcccCC(CCCCCCC(cc, cl: C1ccCn2CN+CC(C))CC2C)cccc)cc1, target: CCN(CC)CC
origin: CN+]+N2C1cccc(1)CCN+]C(c)C, cl: C1CCCCCC([N+](CC(CCC)1C2)C1)CC, target: [C@@H](c1ccccc1)([C@H](C)N(C)Cc1ccccc1)O
origin: c1NCCC)C))CNNccccCCCCCCCCCCCCCCC, cl: C1NCCCN+](CC1C(Cc1)CCC, target: C(N(CC)CC)C
origin: c1CCCCc2ccccc2))CC1, cl: cNNCCCNC))CNCcccC, target: C1CN(Cc2ccccc2F)CC1
origin: C11(Cc)CcNCcCcCCCCCCCCcCCCCC1CC1C1CCCC1C, cl: C1cN+]1ccC)n(c)cc1)CC, target: CCN(CC)CC
origin: C11N+](C)1(Cc1CcCCcC, cl: C11N+]1C)1(CC1C1CC2C, target: CC[N+](CC)(CC)CC
origin: CCC1(CcOCcccccccCCCCC, cl: C1c(CcNCcNCNcCCCCCCCCCCCCCCcC(CCCCCCCCCCCC11111111C111111C111111111111111111111C11111111111111111111111111111111C11111111111111111111111CC11111111C111111111111111111111111111C111111111111111(1111111111, target: OCCN(CC)CC
origin: C1cCCCN)CCCcCC(ccCCCc, cl: C(N1ccccc1)(N+]1c(n(c)c1, target: C(N(CCO)C)CO
origin: C1[CCN+](CC(CCCCCC2CC(C1(C2)C1)C2, cl: C[1(CcCCc[ncCccCC, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: CCN++(CcC2ccccc1)CN+]N(C)C, cl: C1CCCCCCC)CcCccCCC, target: O[C@@H](c1ccccc1)[C@H](C)NC
origin: C1(N+](C11(CC1C11Cccc, cl: C1NCCCO)C(N)CNNNNCO, target: CC[N+](CC)(CC)CC
origin: C1c(CN++NcCn+]]CcCC)C)CCcccc1, cl: CN111CCN)CcNNNCNNcCC, target: c1c([C@H]([C@@H](NC)C)O)cccc1
origin: C1ccccc1C((CN++C(CC)CC(1, cl: C1C[(CC2cc(((2)CN++N(C1)C1, target: c1ccccc1CN1[C@H](CO)CCC1
origin: C1CCC[((N+]C(CN++CC(C(N+]((C)CNC+CcCCCC2)CN++CC2C2)C2, cl: C1c1CCC)C)CC)cCcCcCccNcC, target: N12CCCC[C@H]1[C@@H]1C[N+]3(C)[C@H](CCCC3)[C@@H](C1)C2
origin: C1(C[CCCCC)CCCC, cl: C1cccC[N+]2ccn(c)c2Cccc1, target: CN(C(N(C)C)=N)C
origin: c1C)C(CcNCNcccccC, cl: C11(CcCCcCNNCcCcCCCCCCCCCCCCCC, target: N(CC)(CC)CC
origin: C11[(Cc))CCCN[NNc, cl: C(C11(Cc)CcNccCcCC, target: CCCN(CCC)CCC
origin: C1C1C1NNCNccCCCCCCCCCC, cl: C1CCNCCCCCC1CCCC22)CC1, target: C(NCC)C
origin: C((C)CC1cccc(1, cl: C1N1CCNC1NCNCNcCCCC, target: CN(C)Cc1ccccc1
origin: C[[C[(N+](C(C1CCN+]+(cC2N+]((C(N+]1(C1CCCCCN++C(, cl: C(CCN(CcNCcNNNNcNCC, target: C1CCC[C@@H]2N1C[C@@H]1C[C@H]2C[N+]2(C)CCCC[C@H]12
origin: C1CCC2cccc(2)CNNNN(CC)CC11, cl: C1cc)2CCCCN+]n(C))ccc(11, target: N1(Cc2ccccc2)[C@H](CO)CCC1
origin: C[CCCC(CN+](CC(CC1C(CC1133)C2, cl: C1OC((([[)CCC(CCCCCC, target: C1C2CC3[N+](C)(CC)CC(CC1C3)C2
origin: C1NN+]1c(C)n(c)cc1)C, cl: C(NCNCCcNCCNCNCCCCC, target: C([n+]1c(C)n(C)cc1)C
origin: C1cC)N+](CC(CC2cccc(2)C)ccccc1, cl: C1cCn(C(CC2)cc[c(1, target: c1(C[N+](C)(Cc2ccccc2)C)ccccc1
origin: C1N+](CCCN+]CcC2ccccc1)C)C, cl: C1(CcONCNcCCCC(CCCCCCCCCC(CC(c(c2CcC1cC1C11CC111C, target: C[C@@H]([C@H](c1ccccc1)O)N(C)Cc1ccccc1
origin: C1ON+](C))(CC)C)Cc)CCc(c, cl: [NNCN+]((CCCN+]C(CC1)CN+++C(CC2CNCCC(CNHcC3C2)C3)C33C4, target: C([N+](CC)(CC)CC)C
origin: CN1(CC)CcNNNCccCCCCCCCCC(CCCccCC111CCC, cl: C1c)CnN+](Cc(CCC)CcC, target: CCN(CC)CC
origin: C1ccn+](cCCccn)c1CcCC, cl: N1cc(c(C)C)ccc1, target: c1c[n+](CC)c(C)n1C
origin: C1cN+]1c(n(c)c1)C1ccccc1, cl: C11(CCCCCCCNccC(CCCC(((CCCcC1C11, target: C([n+]1ccn(C)c1)c1ccccc1
origin: C1cccccC[N+]2ccn(c)c2Cc1, cl: C11CCcC)C)CCNCNcCc, target: c1cccc(C[n+]2ccn(C)c2)c1
origin: C1ccc((1CN+]]C(C)CN+]]Ncc, cl: C1ccc((1C((CN+]C(C))cCC1, target: c1ccccc1[C@@H](O)[C@@H](NC)C
origin: [11N+](C)C(Cc1CcCCcCccC, cl: C1[CC(CC(CN+]1CC(CCCCCC11C1)C2)C2, target: CC[N+](CC)(CC)CC
